2016-06-0223:00:00,1,-0.02,-0.13108.84,108.82
2016-06-0300:00:00,-1,-0.03,-0.16108.82,108.85
2016-06-0301:00:00,-1,-0.17,-0.33108.85,109.02
2016-06-0302:00:00,-1, 0.12,-0.21109.02,108.9
2016-06-0303:00:00,-1, 0.04,-0.17108.9,108.86
2016-06-0304:00:00,0,-0.,-0.17108.86,108.82
2016-06-0305:00:00,1,-0.2,-0.37108.82,108.62
2016-06-0306:00:00,1, 0.02,-0.35108.62,108.64
2016-06-0307:00:00,0, 0.,-0.35108.64,108.73
2016-06-0308:00:00,1, 0.01,-0.34108.73,108.74
2016-06-0309:00:00,1, 0.07,-0.27108.74,108.81
2016-06-0310:00:00,-1,-0.17,-0.44108.81,108.98
2016-06-0311:00:00,-1, 0.06,-0.38108.98,108.92
2016-06-0312:00:00,1,-0.07,-0.45108.92,108.85
2016-06-0313:00:00,0,-0.,-0.45108.85,107.57
2016-06-0314:00:00,1,-0.47,-0.92107.57,107.1
2016-06-0315:00:00,-1, 0.33,-0.59107.1,106.77
2016-06-0316:00:00,1, 0.09,-0.5106.77,106.86
2016-06-0317:00:00,1,-0.15,-0.65106.86,106.71
2016-06-0318:00:00,1,-0.1,-0.75106.71,106.61
2016-06-0319:00:00,1, 0.07,-0.68106.61,106.68
2016-06-0320:00:00,-1, 0.06,-0.62106.68,106.62
2016-06-0321:00:00,1,-0.11,-0.73106.62,106.51
2016-06-0322:00:00,1, 0.,-0.73106.51,106.51
2016-06-0323:00:00,1, 0.,-0.73106.51,106.51
2016-06-0400:00:00,1, 0.,-0.73106.51,106.51
2016-06-0401:00:00,1, 0.,-0.73106.51,106.51
2016-06-0402:00:00,0, 0.,-0.73106.51,106.51
2016-06-0403:00:00,1, 0.,-0.73106.51,106.51
2016-06-0404:00:00,0, 0.,-0.73106.51,106.51
2016-06-0405:00:00,0, 0.,-0.73106.51,106.51
2016-06-0406:00:00,0, 0.,-0.73106.51,106.51
2016-06-0407:00:00,1, 0.,-0.73106.51,106.51
2016-06-0408:00:00,0, 0.,-0.73106.51,106.51
2016-06-0409:00:00,0, 0.,-0.73106.51,106.51
2016-06-0410:00:00,1, 0.,-0.73106.51,106.51
2016-06-0411:00:00,0, 0.,-0.73106.51,106.51
2016-06-0412:00:00,0, 0.,-0.73106.51,106.51
2016-06-0413:00:00,0, 0.,-0.73106.51,106.51
2016-06-0414:00:00,0, 0.,-0.73106.51,106.51
2016-06-0415:00:00,0, 0.,-0.73106.51,106.51
2016-06-0416:00:00,0, 0.,-0.73106.51,106.51
2016-06-0417:00:00,0, 0.,-0.73106.51,106.51
2016-06-0418:00:00,0, 0.,-0.73106.51,106.51
2016-06-0419:00:00,1, 0.,-0.73106.51,106.51
2016-06-0420:00:00,-1,-0.,-0.73106.51,106.51
2016-06-0421:00:00,1, 0.,-0.73106.51,106.51
2016-06-0422:00:00,0, 0.,-0.73106.51,106.51
2016-06-0423:00:00,0, 0.,-0.73106.51,106.51
2016-06-0500:00:00,0, 0.,-0.73106.51,106.51
2016-06-0501:00:00,0, 0.,-0.73106.51,106.51
2016-06-0502:00:00,0, 0.,-0.73106.51,106.51
2016-06-0503:00:00,0, 0.,-0.73106.51,106.51
2016-06-0504:00:00,0, 0.,-0.73106.51,106.51
2016-06-0505:00:00,0, 0.,-0.73106.51,106.51
2016-06-0506:00:00,0, 0.,-0.73106.51,106.51
2016-06-0507:00:00,0, 0.,-0.73106.51,106.51
2016-06-0508:00:00,0, 0.,-0.73106.51,106.51
2016-06-0509:00:00,0, 0.,-0.73106.51,106.51
2016-06-0510:00:00,0, 0.,-0.73106.51,106.51
2016-06-0511:00:00,0, 0.,-0.73106.51,106.51
2016-06-0512:00:00,0, 0.,-0.73106.51,106.51
2016-06-0513:00:00,0, 0.,-0.73106.51,106.51
2016-06-0514:00:00,0, 0.,-0.73106.51,106.51
2016-06-0515:00:00,0, 0.,-0.73106.51,106.51
2016-06-0516:00:00,0, 0.,-0.73106.51,106.51
2016-06-0517:00:00,0, 0.,-0.73106.51,106.51
2016-06-0518:00:00,0, 0.,-0.73106.51,106.51
2016-06-0519:00:00,0,-0.,-0.73106.51,106.42
2016-06-0520:00:00,0, 0.,-0.73106.42,106.65
2016-06-0521:00:00,1,-0.09,-0.82106.65,106.56
2016-06-0522:00:00,1,-0.09,-0.91106.56,106.47
2016-06-0523:00:00,1, 0.2,-0.71106.47,106.67
2016-06-0600:00:00,-1, 0.01,-0.7106.67,106.66
2016-06-0601:00:00,0,-0.,-0.7106.66,106.58
2016-06-0602:00:00,0, 0.,-0.7106.58,106.78
2016-06-0603:00:00,0, 0.,-0.7106.78,107.01
2016-06-0604:00:00,-1,-0.02,-0.72107.01,107.03
2016-06-0605:00:00,0,-0.,-0.72107.03,106.99
2016-06-0606:00:00,0,-0.,-0.72106.99,106.95
2016-06-0607:00:00,0, 0.,-0.72106.95,107.03
2016-06-0608:00:00,-1,-0.15,-0.87107.03,107.18
2016-06-0609:00:00,-1, 0.03,-0.84107.18,107.15
2016-06-0610:00:00,1,-0.01,-0.85107.15,107.14
2016-06-0611:00:00,0,-0.,-0.85107.14,107.13
2016-06-0612:00:00,0,-0.,-0.85107.13,107.07
2016-06-0613:00:00,1, 0.07,-0.78107.07,107.14
2016-06-0614:00:00,0, 0.,-0.78107.14,107.15
2016-06-0615:00:00,0, 0.,-0.78107.15,107.23
2016-06-0616:00:00,-1,-0.1,-0.88107.23,107.33
2016-06-0617:00:00,-1, 0.4,-0.48107.33,106.93
2016-06-0618:00:00,-1,-0.31,-0.79106.93,107.24
2016-06-0619:00:00,1, 0.13,-0.66107.24,107.37
2016-06-0620:00:00,-1,-0.18,-0.84107.37,107.55
2016-06-0621:00:00,-1, 0.01,-0.83107.55,107.54
