id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	loveHate	carryTrade	currencyPegInstability	priceMomentum
mp:2017-08-14_19.00.00.News_Social.CUR.ARS	ARS	2017-08-14T19:00:00.000Z	News_Social	2.2.19	123.5	0.004266	0.198381				-0.016194		0.032389	0.016194	0.032389	0.008097		0.152834	-0.016194		0.016194			0.008097			-0.008097
mp:2017-08-14_19.00.00.News_Social.CUR.AUD	AUD	2017-08-14T19:00:00.000Z	News_Social	2.2.19	549.0	0.018963	-0.051002	-0.000911	0.001821	-0.000911	0.001366	0.007286	0.027322	0.040984	0.078324	-0.000911	0.028233	0.098361	0.004554		0.064663	-0.000911	0.023679	0.002732			-0.005464
mp:2017-08-14_19.00.00.News_Social.CUR.BRL	BRL	2017-08-14T19:00:00.000Z	News_Social	2.2.19	8.0	0.000276	-0.250000							0.125000	0.125000			0.000000			0.250000		0.250000				
mp:2017-08-14_19.00.00.News_Social.CUR.CAD	CAD	2017-08-14T19:00:00.000Z	News_Social	2.2.19	331.0	0.011433	-0.045317	0.003021	0.006042	0.003021	0.024169	0.018127	0.018127	0.018127	0.086103	-0.003021	0.006042	0.139728	0.018127		0.025680			0.012085			
mp:2017-08-14_19.00.00.News_Social.CUR.CNY	CNY	2017-08-14T19:00:00.000Z	News_Social	2.2.19	2841.7	0.098155	-0.024985	-0.007918	0.005982		0.000176	0.006334	0.002639	0.016012	0.053489	0.038357	0.010205	0.061477	-0.052433	0.001056	0.103107	0.006334	0.020516	0.001056			0.004223
mp:2017-08-14_19.00.00.News_Social.CUR.EGP	EGP	2017-08-14T19:00:00.000Z	News_Social	2.2.19	17.0	0.000587	0.058824						-0.058824	0.117647				0.102941			0.058824						
mp:2017-08-14_19.00.00.News_Social.CUR.EUR	EUR	2017-08-14T19:00:00.000Z	News_Social	2.2.19	2762.8	0.095430	-0.164869	-0.019907	0.011582	0.004343	0.004886	0.007420	-0.001448	0.015021	0.051759	0.002534	0.013030	0.084443	0.001267	-0.000724	0.026784	-0.001086	0.030151	0.002896			0.009954
mp:2017-08-14_19.00.00.News_Social.CUR.HKD	HKD	2017-08-14T19:00:00.000Z	News_Social	2.2.19	16.0	0.000553	-0.250000	0.062500	0.062500				0.062500		0.062500			0.109375			0.000000	0.062500		0.062500			
mp:2017-08-14_19.00.00.News_Social.CUR.INR	INR	2017-08-14T19:00:00.000Z	News_Social	2.2.19	522.0	0.018030	-0.027778	0.014368	0.000000	0.009579	0.010536	0.001916	0.009579	0.034483	0.022031	-0.006705	0.028736	0.084291	-0.003831	-0.003831	0.108238	0.000958	0.021073	0.007663			0.003831
mp:2017-08-14_19.00.00.News_Social.CUR.IDR	IDR	2017-08-14T19:00:00.000Z	News_Social	2.2.19	245.8	0.008490	-0.260374	0.032547	0.004068		-0.050854	0.040683	0.004068	0.016273	0.020342	0.024410	0.008137	0.154394	-0.008137		-0.065094		0.031733	0.008137			0.020342
