id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	loveHate	anger	debtDefault	innovation	marketRisk	budgetDeficit	businessExpansion	centralBank	commercialRealEstateSentiment	consumerSentiment	creditEasyVsTight	economicGrowth	economicUncertainty	economicVolatility	financialSystemInstability	fiscalPolicyLooseVsTight	governmentAnger	governmentCorruption	governmentInstability	inflation	inflationForecast	interestRates	interestRatesForecast	investmentFlows	monetaryPolicyLooseVsTight	naturalDisasters	regimeChange	residentialRealEstateGrowth	residentialRealEstateSales	residentialRealEstateSentiment	residentialRealEstateValues	sanctions	socialInequality	socialUnrest	tradeBalance	unemployment
mp:2017-08-12_17.00.00.News.COU.AF	AF	2017-08-12T17:00:00.000Z	News	2.2.18	3911.2	0.004047	-0.142667	-0.003068	0.001918	0.001534	-0.001918	0.363316	0.051519	0.022627	0.056121	0.007670	0.008693	0.009204	0.001278	0.007542			-0.009371		0.000256				0.000767	-0.001790	-0.000256	0.004219			0.002173	0.002812	0.018537							0.002045	-0.000511			-0.005114		0.001023		0.048323	0.000128	-0.000256
mp:2017-08-12_17.00.00.News.COU.DZ	DZ	2017-08-12T17:00:00.000Z	News	2.2.18	293.5	0.000304	-0.141397	-0.040886	0.020443	0.003407	0.008518	0.068143	0.034072	0.006814	0.071550	0.003407	0.034072	0.084540	0.010221	0.010221			-0.040886													-0.006814	0.027257							0.013629								0.010221		
mp:2017-08-12_17.00.00.News.COU.AO	AO	2017-08-12T17:00:00.000Z	News	2.2.18	125.0	0.000129	-0.312000	-0.032000				0.088000	-0.008000		0.104000			0.025000			0.216000		-0.024000							-0.048000							0.048000																	
mp:2017-08-12_17.00.00.News.COU.AR	AR	2017-08-12T17:00:00.000Z	News	2.2.18	1446.5	0.001497	-0.167992	-0.004839	0.014518	0.005185	-0.000951	0.057726	0.018320	0.017974	0.068095	0.019357	0.016592	0.075959	0.006913	0.003111		0.001383	-0.013481		0.002765	0.000691				0.014172	-0.006222	0.002074		-0.000691	0.002074	0.002765	0.007950	0.000691	0.000691	0.001383				0.011753		0.001383		0.001728				0.034221		
mp:2017-08-12_17.00.00.News.COU.AM	AM	2017-08-12T17:00:00.000Z	News	2.2.18	17.5	0.000018	0.285714						-0.114286			-0.057143		0.096429					0.028571					0.028571	0.057143	0.028571		-0.028571																						
mp:2017-08-12_17.00.00.News.COU.AU	AU	2017-08-12T17:00:00.000Z	News	2.2.18	30309.3	0.031365	-0.128558	-0.011614	0.009683	0.010954	-0.001423	0.064683	0.031970	0.044970	0.070143	0.022633	0.016117	0.087546	0.005394	0.011762	-0.000198	0.001039	-0.012942		0.000858	0.001023		-0.001353	-0.000016	0.003943	0.001353	0.004923	0.000165		0.002376	0.001551	0.013118	0.000924		0.000066				0.003481	0.000053	0.000577	-0.000198	-0.011185	0.000462	-0.000066	0.000198	0.009007	0.000000	-0.000462
mp:2017-08-12_17.00.00.News.COU.AT	AT	2017-08-12T17:00:00.000Z	News	2.2.18	447.5	0.000463	0.026816	0.011173	0.002235	0.017877	-0.000559	0.013408	0.026816	0.031285	0.055866	0.017877	0.011173	0.100698	0.013408	0.011173		0.004469	-0.001117							-0.008939	0.006704	0.013408			0.002235		0.008939							0.012291										
mp:2017-08-12_17.00.00.News.COU.BH	BH	2017-08-12T17:00:00.000Z	News	2.2.18	1366.7	0.001414	-0.273652	0.006585	0.000732	0.001463	-0.002652	0.056340	0.021585	0.133899	0.119631	0.030365	0.000732	0.081903	0.002927	0.000732			0.000805					0.001098		0.076827		0.002195					0.005854											0.001463				0.005122	-0.002927	-0.000732
mp:2017-08-12_17.00.00.News.COU.BD	BD	2017-08-12T17:00:00.000Z	News	2.2.18	4024.4	0.004165	-0.156794	0.002982	0.003230	0.004721	-0.009380	0.085230	0.041248	0.032179	0.052554	0.013791	0.013542	0.076800	0.007082	0.014039		0.001988	-0.009194			0.000745		0.000497		0.002485	-0.001864	0.015381				0.006212	0.020251	0.000000		-0.000497				0.005218	0.000745			-0.002733				0.030936		-0.000248
mp:2017-08-12_17.00.00.News.COU.BY	BY	2017-08-12T17:00:00.000Z	News	2.2.18	28.0	0.000029	0.535714	0.035714					-0.035714		0.035714	0.142857		0.107143	0.035714			0.035714	0.017857																							0.071429		-0.035714						
mp:2017-08-12_17.00.00.News.COU.BE	BE	2017-08-12T17:00:00.000Z	News	2.2.18	1404.5	0.001453	-0.254895	-0.016376	0.008188	0.006764	-0.016020	0.080456	0.045212	0.041652	0.077608	-0.004272	0.018156	0.086018	0.005696	0.002136		0.004272	-0.016554					-0.004272		0.003204	-0.004272	0.007832			0.000712	0.009256	0.016732															0.037024		
mp:2017-08-12_17.00.00.News.COU.BO	BO	2017-08-12T17:00:00.000Z	News	2.2.18	287.0	0.000297	0.006969	0.097561			0.025261		0.069686	0.020906	0.062718	-0.027875	0.048780	0.084495	0.006969				0.012195		0.013937					0.031359	0.013937	0.013937				-0.006969	0.003484	0.055749	0.055749									-0.006969				0.003484		
mp:2017-08-12_17.00.00.News.COU.BA	BA	2017-08-12T17:00:00.000Z	News	2.2.18	73.0	0.000076	0.150685	0.013699		0.191781	0.013699	0.082192	-0.006849			0.027397		0.095034					0.034247																													0.013699		
mp:2017-08-12_17.00.00.News.COU.BR	BR	2017-08-12T17:00:00.000Z	News	2.2.18	5929.3	0.006136	-0.148500	-0.029261	0.004385	0.004216	0.006325	0.028418	0.019733	0.054981	0.061221	0.008095	0.011468	0.075837	-0.001518	0.007589	0.004385	0.001518	-0.014293	0.002530	0.004048	0.000675			0.000675	-0.006409	-0.002867	0.024657			0.007083	0.038453	0.057005	0.002530						0.003710				-0.000337				0.006746		-0.002193
mp:2017-08-12_17.00.00.News.COU.BG	BG	2017-08-12T17:00:00.000Z	News	2.2.18	3.0	0.000003	0.333333	0.666667										0.208333					0.333333																															
mp:2017-08-12_17.00.00.News.COU.KH	KH	2017-08-12T17:00:00.000Z	News	2.2.18	895.5	0.000927	-0.218872	0.006700	0.001117	0.007817	-0.003629	0.089894	0.120603	0.006700	0.125628	-0.002233	0.007817	0.092406	0.001117	0.012842			-0.012842							-0.004467		0.003350			0.002233		0.012284															0.005025		
mp:2017-08-12_17.00.00.News.COU.CA	CA	2017-08-12T17:00:00.000Z	News	2.2.18	22056.0	0.022825	-0.111444	0.001746	0.007368	0.008388	0.001082	0.058737	0.027113	0.029221	0.072225	0.010473	0.023055	0.074761	0.004489	0.004806	0.000227	0.002743	-0.010580		0.001632	0.000635		0.000816	-0.000317	0.012831	-0.000431	0.013198	-0.000136		0.000635	0.000408	0.012491	0.000907	0.000408	0.001315	0.000363		0.000045	0.014259	0.000136	0.000317	-0.000091	-0.002267	0.000635			0.005781	-0.000181	-0.000181
mp:2017-08-12_17.00.00.News.COU.KY	KY	2017-08-12T17:00:00.000Z	News	2.2.18	37.7	0.000039	0.702918						-0.159151		0.053050			0.114390					-0.010610																															
mp:2017-08-12_17.00.00.News.COU.CL	CL	2017-08-12T17:00:00.000Z	News	2.2.18	2394.8	0.002478	-0.137590	0.026933	0.010022		-0.003236	0.089778	0.054493	0.020879	0.048438	0.005011	0.021922	0.049347		0.003967		0.000835	0.000981			0.002505				-0.029648	-0.006264	0.005470					-0.025889	-0.003758						0.008769	0.000418						0.000418	0.024219	-0.007516	-0.002088
mp:2017-08-12_17.00.00.News.COU.CN	CN	2017-08-12T17:00:00.000Z	News	2.2.18	44791.6	0.046352	-0.132860	-0.001574	0.008484	0.003918	-0.001460	0.049217	0.028041	0.023554	0.083576	0.019814	0.012826	0.075040	0.002322	0.011699	0.000357	0.002701	-0.014657	-0.000067	0.001898	0.000402		0.000435	0.000022	0.018106	-0.000123	0.007609	0.000045	0.000134	0.001239	0.000915	0.017702	0.001451	0.000246	0.000089			-0.000022	0.034951	0.000266	-0.000033		-0.008763	0.000045	0.001038	0.000089	0.005827	0.000112	-0.000078
mp:2017-08-12_17.00.00.News.COU.CO	CO	2017-08-12T17:00:00.000Z	News	2.2.18	848.6	0.000878	-0.087792	-0.011784	0.008249		-0.012815	0.043601	0.020033	0.016498	0.061867	0.007660	0.013552	0.075345	0.011784	0.004714			-0.011725							0.006481		0.009427			0.004714	0.083078	0.114306											-0.002357				0.004714		
mp:2017-08-12_17.00.00.News.COU.CD	CD	2017-08-12T17:00:00.000Z	News	2.2.18	668.0	0.000691	-0.276198	-0.021707	0.002994		-0.008421	0.095808	0.077096	0.073353	0.081587	0.000000	0.004491	0.067178	-0.005988	0.005240			-0.016093					-0.002994		0.000000					0.010479	0.029940	0.085329											0.002994				0.023952		
mp:2017-08-12_17.00.00.News.COU.CR	CR	2017-08-12T17:00:00.000Z	News	2.2.18	218.5	0.000226	-0.093822	-0.009153	0.004577	0.018307	0.000572	0.050343	0.032037	0.059497	0.114416	-0.036613	0.009153	0.081808					0.005721					0.000000		0.004577	-0.004577	0.009153					0.004577	0.004577														0.004577		
mp:2017-08-12_17.00.00.News.COU.HR	HR	2017-08-12T17:00:00.000Z	News	2.2.18	178.5	0.000185	-0.201681	-0.008403	0.011204	0.028011	0.000000	0.044818	0.050420	0.019608	0.089636	0.011204	0.005602	0.088936	0.011204	0.044818			-0.030812			0.005602				0.000000		0.011204												0.011204								0.044818		
mp:2017-08-12_17.00.00.News.COU.CU	CU	2017-08-12T17:00:00.000Z	News	2.2.18	1852.9	0.001917	-0.210751	0.004857	0.004857	0.004318	-0.002496	0.180798	0.034540	0.040477	0.096605	0.021588	0.021318	0.054455	-0.001619	0.008095		0.005667	-0.016164		0.001619					0.012953	0.002159	0.003778			0.000540	0.001619	0.015057							0.001619	0.000756			-0.005397		0.002698		0.008905		-0.001619
mp:2017-08-12_17.00.00.News.COU.CY	CY	2017-08-12T17:00:00.000Z	News	2.2.18	79.5	0.000082	-0.257862		0.025157		0.001572	0.025157	0.176101		0.132075	0.000000		0.102987		0.062893			-0.018868							0.012579	-0.006289	-0.006289																				0.025157		
mp:2017-08-12_17.00.00.News.COU.CZ	CZ	2017-08-12T17:00:00.000Z	News	2.2.18	188.2	0.000195	0.058448	-0.037194		0.026567	0.000000	0.047821	-0.005313	0.005313	0.031881	0.053135	0.026567	0.106934	0.005313			0.005313	0.008502			0.021254		0.010627		0.005313	-0.010627																	-0.021254						
mp:2017-08-12_17.00.00.News.COU.DK	DK	2017-08-12T17:00:00.000Z	News	2.2.18	3581.0	0.003706	-0.387741	0.001955	0.014242	0.003351	-0.005166	0.050405	0.036303	0.048311	0.058503	0.026808	0.016755	0.096639	0.015917	0.003630		0.000559	-0.009564		0.000279				-0.001117	0.003491	-0.000559	-0.000279				-0.000559	0.014800	0.002094						0.000279								0.022899		
mp:2017-08-12_17.00.00.News.COU.DO	DO	2017-08-12T17:00:00.000Z	News	2.2.18	283.0	0.000293	-0.316254	-0.010601	0.007067		-0.032686	0.190813	0.097173	0.031802	0.045936	0.001767	0.037102	0.059187					-0.014134							0.031802	-0.003534	0.007067												0.007067								0.049470		
mp:2017-08-12_17.00.00.News.COU.EC	EC	2017-08-12T17:00:00.000Z	News	2.2.18	13.0	0.000013	-0.076923			0.076923		0.076923	-0.076923				0.230769	0.105769																																				
mp:2017-08-12_17.00.00.News.COU.EG	EG	2017-08-12T17:00:00.000Z	News	2.2.18	13990.7	0.014478	-0.308240	-0.015439	0.005754	0.000715	-0.000107	0.207281	0.071154	0.079982	0.140808	0.010150	0.004932	0.063649	0.000786	0.006218		0.000071	-0.009285		0.000214	0.000429			0.000071	0.000429	-0.000071	0.000286			0.002788	0.000071	0.017833	0.000143						0.003359	0.000250			-0.000286		0.000214		0.004968	0.000000	
mp:2017-08-12_17.00.00.News.COU.SV	SV	2017-08-12T17:00:00.000Z	News	2.2.18	269.0	0.000278	-0.239777	-0.003717	0.007435	0.033457	0.017658	0.102230	-0.018587	0.037175	0.068773	0.007435	0.003717	0.077138					-0.003717								-0.003717					-0.001859	0.003717															0.044610		
mp:2017-08-12_17.00.00.News.COU.EE	EE	2017-08-12T17:00:00.000Z	News	2.2.18	37.5	0.000039	0.133333	0.000000			0.040000		-0.053333		0.080000	-0.040000		0.095000	0.026667	0.026667			-0.013333		0.026667					0.000000		0.026667																						
mp:2017-08-12_17.00.00.News.COU.ET	ET	2017-08-12T17:00:00.000Z	News	2.2.18	766.4	0.000793	-0.095251	0.016962	0.005219	0.002610	-0.008155	0.157881	0.050235	0.005219	0.070459	0.041754	0.002610	0.062794	0.005219	0.003914		0.003914	-0.001044							0.005219		0.009134				0.024139	0.022182	0.002610						0.001305	0.001305			-0.002610				0.037839		
mp:2017-08-12_17.00.00.News.COU.EZ	EZ	2017-08-12T17:00:00.000Z	News	2.2.18	44363.5	0.045909	-0.141783	-0.003742	0.011473	0.006357	-0.002511	0.053388	0.023183	0.028965	0.069990	0.014967	0.013074	0.084145	0.004497	0.010391	0.000834	0.002153	-0.014147	0.000023	0.000913	0.000721		-0.000947	0.000079	0.003223	-0.000800	0.004997		-0.000023	0.002277	0.001578	0.008663	0.002063	0.000000	-0.000293			0.000023	0.012668	0.000210	-0.000068		-0.000203	0.000203	0.000180	0.000135	0.011981	0.000045	-0.001341
mp:2017-08-12_17.00.00.News.COU.FI	FI	2017-08-12T17:00:00.000Z	News	2.2.18	753.4	0.000780	0.064375	0.017919	0.001327	0.001991	0.004646	0.017255	-0.067029	0.013273	0.065038	0.000000	0.018582	0.077150	0.002655	0.002655	0.003982		-0.007698						0.010619	0.063711	-0.002655	0.002655				-0.010619	-0.010619	-0.001327		-0.001327				0.002655				-0.002655	0.002655					
mp:2017-08-12_17.00.00.News.COU.FR	FR	2017-08-12T17:00:00.000Z	News	2.2.18	7263.0	0.007516	-0.174859	0.003649	0.017761	0.006196	-0.005817	0.040204	0.014663	0.023337	0.073730	0.017004	0.009844	0.088923	0.001446	0.009294	0.000275	0.002478	-0.015242	0.000138	0.000826	0.000413		-0.003373	-0.000207	0.008881	0.001308	0.003222			0.002065	0.001239	0.014099	0.002616	-0.000138					0.011290	0.000193	-0.000688		-0.002203		0.000413	0.000688	0.004544		-0.002685
mp:2017-08-12_17.00.00.News.COU.GA	GA	2017-08-12T17:00:00.000Z	News	2.2.18	424.5	0.000439	-0.260306	-0.022379	0.021201		-0.038869	0.259128	0.009423	0.021201	0.035336	0.023557	0.007067	0.058304	0.002356	0.007067			-0.019435							-0.002356		0.002356												0.018846										
mp:2017-08-12_17.00.00.News.COU.GE	GE	2017-08-12T17:00:00.000Z	News	2.2.18	302.5	0.000313	-0.160331	0.069421	0.003306	0.049587	0.000826	0.089256	0.087603	0.008264	0.052893	0.023140		0.080372					0.023140			0.006612				-0.013223		0.006612					0.052893											-0.089256		0.009917		0.033058		
mp:2017-08-12_17.00.00.News.COU.DE	DE	2017-08-12T17:00:00.000Z	News	2.2.18	13887.4	0.014371	-0.104123	-0.010369	0.010909	0.006481	0.003663	0.046985	0.019226	0.031143	0.072440	0.021998	0.014690	0.088503	0.002088	0.011881	0.000072	0.001512	-0.016407		0.001692	0.000288		-0.000576	-0.000576	0.002268	-0.003204	0.003053		0.000216	0.004536	0.000576	0.004789	0.002304	0.000072	-0.000792				0.001008	0.000036	0.000072		0.000072		0.000072	0.000072	0.013393	-0.000144	-0.002880
mp:2017-08-12_17.00.00.News.COU.GH	GH	2017-08-12T17:00:00.000Z	News	2.2.18	1203.5	0.001245	-0.258413	-0.047362	0.004985	0.002908	-0.001870	0.058995	0.027835	0.042376	0.049024	-0.009140	0.001662	0.032146	-0.002493	0.003324			-0.022019		0.008309	0.002493				-0.213128	-0.010802	0.027420				-0.004985	0.009140			0.022435												0.011633		-0.008309
mp:2017-08-12_17.00.00.News.COU.GR	GR	2017-08-12T17:00:00.000Z	News	2.2.18	1145.9	0.001186	-0.127847	-0.005672	0.013090	0.006109	-0.000436	0.056288	0.010908	0.050179	0.072868	0.001309	0.016581	0.074625	0.021817	0.006545		0.004363	-0.013745		0.007854				0.004363	-0.013090		0.008727		-0.003491		0.002618	0.002356	0.007854						0.006109	0.000175			-0.006981				0.006981		
mp:2017-08-12_17.00.00.News.COU.GT	GT	2017-08-12T17:00:00.000Z	News	2.2.18	64.0	0.000066	-0.296875		0.015625	0.015625	-0.007813	0.062500	0.062500	0.015625	0.031250	0.062500	0.015625	0.060547					0.007813																					0.125000								0.062500		
mp:2017-08-12_17.00.00.News.COU.GY	GY	2017-08-12T17:00:00.000Z	News	2.2.18	28.0	0.000029	0.214286										0.142857	0.116071	0.071429																																			
mp:2017-08-12_17.00.00.News.COU.HT	HT	2017-08-12T17:00:00.000Z	News	2.2.18	503.5	0.000521	0.005958	0.018868	0.003972	0.027805	0.039474	0.118173	0.055611	0.000000	0.006951	0.103277	0.004965	0.076465		0.001986			0.015392						0.000000	0.015889				0.001986		-0.007944	-0.016882							0.013903								0.049652		
mp:2017-08-12_17.00.00.News.COU.HN	HN	2017-08-12T17:00:00.000Z	News	2.2.18	31.0	0.000032	-0.225806	0.064516	0.032258			0.161290	0.000000		0.032258	0.032258		0.004032					0.000000							-0.290323																						0.064516		
mp:2017-08-12_17.00.00.News.COU.HK	HK	2017-08-12T17:00:00.000Z	News	2.2.18	2863.8	0.002964	-0.127453	0.006809	0.011349	0.006635	-0.007551	0.016936	0.026364	0.031252	0.087995	0.014142	0.010650	0.095110	0.005762	0.007682	0.000349	0.001746	-0.010598	-0.001048		0.000698		0.000000	-0.000175	0.003841	-0.000349	0.017110		0.002444	0.003492	0.011523	0.009952	0.004190		0.001397			-0.000175	0.002095	0.000698	0.000175		-0.011174	0.000349		0.000698	0.004714		-0.000349
mp:2017-08-12_17.00.00.News.COU.HU	HU	2017-08-12T17:00:00.000Z	News	2.2.18	158.5	0.000164	-0.157729	-0.012618		0.025237	0.001577	0.025237	0.006309	0.009464	0.050473	0.006309	0.025237	0.024842					-0.031546		0.012618	0.100946				0.044164		0.006309						0.012618						0.012618								0.012618	0.025237	
mp:2017-08-12_17.00.00.News.COU.IS	IS	2017-08-12T17:00:00.000Z	News	2.2.18	132.5	0.000137	0.000000	0.015094			0.005660	0.060377	0.000000		0.022642	0.045283	0.007547	0.065566					0.018868							-0.007547	0.007547	0.007547												0.030189								0.003774		-0.067925
