id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	loveHate	carryTrade	currencyPegInstability	priceMomentum
mp:2017-08-15_11.00.00.News_Social.CUR.ARS	ARS	2017-08-15T11:00:00.000Z	News_Social	2.2.19	129.0	0.004690	0.182171				-0.015504		0.031008	0.023256	0.031008	0.000000		0.147287	-0.015504		0.034884			0.007752			-0.007752
mp:2017-08-15_11.00.00.News_Social.CUR.AUD	AUD	2017-08-15T11:00:00.000Z	News_Social	2.2.19	2325.1	0.084537	-0.096340	0.001505	0.014193	0.001720	0.000108	0.003871	-0.010322	0.021504	0.039568	-0.005806	0.013548	0.075083	0.000860		0.022150	0.002365	0.020687	-0.000860			0.021504
mp:2017-08-15_11.00.00.News_Social.CUR.BRL	BRL	2017-08-15T11:00:00.000Z	News_Social	2.2.19	8.0	0.000291	-0.250000							0.125000	0.125000			0.000000			0.250000		0.250000				
mp:2017-08-15_11.00.00.News_Social.CUR.CAD	CAD	2017-08-15T11:00:00.000Z	News_Social	2.2.19	439.0	0.015961	-0.111617	-0.002278	0.002278	0.002278	0.015945	0.015945	0.013667	0.013667	0.071754	-0.002278	0.009112	0.139522	0.020501		0.005695	0.002278		0.011390			-0.004556
mp:2017-08-15_11.00.00.News_Social.CUR.CNY	CNY	2017-08-15T11:00:00.000Z	News_Social	2.2.19	2404.5	0.087424	-0.057808	0.013724	0.003743	0.001664	0.000936	0.022042	-0.003743	0.022250	0.033063	0.046787	0.019547	0.048815	-0.064047	0.000416	0.118528	0.014556	0.022042	0.002079			0.012061
mp:2017-08-15_11.00.00.News_Social.CUR.EUR	EUR	2017-08-15T11:00:00.000Z	News_Social	2.2.19	2685.8	0.097652	-0.022898	-0.000558	0.004654	0.005585	0.006795	0.007633	0.009308	0.008191	0.047472	-0.002234	0.017313	0.095521	0.007447	0.000372	0.063854	0.004840	0.028595	0.002234			0.008005
mp:2017-08-15_11.00.00.News_Social.CUR.HKD	HKD	2017-08-15T11:00:00.000Z	News_Social	2.2.19	33.0	0.001200	0.272727	0.121212					0.000000		0.121212	0.060606	0.121212	0.174242			0.060606	0.060606					
mp:2017-08-15_11.00.00.News_Social.CUR.INR	INR	2017-08-15T11:00:00.000Z	News_Social	2.2.19	249.0	0.009053	-0.168675	-0.004016	0.004016		0.022088	0.020080	-0.012048	0.048193	0.030120	-0.042169	0.024096	0.110442	0.012048		0.000000		0.048193	0.016064			
mp:2017-08-15_11.00.00.News_Social.CUR.IDR	IDR	2017-08-15T11:00:00.000Z	News_Social	2.2.19	313.8	0.011409	-0.181644	0.015934	0.006373		-0.065328	0.044614	0.022307	0.015934	0.038241	0.060548	0.003187	0.158700	-0.006373		0.086042		0.015296				0.000000
mp:2017-08-15_11.00.00.News_Social.CUR.IRR	IRR	2017-08-15T11:00:00.000Z	News_Social	2.2.19	2.5	0.000091	0.200000	0.200000										-0.050000	0.200000		0.400000						
mp:2017-08-15_11.00.00.News_Social.CUR.ILS	ILS	2017-08-15T11:00:00.000Z	News_Social	2.2.19	9.0	0.000327	0.555556									0.111111		0.194444			0.111111						
mp:2017-08-15_11.00.00.News_Social.CUR.JPY	JPY	2017-08-15T11:00:00.000Z	News_Social	2.2.19	902.6	0.032817	-0.036007	-0.077554	0.004432	0.001108	0.009971	0.012187	0.005540	0.024374	0.051518	0.009971	0.009971	0.090959	0.011079		0.060935	0.001108	0.038888	0.001108			-0.006094
mp:2017-08-15_11.00.00.News_Social.CUR.MYR	MYR	2017-08-15T11:00:00.000Z	News_Social	2.2.19	438.4	0.015940	-0.004562	0.020529			0.001141	0.027372	-0.022810	0.004562	0.050182	0.009124	0.022810	0.068203			0.091241	0.011405	0.076186	0.011405			-0.006843
mp:2017-08-15_11.00.00.News_Social.CUR.MXN	MXN	2017-08-15T11:00:00.000Z	News_Social	2.2.19	68.4	0.002487	-0.051170	0.029240				0.029240	-0.029240	0.014620	0.175439	-0.014620	0.029240	0.130117			0.021930	0.014620	0.049708				
mp:2017-08-15_11.00.00.News_Social.CUR.NZD	NZD	2017-08-15T11:00:00.000Z	News_Social	2.2.19	332.0	0.012071	-0.018072	-0.006024	0.024096		0.003012	0.030120	-0.015060	0.024096	0.066265	0.007530	0.027108	0.095633			0.060241	0.006024					0.066265
mp:2017-08-15_11.00.00.News_Social.CUR.PLN	PLN	2017-08-15T11:00:00.000Z	News_Social	2.2.19	246.8	0.008973	-0.089141	0.016207			0.003039	0.008104	0.105348	0.032415	0.121556	0.012156	0.008104	0.106564	0.004052		0.072934		0.080227				0.056726
mp:2017-08-15_11.00.00.News_Social.CUR.RUB	RUB	2017-08-15T11:00:00.000Z	News_Social	2.2.19	72.0	0.002618	0.013889	0.013889					-0.041667		0.083333	-0.013889		0.048611			0.055556	0.013889	0.041667				0.027778
mp:2017-08-15_11.00.00.News_Social.CUR.SGD	SGD	2017-08-15T11:00:00.000Z	News_Social	2.2.19	56.0	0.002036	0.250000			0.035714		0.017857	0.000000	0.035714	0.071429	0.071429		0.178571			0.000000		0.053571				
mp:2017-08-15_11.00.00.News_Social.CUR.ZAR	ZAR	2017-08-15T11:00:00.000Z	News_Social	2.2.19	529.7	0.019259	-0.242590	-0.007551	0.047197		0.001180	0.005664	-0.011327	0.005664	0.014159	0.013215	0.005664	0.123325	-0.007551		-0.075514		0.041911	0.001888			0.005664
mp:2017-08-15_11.00.00.News_Social.CUR.KRW	KRW	2017-08-15T11:00:00.000Z	News_Social	2.2.19	7.0	0.000255	0.428571						0.142857		0.142857			0.250000									
mp:2017-08-15_11.00.00.News_Social.CUR.SEK	SEK	2017-08-15T11:00:00.000Z	News_Social	2.2.19	54.0	0.001963	-0.018519	0.037037	0.018519		0.004630		0.037037		0.037037	0.083333	0.037037	0.106481			0.101852		0.018519				0.018519
mp:2017-08-15_11.00.00.News_Social.CUR.CHF	CHF	2017-08-15T11:00:00.000Z	News_Social	2.2.19	503.4	0.018303	-0.276122	-0.039730	0.031784		0.000993	0.029797	0.001986	0.011919	0.055622	-0.031784	0.021851	0.088200	-0.005959	-0.005959	-0.029797	-0.005959	0.014700				0.000000
mp:2017-08-15_11.00.00.News_Social.CUR.THB	THB	2017-08-15T11:00:00.000Z	News_Social	2.2.19	58.0	0.002109	0.206897	0.051724		0.017241		0.051724	-0.051724	0.034483		0.017241		0.081897	0.034483		0.120690		0.051724				
mp:2017-08-15_11.00.00.News_Social.CUR.TRY	TRY	2017-08-15T11:00:00.000Z	News_Social	2.2.19	32.0	0.001163	0.093750							0.031250	0.031250	0.062500		-0.015625	-0.062500		0.406250						
mp:2017-08-15_11.00.00.News_Social.CUR.USD	USD	2017-08-15T11:00:00.000Z	News_Social	2.2.19	15191.2	0.552329	-0.049502	-0.014778	0.023830	0.000889	-0.000156	0.014515	-0.014778	0.031630	0.063557	0.005892	0.013100	0.100071	-0.001942	-0.000296	0.069020	0.002008	0.022888	-0.001251			-0.001053
mp:2017-08-15_11.00.00.News_Social.CUR.AED	AED	2017-08-15T11:00:00.000Z	News_Social	2.2.19	64.0	0.002327	-0.343750	-0.031250						0.109375	0.125000			0.082031	-0.015625		-0.046875						
mp:2017-08-15_11.00.00.News_Social.CUR.GBP	GBP	2017-08-15T11:00:00.000Z	News_Social	2.2.19	349.7	0.012715	-0.057192	-0.022877	0.011438	0.014298	0.003932	0.011438	-0.005719	0.022877	0.048613	-0.014298	0.025736	0.101015	-0.011438	-0.002860	0.051473	0.005719	0.029168	0.002860			0.014298
mp:2017-08-15_11.00.00.News.CUR.ARS	ARS	2017-08-15T11:00:00.000Z	News	2.2.19	109.0	0.004737	0.165138				-0.018349		0.036697	0.018349	0.036697	0.009174		0.160550	-0.018349		0.000000			0.009174			-0.009174
mp:2017-08-15_11.00.00.News.CUR.AUD	AUD	2017-08-15T11:00:00.000Z	News	2.2.19	2064.6	0.089716	-0.096629	0.003875	0.015984	0.000484	-0.000363	0.004359	-0.015015	0.022280	0.033905	-0.009687	0.011140	0.069662			0.019859	0.003875	0.022329	-0.000484			0.025186
mp:2017-08-15_11.00.00.News.CUR.BRL	BRL	2017-08-15T11:00:00.000Z	News	2.2.19	8.0	0.000348	-0.250000							0.125000	0.125000			0.000000			0.250000		0.250000				
mp:2017-08-15_11.00.00.News.CUR.CAD	CAD	2017-08-15T11:00:00.000Z	News	2.2.19	269.0	0.011689	0.048327	0.022305	0.003717		0.029740	0.018587	0.007435	0.018587	0.078067	-0.003717		0.118030	0.026022		0.011152			0.014870			
mp:2017-08-15_11.00.00.News.CUR.CNY	CNY	2017-08-15T11:00:00.000Z	News	2.2.19	2279.0	0.099033	-0.052435	0.015358	0.003949	0.001316	-0.000329	0.021062	-0.004388	0.022159	0.033567	0.048706	0.020623	0.047060	-0.066696	0.000439	0.123300	0.015358	0.023036	0.000878			0.010970
mp:2017-08-15_11.00.00.News.CUR.EUR	EUR	2017-08-15T11:00:00.000Z	News	2.2.19	2077.8	0.090290	-0.016604	-0.002888	0.004572	0.001444	0.006858	0.004332	0.016363	0.003850	0.048609	-0.004572	0.016123	0.094896	0.012273	0.001444	0.070026	0.004332	0.028059	0.000000			0.009144
mp:2017-08-15_11.00.00.News.CUR.HKD	HKD	2017-08-15T11:00:00.000Z	News	2.2.19	33.0	0.001434	0.272727	0.121212					0.000000		0.121212	0.060606	0.121212	0.174242			0.060606	0.060606					
mp:2017-08-15_11.00.00.News.CUR.INR	INR	2017-08-15T11:00:00.000Z	News	2.2.19	208.0	0.009039	-0.187500	-0.009615	0.004808		0.036058	0.019231	-0.014423	0.057692	0.028846	-0.048077	0.019231	0.120192	0.000000		-0.024038		0.028846	0.019231			
mp:2017-08-15_11.00.00.News.CUR.IDR	IDR	2017-08-15T11:00:00.000Z	News	2.2.19	309.8	0.013462	-0.183990	0.016139	0.006456		-0.066172	0.045190	0.022595	0.016139	0.038735	0.051646		0.157521	-0.006456		0.087153		0.015494				0.000000
mp:2017-08-15_11.00.00.News.CUR.ILS	ILS	2017-08-15T11:00:00.000Z	News	2.2.19	9.0	0.000391	0.555556									0.111111		0.194444			0.111111						
