id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	consumptionVolume	productionVolume	regulatoryIssues	supplyVsDemand	supplyVsDemandForecast	acreageCultivated	agDisease	subsidies	subsidiesSentiment	weatherDamage
mp:2017-08-15_03.00.00.Social.COM_AGR.CTTL	CTTL	2017-08-15T03:00:00.000Z	Social	2.2.19	379.9	0.163517	-0.064491	0.018426	0.005265	0.002632	-0.010529	0.064491	-0.015794	0.021058	0.076336	-0.002632	0.021058	0.131679	0.005265		0.002632		0.068176		0.034220		-0.007897		0.042116	0.010529			
mp:2017-08-15_03.00.00.Social.COM_AGR.COC	COC	2017-08-15T03:00:00.000Z	Social	2.2.19	2.0	0.000861	-1.000000											0.250000															
mp:2017-08-15_03.00.00.Social.COM_AGR.COF	COF	2017-08-15T03:00:00.000Z	Social	2.2.19	191.6	0.082469	-0.156576	-0.005219	0.005219	0.015658	0.001305	0.067850	0.005219	0.054802	0.120042	-0.005219	0.036534	0.145355	0.023486	0.005219	0.000000		0.024008		-0.015658		0.010438			0.005219			0.020877
mp:2017-08-15_03.00.00.Social.COM_AGR.COR	COR	2017-08-15T03:00:00.000Z	Social	2.2.19	537.4	0.231309	-0.104205	-0.023260	0.003722	0.022330	0.004885	0.001861	-0.028843	0.052103	0.048381	-0.008374	0.016747	0.163472	-0.016747		-0.000930	-0.000930	0.005396		0.013026		-0.009304	0.001861	0.014886	-0.000930			0.037216
mp:2017-08-15_03.00.00.Social.COM_AGR.COT	COT	2017-08-15T03:00:00.000Z	Social	2.2.19	227.4	0.097878	-0.274846	0.008795		0.008795	-0.002199	0.008795	0.065963	0.030783	0.114336	0.004398	0.028584	0.164028	0.008795				0.023747		0.000000		0.017590		-0.004398				0.008795
mp:2017-08-15_03.00.00.Social.COM_AGR.HOGS	HOGS	2017-08-15T03:00:00.000Z	Social	2.2.19	19.0	0.008178	-0.105263			0.105263			0.000000		0.105263			0.171053													-0.026316	-0.078947	
mp:2017-08-15_03.00.00.Social.COM_AGR.ORJ	ORJ	2017-08-15T03:00:00.000Z	Social	2.2.19	11.0	0.004735	-0.363636			-0.090909			-0.363636			-0.090909		0.068182	-0.090909														
mp:2017-08-15_03.00.00.Social.COM_AGR.POIL	POIL	2017-08-15T03:00:00.000Z	Social	2.2.19	3.0	0.001291	-0.333333	0.333333										0.333333															
mp:2017-08-15_03.00.00.Social.COM_AGR.RICE1	RICE1	2017-08-15T03:00:00.000Z	Social	2.2.19	251.0	0.108036	-0.051793	0.015936		0.007968	0.000000	0.031873	0.043825	0.015936	0.091633	-0.003984	0.015936	0.154382	0.007968		0.003984		0.007968		0.007968		-0.023904		0.011952				0.091633
mp:2017-08-15_03.00.00.Social.COM_AGR.SOY1	SOY1	2017-08-15T03:00:00.000Z	Social	2.2.19	201.3	0.086644	-0.074516	-0.004968			0.003726		0.019871	0.014903	0.084451	-0.014903	0.039742	0.023845	0.044709		-0.002484	-0.002484	0.088425		0.059613		-0.019871	0.009935	0.019871				0.034774
