id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	consumptionVolume	productionVolume	regulatoryIssues	supplyVsDemand	supplyVsDemandForecast	newExploration	safetyAccident
mp:2017-08-11_02.00.00.News.COM_ENM.ALU	ALU	2017-08-11T02:00:00.000Z	News	2.2.18	2412.2	0.052212	-0.116077	-0.008706	0.023837	0.001658	0.006581	0.012851	0.065708	0.007048	0.062184	0.007462	0.030677	0.146267	0.001658		0.021557	0.000829	0.033662	0.000829	0.004560	0.004146	-0.043943	-0.006633		
mp:2017-08-11_02.00.00.News.COM_ENM.BIOF	BIOF	2017-08-11T02:00:00.000Z	News	2.2.18	221.2	0.004788	-0.216998	0.018083			-0.005651	0.009042		0.054250	0.036166	0.004521	0.022604	0.145570	-0.004521				0.018987		-0.049729	0.018083	0.036166	-0.018083	0.018083	
mp:2017-08-11_02.00.00.News.COM_ENM.COA	COA	2017-08-11T02:00:00.000Z	News	2.2.18	3440.4	0.074468	-0.136757	-0.018166	0.004360	0.002616	0.002289	0.043018	0.032700	0.025288	0.064673	0.011191	0.018021	0.154757	-0.005959		0.004651	0.000581	0.035984	0.001163	-0.000727	0.003197	0.001017	0.002325	0.002035	0.000291
mp:2017-08-11_02.00.00.News.COM_ENM.CPPR	CPPR	2017-08-11T02:00:00.000Z	News	2.2.18	2325.2	0.050329	-0.138268	0.002365	0.007741	0.001290	0.007849	0.008601	-0.001290	0.019138	0.030965	-0.001290	0.010752	0.167900	-0.000215		0.020858		0.025460		0.010322	0.000430	-0.000215	-0.003441	0.015483	
mp:2017-08-11_02.00.00.News.COM_ENM.CRU	CRU	2017-08-11T02:00:00.000Z	News	2.2.18	13887.1	0.300587	-0.249800	-0.008065	0.021639	0.005257	0.001242	0.007489	-0.000972	0.019082	0.050551	-0.000504	0.007921	0.104948	0.004537	0.000000	0.006661	0.000648	0.033744	0.002736	0.011089		0.000576	-0.001368	0.000504	
mp:2017-08-11_02.00.00.News.COM_ENM.BIOETH	BIOETH	2017-08-11T02:00:00.000Z	News	2.2.18	203.2	0.004398	0.152559	-0.034449			0.007382		0.014764	0.039370	0.088583		0.029528	0.160925	-0.044291		0.014764		0.010827		0.063976		-0.004921			
mp:2017-08-11_02.00.00.News.COM_ENM.MOG	MOG	2017-08-11T02:00:00.000Z	News	2.2.18	1469.4	0.031805	-0.205186	-0.020757	0.025521	0.003403	0.003318	0.031305	0.041514	0.044916	0.074860	0.054444	0.007486	0.134766	0.006805		0.014972	-0.002042	0.020689	-0.008167	0.010208		0.015312	-0.003403	0.000681	
mp:2017-08-11_02.00.00.News.COM_ENM.GOL	GOL	2017-08-11T02:00:00.000Z	News	2.2.18	12542.5	0.271483	-0.115966	-0.010724	0.022523	0.001036	0.003229	0.023400	0.003668	0.016344	0.082440	-0.001355	0.022763	0.167182	0.007415	0.000757	0.002153	0.000478	0.047263	0.000478	0.003508		-0.005382	0.000080	0.010365	0.000159
mp:2017-08-11_02.00.00.News.COM_ENM.HOIL	HOIL	2017-08-11T02:00:00.000Z	News	2.2.18	85.0	0.001840	-0.811765						-0.011765			0.094118		0.226471			-0.023529		0.011765							
mp:2017-08-11_02.00.00.News.COM_ENM.IRN	IRN	2017-08-11T02:00:00.000Z	News	2.2.18	652.2	0.014117	0.000000	-0.065931	-0.000767	0.001533	0.012649	0.012266	0.032199	0.010733	0.040632	-0.000767	0.022999	0.150951	0.001533	0.001533	0.032965		0.030972	-0.003067	-0.006133		0.050598	0.019933	0.012266	
