id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	loveHate	anger	debtDefault	innovation	marketRisk	budgetDeficit	businessExpansion	centralBank	commercialRealEstateSentiment	consumerSentiment	creditEasyVsTight	economicGrowth	economicUncertainty	economicVolatility	financialSystemInstability	fiscalPolicyLooseVsTight	governmentAnger	governmentCorruption	governmentInstability	inflation	inflationForecast	interestRates	interestRatesForecast	investmentFlows	monetaryPolicyLooseVsTight	naturalDisasters	regimeChange	residentialRealEstateGrowth	residentialRealEstateSales	residentialRealEstateSentiment	residentialRealEstateValues	sanctions	socialInequality	socialUnrest	tradeBalance	unemployment
mp:2017-08-12_12.00.00.News.COU.AF	AF	2017-08-12T12:00:00.000Z	News	2.2.18	5397.9	0.004648	-0.163767	-0.004631	0.001575	0.001482	-0.001899	0.364679	0.047982	0.025288	0.055299	0.010930	0.007410	0.010768	0.000000	0.009170			-0.010291		0.000185				0.000556	-0.002130	-0.000093	0.002130			0.001389	0.001853	0.016210							0.006669	-0.000185			-0.002964		0.001667		0.041127		-0.000556
mp:2017-08-12_12.00.00.News.COU.DZ	DZ	2017-08-12T12:00:00.000Z	News	2.2.18	450.9	0.000388	-0.182967	-0.022178	0.011089	0.004436	0.004990	0.048791	0.035485	0.008871	0.067642	0.000000	0.070969	0.084304	0.019960	0.011089			-0.027168		0.002218					0.006653					0.004436	-0.004436	0.017077							0.011089	0.000444							0.013307		
mp:2017-08-12_12.00.00.News.COU.AO	AO	2017-08-12T12:00:00.000Z	News	2.2.18	210.0	0.000181	-0.190476	0.000000		0.009524	0.001190	0.052381	-0.023810		0.109524	-0.019048		0.045833	0.019048		0.128571		-0.002381							-0.047619							0.066667																	
mp:2017-08-12_12.00.00.News.COU.AR	AR	2017-08-12T12:00:00.000Z	News	2.2.18	1913.5	0.001648	-0.177685	-0.012020	0.010975	0.006794	-0.001764	0.052260	0.031095	0.027175	0.068200	0.018814	0.019336	0.075483	0.004703	0.002613		0.001045	-0.013588		0.002090	0.000523				0.004442	-0.004703	0.006271		-0.000523	0.000523	0.003136	0.011759	0.002090	0.000523	0.001045			0.001045	0.007316		0.001045		0.001307			0.001568	0.029004	0.009407	
mp:2017-08-12_12.00.00.News.COU.AM	AM	2017-08-12T12:00:00.000Z	News	2.2.18	17.5	0.000015	0.285714						-0.114286			-0.057143		0.096429					0.028571					0.028571	0.057143	0.028571		-0.028571																						
mp:2017-08-12_12.00.00.News.COU.AU	AU	2017-08-12T12:00:00.000Z	News	2.2.18	33863.6	0.029161	-0.112628	-0.003868	0.007722	0.010764	-0.003012	0.055871	0.031952	0.033487	0.067609	0.027168	0.017585	0.085974	0.005655	0.009258	-0.000177	0.000930	-0.009100		0.001757	0.001181		-0.000797	-0.000192	0.005227	0.000797	0.007536	0.000059		0.002451	0.001211	0.011056	0.000856		0.000118	0.000030			0.003056	0.000100	0.000723		-0.004164		0.000030	0.000148	0.008652	-0.000118	-0.000059
mp:2017-08-12_12.00.00.News.COU.AT	AT	2017-08-12T12:00:00.000Z	News	2.2.18	483.0	0.000416	0.002070	0.024845	0.004141	0.004141	-0.011905	0.037267	0.041408	0.035197	0.050725	0.011387	0.006211	0.094203		0.010352		0.008282	-0.003106							-0.026915	0.016563	0.003106			0.002070		0.012422	0.002070						0.013458								0.004141		
mp:2017-08-12_12.00.00.News.COU.BH	BH	2017-08-12T12:00:00.000Z	News	2.2.18	610.2	0.000525	-0.054900	0.021304		0.003278	0.003278	0.042609	0.005736	0.088496	0.071288	0.019666	0.009833	0.059202		0.001639			0.004261					0.002458		0.172075		0.004916			0.001639	-0.006555	0.014749								0.001639			0.003278				0.003278	-0.006555	-0.001639
mp:2017-08-12_12.00.00.News.COU.BD	BD	2017-08-12T12:00:00.000Z	News	2.2.18	4144.3	0.003569	-0.149000	0.003619	0.003016	0.004343	-0.008295	0.083609	0.041623	0.031610	0.056825	0.010617	0.014960	0.075866	0.011582	0.012547		0.002172	-0.010122		0.000483	0.000724		0.000724		0.004102	-0.001448	0.015491				0.006032	0.019907	0.000000		-0.000483				0.010376	0.000483	0.000241		-0.002413				0.025577	0.000000	-0.000241
mp:2017-08-12_12.00.00.News.COU.BY	BY	2017-08-12T12:00:00.000Z	News	2.2.18	68.5	0.000059	0.000000	0.014599					-0.072993	0.058394		0.065693		0.099453	0.014599			0.014599	0.007299							-0.014599														0.014599		0.029197						0.043796		
