id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	loveHate	anger	debtDefault	innovation	marketRisk	budgetDeficit	businessExpansion	centralBank	commercialRealEstateSentiment	consumerSentiment	creditEasyVsTight	economicGrowth	economicUncertainty	economicVolatility	financialSystemInstability	fiscalPolicyLooseVsTight	governmentAnger	governmentCorruption	governmentInstability	inflation	inflationForecast	interestRates	interestRatesForecast	investmentFlows	monetaryPolicyLooseVsTight	naturalDisasters	regimeChange	residentialRealEstateGrowth	residentialRealEstateSales	residentialRealEstateSentiment	residentialRealEstateValues	sanctions	socialInequality	socialUnrest	tradeBalance	unemployment
mp:2017-08-10_14.00.00.News.COU.AF	AF	2017-08-10T14:00:00.000Z	News	2.2.18	6036.6	0.003608	-0.183216	0.000580	0.007289	0.001491	-0.001387	0.263145	0.041745	0.024020	0.070818	0.005053	0.013252	0.034519	-0.001574	0.012010	0.000166	0.000331	-0.013037		0.000000				-0.000663	0.001242	0.000000	0.000248			0.002154	0.000083	0.020707	0.000331		0.001325				0.001822	-0.000000			-0.000331		0.000166	0.000497	0.016483	-0.000331	
mp:2017-08-10_14.00.00.News.COU.DZ	DZ	2017-08-10T14:00:00.000Z	News	2.2.18	653.4	0.000390	-0.096419	0.001530	0.003061	0.003061	0.000191	0.129324	0.102541	0.004591	0.035966	0.027548	0.052036	0.038376	0.029079	0.001530			-0.009183							-0.003826	-0.001530	0.022957				-0.006122	0.066881	0.001530		0.003061					0.000306							0.013009	-0.003061	
mp:2017-08-10_14.00.00.News.COU.AO	AO	2017-08-10T14:00:00.000Z	News	2.2.18	210.6	0.000126	-0.030864	0.042735	0.009497	0.009497	0.002374	0.094967	0.007123	0.033238	0.094967	0.056980	0.023742	0.064103	0.009497				0.001425							0.028490	-0.004748	0.033238					0.014245															0.018993		
mp:2017-08-10_14.00.00.News.COU.AR	AR	2017-08-10T14:00:00.000Z	News	2.2.18	2027.9	0.001212	-0.035751	0.005424	0.014301	0.002959	-0.000555	0.029587	0.008383	0.024409	0.059175	0.013807	0.018985	0.075324	0.001726	0.010602	0.000493	0.001479	-0.015657		0.000493	0.002466		0.000986	0.002959	0.021944	-0.005671	0.016125	0.000493	-0.000986		-0.000986	0.009073	-0.001479		0.000493				0.002466	-0.000049							0.014054		-0.000493
mp:2017-08-10_14.00.00.News.COU.AM	AM	2017-08-10T14:00:00.000Z	News	2.2.18	214.5	0.000128	-0.079254	0.013986		0.018648	0.001166	0.163170	0.009324	0.004662	0.051282	0.018648	0.002331	0.053322	0.023310	0.023310			0.006993							0.032634	0.004662				0.009324	-0.004662	0.000000															0.027972		
mp:2017-08-10_14.00.00.News.COU.AU	AU	2017-08-10T14:00:00.000Z	News	2.2.18	68035.8	0.040659	-0.152875	-0.003697	0.008040	0.005446	-0.008808	0.041706	0.038605	0.030631	0.073821	0.012119	0.014933	0.084292	0.002822	0.007202	0.000735	0.003300	-0.007014		0.000456	0.000206	-0.000029	-0.001830	0.000213	0.001808	-0.001345	0.015014		0.000037	0.002043	0.003263	0.010245	0.002403	0.000132	0.000250	0.000294		-0.000029	0.003366		0.000559	-0.000015	-0.000338	0.000220	0.000250	0.000331	0.008165	-0.000367	-0.000015
mp:2017-08-10_14.00.00.News.COU.AT	AT	2017-08-10T14:00:00.000Z	News	2.2.18	1142.2	0.000683	-0.170285	0.012695	0.002627	0.004378	-0.001970	0.025390	-0.020574	0.029767	0.058659	-0.001751	0.006129	0.087331	0.004378	0.006566		0.002627	-0.002101		-0.002627				-0.002627	-0.014884	-0.001751	0.021888					0.007880	-0.007004														0.002627		0.002627
mp:2017-08-10_14.00.00.News.COU.BH	BH	2017-08-10T14:00:00.000Z	News	2.2.18	687.0	0.000411	0.139738	0.020378		0.017467	0.003639	0.018923	0.023290	0.037846	0.059680	0.029112	0.008734	0.096798	0.021834	0.005822		0.001456	0.013100		0.002911	0.005822				0.049491	-0.005822						0.007278									0.001456		0.005822		0.001456				
mp:2017-08-10_14.00.00.News.COU.BD	BD	2017-08-10T14:00:00.000Z	News	2.2.18	3136.4	0.001874	-0.164360	-0.006377	0.006217	0.003188	-0.004504	0.081144	0.025348	0.033637	0.064405	0.012435	0.009884	0.066737	0.009565	0.011638	0.001594	0.001594	-0.011653	0.000638	0.001275	0.006058		0.001913	-0.002870	0.027261	0.000319	0.011000			0.003985	0.002710	0.008290	0.002391						0.002551				-0.002551				0.015464	0.008927	
mp:2017-08-10_14.00.00.News.COU.BY	BY	2017-08-10T14:00:00.000Z	News	2.2.18	34.5	0.000021	-0.304348				-0.014493		-0.057971		0.028986			0.056159							0.028986					0.057971							0.014493	0.275362																
