id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	consumptionVolume	productionVolume	regulatoryIssues	supplyVsDemand	supplyVsDemandForecast	acreageCultivated	agDisease	subsidies	subsidiesSentiment	weatherDamage
mp:2017-08-13_00.00.00.News.COM_AGR.CTTL	CTTL	2017-08-13T00:00:00.000Z	News	2.2.18	490.5	0.248556	-0.205912	-0.001019	0.004077	0.010194	-0.027523	0.031600	0.034659	0.020387	0.059123	-0.013252	0.008155	0.177370	-0.012232				0.022426			0.016310	-0.004077		0.003058	-0.002039	0.004077	0.004077	0.004077
mp:2017-08-13_00.00.00.News.COM_AGR.COC	COC	2017-08-13T00:00:00.000Z	News	2.2.18	226.1	0.114574	-0.229987				0.002211		0.017691	0.168067	0.035383		0.013268	0.048540			-0.035383		0.086687				0.176913		0.037594				
mp:2017-08-13_00.00.00.News.COM_AGR.COF	COF	2017-08-13T00:00:00.000Z	News	2.2.18	104.0	0.052701	-0.062500	-0.048077		0.009615	0.002404		-0.004808	0.038462	0.067308	-0.028846	0.009615	0.182692			0.009615		0.057692		0.019231		-0.028846						
mp:2017-08-13_00.00.00.News.COM_AGR.COR	COR	2017-08-13T00:00:00.000Z	News	2.2.18	177.5	0.089946	0.053521	-0.022535		0.011268	0.014085	0.005634	-0.039437	0.022535	0.025352	-0.045070		0.041549	0.011268		0.022535		0.033803		0.045070		0.076056	0.022535	0.000000				0.005634
mp:2017-08-13_00.00.00.News.COM_AGR.COT	COT	2017-08-13T00:00:00.000Z	News	2.2.18	339.2	0.171886	-0.232901	0.008844	0.035377		-0.002580	0.050118	0.035377	0.091392	0.114976	0.014741	0.002948	0.147627	-0.014741		-0.002948		0.006486		0.008844		-0.064858		0.008844	0.005896			0.005896
mp:2017-08-13_00.00.00.News.COM_AGR.HOGS	HOGS	2017-08-13T00:00:00.000Z	News	2.2.18	4.0	0.002027	0.250000				0.062500				0.250000	-0.250000		0.250000															
mp:2017-08-13_00.00.00.News.COM_AGR.POIL	POIL	2017-08-13T00:00:00.000Z	News	2.2.18	72.0	0.036485	0.111111	0.027778					0.083333					0.024306			-0.083333		0.041667		0.013889		-0.111111	0.013889					
mp:2017-08-13_00.00.00.News.COM_AGR.RICE1	RICE1	2017-08-13T00:00:00.000Z	News	2.2.18	138.5	0.070183	-0.281588	0.036101			-0.005415	0.007220	0.050542	0.021661	0.043321	0.003610	0.028881	0.105596	-0.021661		0.007220		0.057762		0.036101		0.021661		0.007220				0.064982
mp:2017-08-13_00.00.00.News.COM_AGR.SOY1	SOY1	2017-08-13T00:00:00.000Z	News	2.2.18	31.5	0.015962	-0.158730	0.126984					-0.031746	0.031746	0.063492	-0.015873	0.126984	0.146825	0.031746				0.031746				-0.126984						
mp:2017-08-13_00.00.00.News.COM_AGR.SUG	SUG	2017-08-13T00:00:00.000Z	News	2.2.18	159.0	0.080572	-0.182390	0.006289		0.025157	0.000000		-0.056604		0.050314	-0.050314	0.018868	0.111635	-0.018868				0.037736	0.012579			0.044025	0.037736					
mp:2017-08-13_00.00.00.News.COM_AGR.WHT	WHT	2017-08-13T00:00:00.000Z	News	2.2.18	231.1	0.117108	-0.246646	0.012981			0.003245	0.025963	-0.004327		0.056253	-0.062743		0.073453	-0.017309		0.004327		0.063176		-0.021636		0.056253	0.038944		0.025963			0.008654
mp:2017-08-13_00.00.00.News_Social.COM_AGR.CTTL	CTTL	2017-08-13T00:00:00.000Z	News_Social	2.2.18	623.0	0.210196	-0.156501	-0.005618	0.004815	0.011236	-0.020064	0.036918	0.021669	0.022472	0.062600	-0.007223	0.014446	0.175562	-0.009631				0.032905		0.002408	0.012841	-0.003210		0.002408	0.001605	0.003210	0.003210	0.004815
