id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	loveHate	anger	debtDefault	innovation	marketRisk	budgetDeficit	businessExpansion	centralBank	commercialRealEstateSentiment	consumerSentiment	creditEasyVsTight	economicGrowth	economicUncertainty	economicVolatility	financialSystemInstability	fiscalPolicyLooseVsTight	governmentAnger	governmentCorruption	governmentInstability	inflation	inflationForecast	interestRates	interestRatesForecast	investmentFlows	monetaryPolicyLooseVsTight	naturalDisasters	regimeChange	residentialRealEstateGrowth	residentialRealEstateSales	residentialRealEstateSentiment	residentialRealEstateValues	sanctions	socialInequality	socialUnrest	tradeBalance	unemployment
mp:2017-08-11_18.00.00.News.COU.AF	AF	2017-08-11T18:00:00.000Z	News	2.2.18	5406.1	0.003410	-0.152143	-0.003977	0.002590	0.001110	-0.002173	0.311500	0.037735	0.023677	0.055955	0.011099	0.010081	0.027839	0.000000	0.008509	0.000555		-0.007898		0.000370					0.003145	0.000185	0.001202			0.001110	0.001295	0.006289							0.007307	-0.000092			-0.002960		0.001295		0.022660		-0.001480
mp:2017-08-11_18.00.00.News.COU.DZ	DZ	2017-08-11T18:00:00.000Z	News	2.2.18	832.9	0.000525	-0.072037	0.021611	0.002401	0.003602	0.008104	0.074439	0.022812	0.050426	0.048025	-0.009605	0.030016	0.062898	0.008404	0.006003	-0.002401		-0.001501		0.006003				-0.001201	0.030016	0.004802	0.001201			0.002401	-0.002401	-0.009965	0.002401	0.002401					0.003602	0.000240	0.004802						0.014407		
mp:2017-08-11_18.00.00.News.COU.AO	AO	2017-08-11T18:00:00.000Z	News	2.2.18	361.0	0.000228	0.094183	0.011080	0.002770	0.005540	0.004848	0.002770	0.002770		0.102493	0.022161	0.038781	0.075139	0.047091				-0.005540						-0.005540	0.044321							0.022161																	
mp:2017-08-11_18.00.00.News.COU.AR	AR	2017-08-11T18:00:00.000Z	News	2.2.18	3399.4	0.002144	-0.112373	-0.000735	0.005883	0.003677	0.000404	0.050744	0.030299	0.034271	0.057951	0.021033	0.025887	0.069509	0.002059	0.009708	0.001030	0.001765	-0.007545		0.000883	0.005001				0.016621	-0.003530	0.009472		-0.002353	0.000588	-0.002795	0.015885	0.013679	0.000588				0.000588	0.010002	0.000294			0.000588			0.000883	0.008972	0.011178	-0.000294
mp:2017-08-11_18.00.00.News.COU.AM	AM	2017-08-11T18:00:00.000Z	News	2.2.18	23.5	0.000015	0.085106				-0.021277	0.106383	-0.021277	0.042553	0.106383	0.042553		0.093085		0.042553			-0.021277																													0.042553		
mp:2017-08-11_18.00.00.News.COU.AU	AU	2017-08-11T18:00:00.000Z	News	2.2.18	66652.1	0.042046	-0.118863	-0.005851	0.008184	0.007089	-0.004310	0.047185	0.029706	0.031289	0.066322	0.016939	0.017344	0.078664	0.004223	0.006474	0.000390	0.001583	-0.010018		0.001920	0.002311	0.000045	-0.000585	0.001103	0.004674	0.000983	0.014853	0.000030		0.001410	0.000210	0.007074	0.001380	0.000278	0.001028	0.000045		0.000015	0.002566	0.000075	0.000810		-0.002521	0.000225	0.000165	0.000173	0.007112	-0.000075	-0.000090
mp:2017-08-11_18.00.00.News.COU.AT	AT	2017-08-11T18:00:00.000Z	News	2.2.18	849.6	0.000536	0.022952	0.025895	0.007062	0.011182	-0.005297	0.035311	0.026483	0.032368	0.044138	0.017655	0.007651	0.070386	0.001177	0.003531		0.002354	-0.006474					0.003531		0.024718	0.010593	0.015419					0.010593	0.012947						0.041784								0.004708	-0.002354	
mp:2017-08-11_18.00.00.News.COU.BH	BH	2017-08-11T18:00:00.000Z	News	2.2.18	383.6	0.000242	0.013034	-0.002607	0.007821	0.005214	0.007169	0.062565	0.002607	0.023462	0.078206	0.005214	0.028676	0.087982		0.002607			0.009906							-0.015641		0.010428			0.002607	-0.010428	0.031283								0.002607			0.010428				0.005214		
mp:2017-08-11_18.00.00.News.COU.BD	BD	2017-08-11T18:00:00.000Z	News	2.2.18	3531.9	0.002228	-0.190549	0.007078	0.004813	0.002690	-0.007928	0.086073	0.030720	0.027464	0.069934	0.012316	0.013166	0.072252	0.009343	0.008636		0.001416	-0.008338	0.000283	0.001416	0.004247		0.002265	-0.000566	-0.003822	0.000142	0.011778			0.001416	0.003398	0.010108	0.000566						0.015855	0.000057	0.000849		-0.001416				0.020244	0.000566	
mp:2017-08-11_18.00.00.News.COU.BY	BY	2017-08-11T18:00:00.000Z	News	2.2.18	249.5	0.000157	-0.042084	0.052104	0.004008		0.001002		-0.012024	0.020040	0.016032	0.038076	0.020040	0.061373	0.012024			0.004008	0.014028		0.016032					0.036072	0.012024					0.004008	0.008016	-0.042084		-0.008016				0.004008								0.012024		
mp:2017-08-11_18.00.00.News.COU.BE	BE	2017-08-11T18:00:00.000Z	News	2.2.18	4607.5	0.002907	-0.270646	-0.006620	0.014759	0.006186	-0.021270	0.059685	0.036462	0.024417	0.085079	0.004883	0.009767	0.081620	0.003473	0.006945			-0.020510		0.000434					-0.009333	-0.001519	0.011503			0.004775	0.005317	0.039718	0.000434		0.000434				0.001302		0.000000		-0.002821		0.000434		0.024091		-0.004775
