id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	consumptionVolume	productionVolume	regulatoryIssues	supplyVsDemand	supplyVsDemandForecast	newExploration	safetyAccident
mp:2017-08-15_20.00.00.News_Social.COM_ENM.ALU	ALU	2017-08-15T20:00:00.000Z	News_Social	2.2.19	1611.3	0.029932	-0.168187	-0.040650	0.004965	0.002482	-0.008844	0.017998	0.004655	0.039719	0.049029	0.026687	0.039719	0.177450	-0.001552	0.000621	0.002482	-0.002482	0.025321	0.002482	0.001862		-0.021722	-0.000621		
mp:2017-08-15_20.00.00.News_Social.COM_ENM.BIOF	BIOF	2017-08-15T20:00:00.000Z	News_Social	2.2.19	314.4	0.005840	0.286260	0.095420			0.027831	0.006361	-0.069975	0.015903	0.031807	-0.003181	0.015903	0.165076	0.025445	0.003181	0.003181		0.023537	0.009542	0.038168		-0.012723		0.000000	
mp:2017-08-15_20.00.00.News_Social.COM_ENM.COA	COA	2017-08-15T20:00:00.000Z	News_Social	2.2.19	3351.5	0.062258	-0.160973	-0.018648	0.010294	0.005371	-0.001641	0.037595	0.012084	0.029539	0.093093	0.009399	0.018052	0.159511	-0.002835	0.000149	0.001790		0.026436	0.000597	-0.012532	0.015515	-0.018201	-0.000298	0.004923	0.000597
mp:2017-08-15_20.00.00.News_Social.COM_ENM.CPPR	CPPR	2017-08-15T20:00:00.000Z	News_Social	2.2.19	2088.3	0.038793	-0.132404	-0.003831	0.001437	0.007662	0.006524	0.006943	0.023703	0.016281	0.039027	-0.012929	0.026816	0.144795	0.004789	0.000958	0.047886	0.000000	0.024901		-0.017718	0.002873	-0.036872	-0.001437	0.009098	
mp:2017-08-15_20.00.00.News_Social.COM_ENM.CRU	CRU	2017-08-15T20:00:00.000Z	News_Social	2.2.19	13636.7	0.253319	-0.316572	-0.011696	0.009680	0.001797	0.000596	0.005500	-0.025116	0.056465	0.073992	-0.007920	0.009093	0.144855	0.001613	-0.000440	-0.003483	-0.000477	0.053393	0.000000	-0.001247	0.000660	-0.001650	-0.001027	0.002127	0.000073
mp:2017-08-15_20.00.00.News_Social.COM_ENM.BIOETH	BIOETH	2017-08-15T20:00:00.000Z	News_Social	2.2.19	197.2	0.003663	0.025355	0.030426		0.005071	0.012677	0.030426	0.000000	0.020284	0.053245	0.010142	0.035497	0.087221	0.017748		0.010142		0.031440	0.010142	0.060852		-0.040568			
mp:2017-08-15_20.00.00.News_Social.COM_ENM.MOG	MOG	2017-08-15T20:00:00.000Z	News_Social	2.2.19	3081.5	0.057243	-0.158364	0.003083	0.025312	0.000325	0.006815	0.024339	0.007139	0.052247	0.063281	-0.001623	0.018984	0.144483	0.008924	-0.000325	0.005841	0.005841	0.032744	0.000325	0.008275		0.018497	-0.001623	0.000649	
mp:2017-08-15_20.00.00.News_Social.COM_ENM.GOL	GOL	2017-08-15T20:00:00.000Z	News_Social	2.2.19	13818.3	0.256693	-0.198939	-0.009516	0.008612	0.006368	0.003546	0.023049	-0.007201	0.023013	0.083657	0.010095	0.025980	0.180246	0.005536	-0.000796	0.000832	0.000362	0.027102	0.000434	0.002062		-0.017983	-0.000724	0.009118	
mp:2017-08-15_20.00.00.News_Social.COM_ENM.HOIL	HOIL	2017-08-15T20:00:00.000Z	News_Social	2.2.19	166.2	0.003087	-0.330927				0.003008					0.048135		0.135078			-0.024067	0.036101	0.001203	-0.006017			0.072202			
mp:2017-08-15_20.00.00.News_Social.COM_ENM.IRN	IRN	2017-08-15T20:00:00.000Z	News_Social	2.2.19	2973.5	0.055237	-0.210190	0.006726	0.013957	0.001850	0.005045	0.034303	0.014461	0.037834	0.095510	-0.000168	0.012780	0.151219	-0.016143		-0.017152		0.025256	0.000673	-0.015806		-0.016983	0.003363	0.001682	
mp:2017-08-15_20.00.00.News_Social.COM_ENM.JET	JET	2017-08-15T20:00:00.000Z	News_Social	2.2.19	201.2	0.003738	-0.188867	0.024851					-0.049702		0.019881	0.059642	0.009940	0.061133			0.009940		0.013917				0.104374			
