id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	consumptionVolume	productionVolume	regulatoryIssues	supplyVsDemand	supplyVsDemandForecast	acreageCultivated	agDisease	subsidies	subsidiesSentiment	weatherDamage
mp:2017-08-16_07.00.00.News.COM_AGR.CTTL	CTTL	2017-08-16T07:00:00.000Z	News	2.2.19	975.2	0.086983	-0.092289	-0.002051	0.005127	0.004102	-0.004102	0.047170	0.027687	0.022559	0.079984	0.016407	0.004102	0.105055	0.020509		0.005127	0.002051	0.051477		0.021534	0.018458	-0.006153		0.004102	0.002051			
mp:2017-08-16_07.00.00.News.COM_AGR.COC	COC	2017-08-16T07:00:00.000Z	News	2.2.19	671.2	0.059868	-0.299464	0.014899	0.032777			0.005959	0.005959	0.011919	0.123659			0.109058	0.004470	0.011919	-0.029797		0.037545				0.077473		-0.004470				
mp:2017-08-16_07.00.00.News.COM_AGR.COF	COF	2017-08-16T07:00:00.000Z	News	2.2.19	662.5	0.059092	-0.146415	-0.009057	0.006038		0.002642	0.013585	-0.025660	0.018113	0.073208	0.015094	0.007547	0.140943	0.006038	0.012075	0.030189		0.034717	0.000000	0.006038		0.012075		-0.003019	0.001509			0.006038
mp:2017-08-16_07.00.00.News.COM_AGR.COR	COR	2017-08-16T07:00:00.000Z	News	2.2.19	1589.7	0.141793	-0.093414	0.006290	0.005032	0.001258	0.001258	0.021388	-0.016984	0.028307	0.047179	0.003774	0.035227	0.099122	-0.010065		-0.011008	0.001258	0.041643		0.000629		0.040574	0.003774	-0.008807				0.008178
mp:2017-08-16_07.00.00.News.COM_AGR.COT	COT	2017-08-16T07:00:00.000Z	News	2.2.19	304.2	0.027133	-0.185733	-0.042735	0.006575		-0.006575	0.039448	0.019724	0.013149	0.124918	-0.023011	0.006575	0.175707	0.006575		-0.009862		0.000657		0.013149		0.000000		-0.001644				
mp:2017-08-16_07.00.00.News.COM_AGR.HOGS	HOGS	2017-08-16T07:00:00.000Z	News	2.2.19	20.0	0.001784	0.400000											-0.050000			0.100000						0.300000						
mp:2017-08-16_07.00.00.News.COM_AGR.ORJ	ORJ	2017-08-16T07:00:00.000Z	News	2.2.19	6.0	0.000535	1.000000											0.250000															
mp:2017-08-16_07.00.00.News.COM_AGR.POIL	POIL	2017-08-16T07:00:00.000Z	News	2.2.19	698.4	0.062294	-0.140321	-0.022910			0.013603	0.041523	0.002864	0.083047	0.075888	-0.008591		0.084694	0.005727	-0.001432	0.001432		0.054983		0.040092		0.048683	-0.001432					
mp:2017-08-16_07.00.00.News.COM_AGR.RICE1	RICE1	2017-08-16T07:00:00.000Z	News	2.2.19	766.6	0.068377	-0.256979	-0.030003	0.003913		-0.014023	0.023480	0.041091	0.019567	0.022828	0.009131	0.041743	0.119750	0.016958				0.012784		0.014349		-0.028698	0.002609	0.007827	0.002609	0.010436		0.050874
mp:2017-08-16_07.00.00.News.COM_AGR.SOY1	SOY1	2017-08-16T07:00:00.000Z	News	2.2.19	1613.4	0.143907	-0.319512	0.002789	0.000620	0.000620	0.002789	0.013946	-0.009607	0.017045	0.032230	0.008367	0.017355	0.089500	0.004029		-0.024792	-0.000620	0.042085	-0.000930	0.009297		0.090802	0.003719	0.001859	0.001240			0.002479
mp:2017-08-16_07.00.00.News.COM_AGR.SUG	SUG	2017-08-16T07:00:00.000Z	News	2.2.19	1722.0	0.153594	-0.206156	-0.027875	0.025552	0.001742	-0.002831	0.090012	0.043844	0.046458	0.080720	0.047038	0.004065	0.160569	-0.008711		-0.000581		0.016260	0.001161	0.001161		0.019744	0.002323	0.001161				0.011614
mp:2017-08-16_07.00.00.News.COM_AGR.WHT	WHT	2017-08-16T07:00:00.000Z	News	2.2.19	2182.2	0.194641	-0.152369	-0.011227	0.004124	0.001375	-0.001375	0.005957	0.005728	0.016955	0.062781	-0.005728	0.065072	0.134704	0.015810	-0.000458	-0.006874	-0.001375	0.040418		-0.000458		0.024058	0.002750	-0.000917		0.007332		0.000458
mp:2017-08-16_07.00.00.News_Social.COM_AGR.CTTL	CTTL	2017-08-16T07:00:00.000Z	News_Social	2.2.19	1335.9	0.100902	-0.113407	0.000749	0.007486	0.005240	-0.000936	0.071113	0.022082	0.018714	0.072610	0.026574	0.005240	0.106314	0.014223		0.004491	0.001497	0.051201	-0.001497	0.013474	0.013474	-0.007486		0.003743	0.002246			0.000749
mp:2017-08-16_07.00.00.News_Social.COM_AGR.COC	COC	2017-08-16T07:00:00.000Z	News_Social	2.2.19	686.6	0.051860	-0.302942	0.014565	0.032042			0.005826	0.005826	0.011652	0.120886			0.107559	0.004369	0.011652	-0.029129		0.037285				0.075736		-0.013108				
mp:2017-08-16_07.00.00.News_Social.COM_AGR.COF	COF	2017-08-16T07:00:00.000Z	News_Social	2.2.19	832.5	0.062880	-0.085886	0.000000	0.004805	0.016817	0.002402	0.010811	-0.032432	0.019820	0.061862	0.027628	0.015616	0.147898	0.012012	0.009610	0.024024		0.034835	0.000000	0.008408		0.012012	0.002402	-0.002402	0.001201			0.014414
mp:2017-08-16_07.00.00.News_Social.COM_AGR.COR	COR	2017-08-16T07:00:00.000Z	News_Social	2.2.19	1900.6	0.143554	-0.082869	0.003683	0.004209	0.002105	0.001184	0.017889	-0.022098	0.022361	0.050510	0.014732	0.032621	0.098574	-0.008418		-0.011312	0.001052	0.042408		0.001578		0.040777	0.007366	-0.005261	0.001052			0.017889
mp:2017-08-16_07.00.00.News_Social.COM_AGR.COT	COT	2017-08-16T07:00:00.000Z	News_Social	2.2.19	523.2	0.039518	-0.120413	-0.025803	0.002867	-0.000956	-0.007884	0.022936	0.000000	0.016246	0.090787	-0.014335	0.018157	0.185541	-0.000956		-0.007645		0.002294		0.017202		0.003823	0.003823	-0.000956				0.001911
mp:2017-08-16_07.00.00.News_Social.COM_AGR.HOGS	HOGS	2017-08-16T07:00:00.000Z	News_Social	2.2.19	28.5	0.002153	0.333333	-0.070175							-0.017544	-0.035088		-0.021930	-0.035088		0.070175		0.017544				0.210526						
mp:2017-08-16_07.00.00.News_Social.COM_AGR.ORJ	ORJ	2017-08-16T07:00:00.000Z	News_Social	2.2.19	6.0	0.000453	1.000000											0.250000															
mp:2017-08-16_07.00.00.News_Social.COM_AGR.POIL	POIL	2017-08-16T07:00:00.000Z	News_Social	2.2.19	724.4	0.054715	-0.120099	-0.013805			0.016565	0.040033	0.002761	0.080066	0.073164	-0.008283		0.089246	0.005522	-0.001380	0.001380		0.054390		0.044174		0.049696	-0.001380					
mp:2017-08-16_07.00.00.News_Social.COM_AGR.RICE1	RICE1	2017-08-16T07:00:00.000Z	News_Social	2.2.19	866.6	0.065455	-0.251558	-0.027694	0.003462		-0.010674	0.028848	0.042119	0.017309	0.020194	0.010385	0.036926	0.107374	0.015001	-0.001154			0.011309		0.012693		-0.016155	0.002308	0.006924	0.003462	0.009231		0.070390
mp:2017-08-16_07.00.00.News_Social.COM_AGR.SOY1	SOY1	2017-08-16T07:00:00.000Z	News_Social	2.2.19	2024.0	0.152875	-0.283844	0.000247	0.002964	0.000741	0.002347	0.010870	-0.017540	0.021986	0.038291	0.007164	0.015810	0.080781	0.002223	-0.000988	-0.026433	-0.000988	0.049160	-0.000247	0.013093		0.085968	0.012846	0.004941	0.001976	0.002964		0.002470
mp:2017-08-16_07.00.00.News_Social.COM_AGR.SUG	SUG	2017-08-16T07:00:00.000Z	News_Social	2.2.19	1956.1	0.147746	-0.163080	-0.023516	0.022494	0.005112	-0.001342	0.080262	0.041665	0.050100	0.085630	0.036808	0.004857	0.165521	-0.006646		-0.000511		0.015286	0.002045	0.000511		0.020449	0.002045	0.001022	0.002045			0.011247
