id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	loveHate	anger	debtDefault	innovation	marketRisk	budgetDeficit	businessExpansion	centralBank	commercialRealEstateSentiment	consumerSentiment	creditEasyVsTight	economicGrowth	economicUncertainty	economicVolatility	financialSystemInstability	fiscalPolicyLooseVsTight	governmentAnger	governmentCorruption	governmentInstability	inflation	inflationForecast	interestRates	interestRatesForecast	investmentFlows	monetaryPolicyLooseVsTight	naturalDisasters	regimeChange	residentialRealEstateGrowth	residentialRealEstateSales	residentialRealEstateSentiment	residentialRealEstateValues	sanctions	socialInequality	socialUnrest	tradeBalance	unemployment
mp:2017-08-12_03.00.00.News.COU.AF	AF	2017-08-12T03:00:00.000Z	News	2.2.18	5988.3	0.004124	-0.154885	-0.004676	0.001753	0.001837	-0.002401	0.331981	0.048094	0.025800	0.060284	0.011606	0.008183	0.020759	0.000668	0.009602			-0.010913		0.000167				0.000501	-0.000334	0.000000	0.001586			0.001586	0.001670	0.012190							0.006012	-0.000167			-0.001336		0.001169		0.035653		-0.001503
mp:2017-08-12_03.00.00.News.COU.DZ	DZ	2017-08-12T03:00:00.000Z	News	2.2.18	460.9	0.000317	-0.237579	-0.013018	0.008679	0.004339	-0.001627	0.032545	0.041224	0.006509	0.058581	-0.010848	0.065090	0.079084	0.019527	0.010848			-0.017357		0.002170					0.004339		0.002170			0.004339		-0.018008							0.010848	0.000434							0.015188		
mp:2017-08-12_03.00.00.News.COU.AO	AO	2017-08-12T03:00:00.000Z	News	2.2.18	258.0	0.000178	-0.120155	0.000000	0.003876	0.007752	0.000969	0.042636	-0.027132		0.093023	-0.023256		0.050388	0.065891		0.104651		-0.003876						-0.007752	-0.046512							0.054264																	
mp:2017-08-12_03.00.00.News.COU.AR	AR	2017-08-12T03:00:00.000Z	News	2.2.18	2427.2	0.001671	-0.147907	-0.004326	0.011948	0.005150	-0.002060	0.056856	0.034814	0.025544	0.065714	0.017304	0.016068	0.073696	0.004944	0.004532	0.000824	0.000824	-0.009641		0.001648	0.000824				0.003502	-0.004120	0.006592		-0.000412	0.000824	0.000824	0.016686	0.002884	0.000412	0.000824			0.000824	0.007828		0.000824		0.002678			0.001236	0.024102	0.007416	
mp:2017-08-12_03.00.00.News.COU.AM	AM	2017-08-12T03:00:00.000Z	News	2.2.18	23.5	0.000016	0.170213				-0.021277	0.106383	-0.063830	0.042553	0.063830			0.082447		0.042553			-0.021277						0.042553																							0.042553		
mp:2017-08-12_03.00.00.News.COU.AU	AU	2017-08-12T03:00:00.000Z	News	2.2.18	55048.4	0.037908	-0.126679	-0.002589	0.008511	0.008511	-0.003170	0.047304	0.033035	0.030491	0.067559	0.020909	0.017049	0.084098	0.004342	0.008701	0.000118	0.001417	-0.008508		0.001362	0.002053	0.000018	-0.000963	0.000064	0.001635	0.000999	0.012754	0.000036		0.002153	-0.000173	0.008839	0.000954	0.000145	0.000154	0.000036		0.000018	0.003206	0.000065	0.000409		-0.002997	0.000182	0.000182	0.000136	0.007793	-0.000127	-0.000091
mp:2017-08-12_03.00.00.News.COU.AT	AT	2017-08-12T03:00:00.000Z	News	2.2.18	650.5	0.000448	-0.030746	0.026134	0.004612	0.012298	-0.006149	0.043044	0.035357	0.041507	0.046887	0.015373	0.006149	0.077729	0.000000	0.006149		0.004612	-0.007686					0.004612		0.013836	0.013836	0.008455			0.001537		0.009224	0.016910						0.020753								0.004612	-0.003075	
mp:2017-08-12_03.00.00.News.COU.BH	BH	2017-08-12T03:00:00.000Z	News	2.2.18	393.2	0.000271	0.053408	-0.002543	0.007630	0.005086	0.006994	0.045778	-0.010173	0.022889	0.076297	0.007630	0.027976	0.091874		0.002543			0.010427							-0.017803		0.010173			0.002543	-0.010173	0.030519								0.002543			0.010173				0.005086		
mp:2017-08-12_03.00.00.News.COU.BD	BD	2017-08-12T03:00:00.000Z	News	2.2.18	4147.1	0.002856	-0.166984	0.003858	0.004340	0.003738	-0.009253	0.075113	0.036773	0.030865	0.069928	0.012418	0.014830	0.078000	0.009404	0.008801		0.001447	-0.009211	0.000241	0.000723	0.002894		0.000723	-0.000241	0.003135	-0.000482	0.014902			0.000723	0.006028	0.016084	0.000241						0.014227	0.000048	0.000723		-0.001929				0.022184	0.000000	-0.000241
mp:2017-08-12_03.00.00.News.COU.BY	BY	2017-08-12T03:00:00.000Z	News	2.2.18	157.5	0.000108	0.146032	0.063492			0.000000		-0.025397	0.025397		0.066667	0.019048	0.075794	0.006349			0.006349	0.009524		0.019048					0.031746	0.012698					0.006349	0.006349	0.019048						0.006349		0.012698						0.019048		
