id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	consumptionVolume	productionVolume	regulatoryIssues	supplyVsDemand	supplyVsDemandForecast	newExploration	safetyAccident
mp:2017-08-11_21.00.00.News.COM_ENM.ALU	ALU	2017-08-11T21:00:00.000Z	News	2.2.18	1622.1	0.035325	-0.192343	-0.003391	0.016645		0.004161	0.024043	0.037297	0.028975	0.076752	0.006781	0.009864	0.122280	-0.005548	0.001849	0.015412	0.007398	0.033660	0.003699	0.006165	0.002774	0.014796	-0.001233		
mp:2017-08-11_21.00.00.News.COM_ENM.BIOF	BIOF	2017-08-11T21:00:00.000Z	News	2.2.18	200.0	0.004355	-0.122500	-0.035000	0.005000		0.007500		-0.002500	0.035000	0.050000	0.005000	0.010000	0.077500	0.010000				0.075000	-0.005000	-0.032500	0.010000	-0.052500	-0.025000	0.010000	
mp:2017-08-11_21.00.00.News.COM_ENM.COA	COA	2017-08-11T21:00:00.000Z	News	2.2.18	2339.4	0.050946	-0.157519	-0.000427	0.006839	0.001710	0.006091	0.023510	0.031205	0.037616	0.075019	0.004916	0.011328	0.178294	-0.000427		0.006839	0.000427	0.028683		-0.013251	0.004702	0.014747	0.000427	0.004702	0.003847
mp:2017-08-11_21.00.00.News.COM_ENM.CPPR	CPPR	2017-08-11T21:00:00.000Z	News	2.2.18	2297.9	0.050042	-0.271770	0.005440	0.003917	0.003481	0.000653	0.008704	0.027852	0.046782	0.064842	0.028287	0.013926	0.195929	-0.001958	0.001306	-0.000218		0.030637	0.001741	0.005222		0.004352		0.009574	
mp:2017-08-11_21.00.00.News.COM_ENM.CRU	CRU	2017-08-11T21:00:00.000Z	News	2.2.18	15260.5	0.332332	-0.315029	-0.004325	0.034599	0.000917	0.004030	0.005767	0.000688	0.027391	0.054290	-0.023132	0.004358	0.128728	0.000754	-0.000066	-0.007044	0.000164	0.023250	0.000000	0.010812	0.000131	-0.001048	-0.001114	0.000721	
mp:2017-08-11_21.00.00.News.COM_ENM.BIOETH	BIOETH	2017-08-11T21:00:00.000Z	News	2.2.18	520.3	0.011331	0.019220	-0.009610			-0.004805	0.009610	0.029791	0.088411	0.065347	0.011532	0.009610	0.116615	-0.023064				0.003460	0.003844	0.017298		-0.222948			
mp:2017-08-11_21.00.00.News.COM_ENM.MOG	MOG	2017-08-11T21:00:00.000Z	News	2.2.18	1132.4	0.024661	-0.163811	-0.012363	0.011480	0.005298	0.004195	0.005298	-0.009714	0.014129	0.054751	-0.041063	0.006182	0.136568	-0.012363		0.008389		0.040975	0.011480	0.003532		-0.009714	-0.007948		
mp:2017-08-11_21.00.00.News.COM_ENM.GOL	GOL	2017-08-11T21:00:00.000Z	News	2.2.18	13107.5	0.285446	-0.084990	0.000114	0.022506	0.001602	0.004892	0.021705	-0.002632	0.012855	0.073851	-0.004997	0.019760	0.164095	0.009842	0.001183	0.002212	0.000229	0.041121	0.000305	0.008659		-0.003548	-0.000992	0.008163	0.000114
mp:2017-08-11_21.00.00.News.COM_ENM.HOIL	HOIL	2017-08-11T21:00:00.000Z	News	2.2.18	103.0	0.002243	-0.339806	0.097087			-0.072816		0.009709			0.135922		0.322816			-0.009709									
mp:2017-08-11_21.00.00.News.COM_ENM.IRN	IRN	2017-08-11T21:00:00.000Z	News	2.2.18	1467.0	0.031947	-0.115883	-0.005453	0.016701	0.001363	0.008691	0.028630	0.007157	0.035446	0.061009	0.026585	0.035106	0.143831	0.000000	0.000682	-0.038173		0.030675		0.004090		-0.023858	0.001363	0.004772	
