id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	consumptionVolume	productionVolume	regulatoryIssues	supplyVsDemand	supplyVsDemandForecast	newExploration	safetyAccident
mp:2017-08-15_06.00.00.News_Social.COM_ENM.ALU	ALU	2017-08-15T06:00:00.000Z	News_Social	2.2.19	2463.4	0.042580	-0.096411	-0.032678	0.001218	0.002030	0.001827	0.005886	0.008119	0.026386	0.035926	0.016847	0.032881	0.155131	-0.000406		0.014208		0.058821	0.001624	0.002842	-0.000203	-0.001015	-0.000812		
mp:2017-08-15_06.00.00.News_Social.COM_ENM.BIOF	BIOF	2017-08-15T06:00:00.000Z	News_Social	2.2.19	228.0	0.003941	0.298246	0.083333			0.016447	0.008772	0.030702	0.008772	0.052632	0.013158	0.026316	0.162281	0.052632	0.004386	0.004386		0.043860		0.026316		-0.017544		0.000000	
mp:2017-08-15_06.00.00.News_Social.COM_ENM.COA	COA	2017-08-15T06:00:00.000Z	News_Social	2.2.19	4268.0	0.073773	-0.162371	-0.018393	0.007615	0.003280	0.000791	0.069236	0.028936	0.031279	0.088683	-0.005389	0.010075	0.158388	0.005506	0.001172	0.000234	-0.001406	0.031162	0.001172	-0.001054	0.012184	-0.008318	0.000469	0.005389	0.000469
mp:2017-08-15_06.00.00.News_Social.COM_ENM.CPPR	CPPR	2017-08-15T06:00:00.000Z	News_Social	2.2.19	1820.9	0.031474	-0.085397	0.014004	0.003844	0.003844	0.007963	0.010160	0.035697	0.018672	0.045033	-0.003570	0.049152	0.153647	0.014279	0.002746	0.039815		0.024109	0.000000	-0.007414	0.001648	-0.001373	-0.001098	0.015926	
mp:2017-08-15_06.00.00.News_Social.COM_ENM.CRU	CRU	2017-08-15T06:00:00.000Z	News_Social	2.2.19	15701.0	0.271393	-0.246131	-0.006624	0.019362	0.001083	-0.000900	0.005605	-0.006146	0.028151	0.075887	0.000701	0.014712	0.131608	0.004363	0.000318	-0.001306	-0.000478	0.055028	0.000255	-0.000669	0.001083	0.013980	0.000064	0.001847	
mp:2017-08-15_06.00.00.News_Social.COM_ENM.BIOETH	BIOETH	2017-08-15T06:00:00.000Z	News_Social	2.2.19	153.0	0.002645	0.183007	-0.013072		0.052288	0.003268	0.013072	0.006536	0.019608	0.035948	-0.013072	0.006536	0.147059	0.022876	0.013072	0.006536		0.019608	0.013072	0.000000		-0.039216			
mp:2017-08-15_06.00.00.News_Social.COM_ENM.MOG	MOG	2017-08-15T06:00:00.000Z	News_Social	2.2.19	1807.4	0.031241	-0.115636	0.024898	0.018535	0.002213	0.004426	0.037070	0.006639	0.034027	0.065840	0.006086	0.008576	0.113049	0.029324	0.001660	0.003596	0.004980	0.037900	0.007746	0.005533		0.022131	-0.005533	0.001660	
mp:2017-08-15_06.00.00.News_Social.COM_ENM.GOL	GOL	2017-08-15T06:00:00.000Z	News_Social	2.2.19	14142.4	0.244453	-0.086760	0.025738	0.009298	0.025279	0.005798	0.025561	-0.003960	0.014601	0.070497	-0.000283	0.021284	0.169292	0.001838	0.000141	0.002722	0.000849	0.028277	0.000424	0.000141		-0.016723	-0.000990	0.010854	0.000212
mp:2017-08-15_06.00.00.News_Social.COM_ENM.HOIL	HOIL	2017-08-15T06:00:00.000Z	News_Social	2.2.19	121.0	0.002091	-0.363636	0.016529			-0.012397		-0.008264		0.008264	0.115702		0.068182			0.066116	0.082645	0.066116	-0.008264			0.157025			
mp:2017-08-15_06.00.00.News_Social.COM_ENM.IRN	IRN	2017-08-15T06:00:00.000Z	News_Social	2.2.19	5065.3	0.087554	-0.245889	-0.005232	0.025665	0.001382	-0.002468	0.048664	0.038300	0.020828	0.120230	-0.029317	0.015300	0.163495	-0.006120		-0.005627	0.000395	0.023177	0.000790	-0.000099	0.000197	0.007305	0.007107	0.000592	
mp:2017-08-15_06.00.00.News_Social.COM_ENM.JET	JET	2017-08-15T06:00:00.000Z	News_Social	2.2.19	33.2	0.000574	-0.030120	0.090361			-0.045181			0.030120	0.045181	0.240964	0.015060	0.262048					0.036145				-0.060241	-0.030120		
mp:2017-08-15_06.00.00.News_Social.COM_ENM.LNG	LNG	2017-08-15T06:00:00.000Z	News_Social	2.2.19	201.7	0.003486	-0.116510	0.000000			0.002479		0.009916	0.029747	0.044621	0.019831	0.019831	0.121839	0.000000	0.009916	-0.014874		0.015865		0.029747		0.000000		0.009916	
mp:2017-08-15_06.00.00.News_Social.COM_ENM.NAP	NAP	2017-08-15T06:00:00.000Z	News_Social	2.2.19	85.0	0.001469	-0.423529						-0.011765	-0.047059	-0.023529	-0.011765		0.008824					0.329412				0.047059			
mp:2017-08-15_06.00.00.News_Social.COM_ENM.NGS	NGS	2017-08-15T06:00:00.000Z	News_Social	2.2.19	2140.6	0.037000	-0.057928	0.031767	0.002803	0.000934	0.001635	0.030599	0.003971	0.033402	0.065169	0.019621	0.028263	0.127943	-0.000234	0.001401	-0.001401		0.026161	0.009343	0.044847	0.000467	-0.034803	-0.001869	0.013548	
mp:2017-08-15_06.00.00.News_Social.COM_ENM.NKL	NKL	2017-08-15T06:00:00.000Z	News_Social	2.2.19	522.0	0.009023	-0.043103	0.017241	0.007663	0.009579	0.023467	0.026820	0.034483	0.036398	0.045977	0.026820	0.021073	0.161877	0.003831	0.003831	-0.001916		0.040230		-0.015326		0.030651		0.006705	
mp:2017-08-15_06.00.00.News_Social.COM_ENM.NSEA	NSEA	2017-08-15T06:00:00.000Z	News_Social	2.2.19	815.0	0.014087	-0.345399	-0.025767	0.022086			0.007362	-0.023313	0.026994	0.065031	-0.025767	0.013497	0.125153	-0.001227		-0.022086		0.071779		-0.001227		0.014724	0.009816	0.001227	
