id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	loveHate	anger	debtDefault	innovation	marketRisk	budgetDeficit	businessExpansion	centralBank	commercialRealEstateSentiment	consumerSentiment	creditEasyVsTight	economicGrowth	economicUncertainty	economicVolatility	financialSystemInstability	fiscalPolicyLooseVsTight	governmentAnger	governmentCorruption	governmentInstability	inflation	inflationForecast	interestRates	interestRatesForecast	investmentFlows	monetaryPolicyLooseVsTight	naturalDisasters	regimeChange	residentialRealEstateGrowth	residentialRealEstateSales	residentialRealEstateSentiment	residentialRealEstateValues	sanctions	socialInequality	socialUnrest	tradeBalance	unemployment
mp:2017-08-10_11.00.00.Social.COU.AF	AF	2017-08-10T11:00:00.000Z	Social	2.2.18	3902.5	0.004620	-0.173735	0.001025	0.008969	0.001537	-0.003427	0.254196	0.058296	0.026393	0.066624	0.010634	0.015247	0.035484	-0.002306	0.015503	-0.000256	0.000000	-0.012005							0.003972	-0.000512	0.002562			0.002691	0.000512	0.032184							0.002947	0.000666			-0.002562		0.000512		0.021012		
mp:2017-08-10_11.00.00.Social.COU.DZ	DZ	2017-08-10T11:00:00.000Z	Social	2.2.18	1897.0	0.002246	-0.113600	0.002109	0.002109	0.002109	-0.000527	0.043753	0.126779	0.006326	0.089352	0.006853	0.000527	0.051858	0.001054	0.001054		0.000527	-0.008566		0.000527			-0.001581		0.000000	-0.004744	0.127570			0.001054	0.001054	0.005271	0.001054						0.002899								0.001054		
mp:2017-08-10_11.00.00.Social.COU.AO	AO	2017-08-10T11:00:00.000Z	Social	2.2.18	149.0	0.000176	-0.097315	0.000000	0.006711		-0.011745	0.093960	0.046980	0.023490	0.073826	0.036913	0.016779	0.088087		0.006711	0.006711	0.013423	-0.013423							0.026846						0.006711	0.013423							0.006711										
mp:2017-08-10_11.00.00.Social.COU.AR	AR	2017-08-10T11:00:00.000Z	Social	2.2.18	2280.0	0.002699	-0.033553	-0.022149	0.005482	0.010526	0.001754	0.049561	0.014254	0.015570	0.053509	0.035307	0.013596	0.059984	0.003509	0.004167		0.000877	-0.014452		0.002193	0.000439		0.000000		0.014035	-0.002193	0.008070	0.000439		0.001754		-0.005482							0.109430		0.003509		0.006140				0.001316	-0.000877	
mp:2017-08-10_11.00.00.Social.COU.AM	AM	2017-08-10T11:00:00.000Z	Social	2.2.18	136.2	0.000161	-0.165198	-0.044053	0.014684		-0.005507	0.073421	0.106461	0.022026	0.084435	0.029369	0.007342	0.081681	0.014684	0.022026			-0.021292							-0.036711	-0.022026	0.007342					0.025698								0.003671							0.018355		
mp:2017-08-10_11.00.00.Social.COU.AU	AU	2017-08-10T11:00:00.000Z	Social	2.2.18	19535.5	0.023129	-0.055105	0.004351	0.006706	0.016124	0.002035	0.030585	0.017455	0.034834	0.069387	0.025825	0.020783	0.086401	0.007550	0.008600	0.000563	0.003583	-0.004279		0.000026	0.000077		0.000512	0.000307	0.007934	0.000333	0.013140			0.000589	0.000742	0.006660	0.003609	0.000410	0.001536	0.000102		0.000102	0.003506	-0.000072	0.000512		0.000870	0.000102	0.000614	-0.000026	0.003942	-0.000307	-0.000026
mp:2017-08-10_11.00.00.Social.COU.AT	AT	2017-08-10T11:00:00.000Z	Social	2.2.18	452.0	0.000535	-0.084071	-0.002212	0.004425	0.024336	-0.006084	0.068584	-0.029867	0.023230	0.068584	0.017699	0.024336	0.086145	0.022124	0.011062		0.002212	-0.014381							0.011062	-0.002212	0.002212					0.008850	-0.002212						0.004425				-0.008850				0.000000		
mp:2017-08-10_11.00.00.Social.COU.BH	BH	2017-08-10T11:00:00.000Z	Social	2.2.18	202.5	0.000240	-0.056790		0.029630		0.014815	0.029630	-0.024691	0.009877	0.118519	0.029630	0.004938	0.084259		0.009877			-0.024691						0.024691	-0.009877		-0.039506					0.004938															0.029630		
mp:2017-08-10_11.00.00.Social.COU.BD	BD	2017-08-10T11:00:00.000Z	Social	2.2.18	40.5	0.000048	-0.086420				-0.012346	0.222222	0.074074		0.049383	0.024691		0.010802				0.024691								0.074074							0.098765							0.049383								0.024691		
mp:2017-08-10_11.00.00.Social.COU.BY	BY	2017-08-10T11:00:00.000Z	Social	2.2.18	44.0	0.000052	-0.340909	-0.045455			-0.011364	0.136364	0.090909		0.113636	-0.022727	0.090909	0.071023	-0.022727	0.022727			-0.022727							-0.022727														0.045455										
mp:2017-08-10_11.00.00.Social.COU.BE	BE	2017-08-10T11:00:00.000Z	Social	2.2.18	1000.5	0.001185	-0.175412	-0.006997	0.022989	0.006497	-0.006122	0.046977	0.069465	0.008996	0.052974	-0.019490	0.019990	0.084708	0.001000	0.029485		0.004998	-0.025987		0.001999			0.001000		0.006997	0.000000	0.002999			0.028986		0.044978			0.001999				0.025987				0.001999				0.006997	0.001999	
mp:2017-08-10_11.00.00.Social.COU.BO	BO	2017-08-10T11:00:00.000Z	Social	2.2.18	325.0	0.000385	-0.044615	-0.001538		0.006154	-0.002308	0.089231	0.001538	0.012308	0.070769	0.015385	0.018462	0.072500	0.001538	0.030769		0.006154	-0.023077							0.003077	-0.006154					-0.012308	0.055385	0.003077						0.015385						0.003077		0.003077		
mp:2017-08-10_11.00.00.Social.COU.BA	BA	2017-08-10T11:00:00.000Z	Social	2.2.18	69.5	0.000082	0.007194	0.000000	0.014388	0.014388	-0.021583	0.201439	-0.021583	0.028777	0.014388	0.043165	0.021583	0.054856					0.014388													0.028777	-0.028777																	
mp:2017-08-10_11.00.00.Social.COU.BR	BR	2017-08-10T11:00:00.000Z	Social	2.2.18	2003.1	0.002372	-0.085867	0.008736	0.007239	0.009735	-0.004743	0.059408	0.007738	0.028706	0.060157	0.016474	0.022964	0.082017	0.010484	0.006240		0.007488	0.002846		0.001997			0.000000		0.012481	-0.000499	0.016574				0.002496	0.007738	0.003495	0.000998					0.001498				-0.002995				0.005242		
mp:2017-08-10_11.00.00.Social.COU.BG	BG	2017-08-10T11:00:00.000Z	Social	2.2.18	434.0	0.000514	-0.165899	-0.011521			-0.029378	0.019585	-0.014977	0.008065	0.035714	0.009217	0.006912	0.065812	0.002304	0.004608	0.002304		-0.006336							-0.016129	0.004608	0.018433					-0.001152															0.036866	0.041475	-0.004608
mp:2017-08-10_11.00.00.Social.COU.KH	KH	2017-08-10T11:00:00.000Z	Social	2.2.18	325.0	0.000385	-0.073846	0.003077	0.015385	0.024615	-0.004615	0.043077	0.006154	0.033846	0.087692	0.015385	0.003077	0.088269	0.006154	0.015385			-0.016154		0.003077					0.000000		0.012308			0.003077	0.006154	0.021538															0.015385		
mp:2017-08-10_11.00.00.Social.COU.CA	CA	2017-08-10T11:00:00.000Z	Social	2.2.18	16307.9	0.019308	-0.127760	-0.003495	0.008585	0.011957	-0.001019	0.044089	0.032898	0.037375	0.071438	0.014747	0.016035	0.082311	0.006500	0.010271	0.000552	0.002943	-0.011442		-0.000031	0.000337		0.000031	-0.000828	-0.000276	-0.000889	0.012546		0.000061	0.000521	0.000061	0.006665	0.001318	0.000491	0.000766		0.000061		0.011252	0.000012	0.002361	-0.000123	-0.002483	-0.000245	0.000031	0.000184	0.009627	-0.000245	-0.000429
mp:2017-08-10_11.00.00.Social.COU.KY	KY	2017-08-10T11:00:00.000Z	Social	2.2.18	124.0	0.000147	-0.088710	-0.040323	0.008065	0.076613	-0.006048		0.020161	0.044355	0.125000	0.056452	0.028226	0.116431	0.032258	0.024194			-0.022177							-0.008065		0.008065																						
mp:2017-08-10_11.00.00.Social.COU.CL	CL	2017-08-10T11:00:00.000Z	Social	2.2.18	520.3	0.000616	-0.179704	-0.015376	0.001922	0.017298	-0.005766	0.078801	0.048049	0.024986	0.070152	0.012493	0.038439	0.086176	0.001922	0.021142		0.001922	-0.013454							-0.013454	0.000000	0.001922				-0.001922	0.004613								0.002691							0.013454		
mp:2017-08-10_11.00.00.Social.COU.CN	CN	2017-08-10T11:00:00.000Z	Social	2.2.18	31905.0	0.037774	-0.035856	0.009983	0.009293	0.007350	0.003146	0.049726	0.031374	0.018007	0.070976	0.016863	0.021204	0.073797	0.002554	0.010954	0.000219	0.002680	-0.006355		0.001254	0.000313	-0.000063	0.000987	0.000204	0.038270	-0.001802	0.013252	0.000031	0.000063	0.000298	-0.000298	0.006642	0.004388	0.001034	0.000376	0.000031	0.000031		0.011957	0.000185	0.000141		-0.001410	-0.000157	0.002053	-0.000016	0.004984	0.000251	
