id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	consumptionVolume	productionVolume	regulatoryIssues	supplyVsDemand	supplyVsDemandForecast	acreageCultivated	agDisease	subsidies	subsidiesSentiment	weatherDamage
mp:2017-08-12_03.00.00.News.COM_AGR.CTTL	CTTL	2017-08-12T03:00:00.000Z	News	2.2.18	1389.0	0.127323	-0.172426	-0.011159	0.010079	0.004320	0.001980	0.099712	0.035997	0.007199	0.049316	0.015479	0.011519	0.130220	0.008639		0.004320		0.037797	-0.000720	0.001080		-0.012599	0.001440	0.001440	0.001440			0.003240
mp:2017-08-12_03.00.00.News.COM_AGR.COC	COC	2017-08-12T03:00:00.000Z	News	2.2.18	132.0	0.012100	-0.606061				0.001894		0.075758	0.007576	0.045455	-0.007576		0.155303	-0.060606		-0.007576												
mp:2017-08-12_03.00.00.News.COM_AGR.COF	COF	2017-08-12T03:00:00.000Z	News	2.2.18	448.0	0.041066	-0.083705	0.029018	0.003348	0.006696	0.004464	0.011161	-0.013393	0.026786	0.056920	0.020089		0.153460	-0.012277		0.013393		0.060268				-0.024554						
mp:2017-08-12_03.00.00.News.COM_AGR.COR	COR	2017-08-12T03:00:00.000Z	News	2.2.18	1919.5	0.175951	-0.054441	-0.011201	0.002084	0.012503	0.004819	0.005210	-0.025527	0.039854	0.022662	-0.000260	0.023704	0.048125	0.014587	-0.001042	0.000260		0.047148		0.043240		0.136754	0.032821	-0.001042				0.001302
mp:2017-08-12_03.00.00.News.COM_AGR.COT	COT	2017-08-12T03:00:00.000Z	News	2.2.18	878.2	0.080500	-0.244819	-0.016511	0.018219	0.001139	-0.000996	0.044409	0.031883	0.050102	0.101344	0.021635	0.009110	0.105557	-0.004555		-0.009110		0.017308	-0.001139	-0.005693		0.000000	0.002277	0.015942	0.021635			0.007971
mp:2017-08-12_03.00.00.News.COM_AGR.HOGS	HOGS	2017-08-12T03:00:00.000Z	News	2.2.18	92.0	0.008433	0.032609	0.086957	0.021739			0.032609	-0.086957		0.021739	-0.043478		0.114130	0.043478		0.086957												
mp:2017-08-12_03.00.00.News.COM_AGR.ORJ	ORJ	2017-08-12T03:00:00.000Z	News	2.2.18	4.0	0.000367	-0.750000									-0.250000		0.250000															
mp:2017-08-12_03.00.00.News.COM_AGR.POIL	POIL	2017-08-12T03:00:00.000Z	News	2.2.18	456.5	0.041845	0.081051	0.043812	0.004381			0.004381	0.013143	0.039430	0.050383	-0.010953		0.110898	-0.019715		-0.035049	-0.004381	0.006572	0.004381	0.024096		0.033954	0.021906	-0.002191				
mp:2017-08-12_03.00.00.News.COM_AGR.RICE1	RICE1	2017-08-12T03:00:00.000Z	News	2.2.18	609.0	0.055824	-0.068144	0.031199		0.005747	0.002053	0.009852	-0.004926	0.029557	0.073892	0.027915	0.021346	0.127053	-0.004926		0.001642		0.045977	-0.001642	0.004105		-0.001642	-0.001642	0.011494		0.006568	0.001642	0.077176
mp:2017-08-12_03.00.00.News.COM_AGR.SOY1	SOY1	2017-08-12T03:00:00.000Z	News	2.2.18	1464.0	0.134197	-0.185792	-0.006831	0.002732		0.000683	0.006831	-0.044399	0.036544	0.037227	-0.002732	0.017760	0.063525	0.011612		-0.004781		0.057377		0.043716		0.096995	0.043716	-0.005464				
mp:2017-08-12_03.00.00.News.COM_AGR.SUG	SUG	2017-08-12T03:00:00.000Z	News	2.2.18	945.4	0.086660	-0.129046	0.011635	0.003173	0.003173	-0.005818	0.002116	-0.010578	0.039137	0.066110	-0.002116	0.013751	0.165168	-0.039137		-0.011635		0.032156		0.006347		0.015337	0.003173	0.000000				0.002116
mp:2017-08-12_03.00.00.News.COM_AGR.WHT	WHT	2017-08-12T03:00:00.000Z	News	2.2.18	2571.7	0.235735	-0.244196	0.018276	0.005833	0.000778	0.001847	0.003500	0.000778	0.017109	0.074659	-0.029941	0.055411	0.123488	0.016720	0.001167	-0.002722		0.031574		0.007388		0.042968	0.006610	0.000583				0.002333
mp:2017-08-12_03.00.00.News_Social.COM_AGR.CTTL	CTTL	2017-08-12T03:00:00.000Z	News_Social	2.2.18	1788.7	0.141231	-0.159613	-0.011740	0.007827	0.008386	0.000769	0.099234	0.032985	0.012859	0.043328	0.017890	0.013138	0.130793	0.005591	0.001118	0.001118		0.040085	0.000000	0.002236		-0.009784	0.001118	0.001118	0.001118			0.002516
mp:2017-08-12_03.00.00.News_Social.COM_AGR.COC	COC	2017-08-12T03:00:00.000Z	News_Social	2.2.18	132.0	0.010422	-0.606061				0.001894		0.075758	0.007576	0.045455	-0.007576		0.155303	-0.060606		-0.007576												
mp:2017-08-12_03.00.00.News_Social.COM_AGR.COF	COF	2017-08-12T03:00:00.000Z	News_Social	2.2.18	612.0	0.048322	-0.073529	0.024510	0.002451	0.004902	0.003268	0.011438	-0.013072	0.022876	0.044118	0.013072	0.003268	0.137663	-0.008987	0.001634	0.011438		0.071895				-0.014706	0.003268					0.019608
mp:2017-08-12_03.00.00.News_Social.COM_AGR.COR	COR	2017-08-12T03:00:00.000Z	News_Social	2.2.18	2247.9	0.177488	-0.068508	-0.012234	0.002669	0.014680	0.004004	0.008897	-0.019351	0.038925	0.024690	0.001557	0.020686	0.054729	0.014236	-0.000890	-0.000667		0.048445		0.037813		0.119890	0.028026	-0.003114				0.011344
mp:2017-08-12_03.00.00.News_Social.COM_AGR.COT	COT	2017-08-12T03:00:00.000Z	News_Social	2.2.18	1000.2	0.078973	-0.234953	-0.014497	0.015997	0.001000	0.000625	0.045991	0.031494	0.046991	0.094481	0.018996	0.010998	0.101680	0.001000		-0.007998		0.019196	-0.001000	-0.008998		-0.002999	0.002000	0.013997	0.020996			0.008998
mp:2017-08-12_03.00.00.News_Social.COM_AGR.HOGS	HOGS	2017-08-12T03:00:00.000Z	News_Social	2.2.18	145.7	0.011504	0.000000	0.054907	0.013727		0.001716	0.058339	-0.054907	0.006863	0.048044	-0.048044	0.013727	0.125772	0.068634		0.054907		0.001373										
mp:2017-08-12_03.00.00.News_Social.COM_AGR.ORJ	ORJ	2017-08-12T03:00:00.000Z	News_Social	2.2.18	4.0	0.000316	-0.750000									-0.250000		0.250000															
mp:2017-08-12_03.00.00.News_Social.COM_AGR.POIL	POIL	2017-08-12T03:00:00.000Z	News_Social	2.2.18	514.5	0.040623	0.081633	0.040816	0.003887		0.002915	0.003887	0.009718	0.038873	0.052478	-0.001944		0.111030	-0.015549		-0.031098	-0.003887	0.009718	0.003887	0.023324		0.032070	0.019436	-0.001944				
mp:2017-08-12_03.00.00.News_Social.COM_AGR.RICE1	RICE1	2017-08-12T03:00:00.000Z	News_Social	2.2.18	704.0	0.055586	-0.068892	0.034091		0.004972	0.001776	0.008523	0.006392	0.025568	0.073864	0.024858	0.018466	0.123402	0.009943		0.001420		0.044034	-0.001420	0.002131		-0.004261	-0.001420	0.009943		0.011364	0.002841	0.066761
mp:2017-08-12_03.00.00.News_Social.COM_AGR.SOY1	SOY1	2017-08-12T03:00:00.000Z	News_Social	2.2.18	1582.3	0.124934	-0.186437	-0.006320	0.002528		0.000632	0.006320	-0.040131	0.033812	0.038867	-0.002528	0.016432	0.063152	0.011376		-0.010112		0.053593	0.001264	0.042343		0.089111	0.040447	-0.003792				
mp:2017-08-12_03.00.00.News_Social.COM_AGR.SUG	SUG	2017-08-12T03:00:00.000Z	News_Social	2.2.18	1231.9	0.097267	-0.109993	0.017859	0.004059	0.002841	-0.006088	0.002435	0.004465	0.039776	0.074681	0.008929	0.014612	0.168459	-0.025164	0.000812	-0.012176		0.031983		0.008118		0.009335	0.002435	0.000812	0.001624			0.002841
mp:2017-08-12_03.00.00.News_Social.COM_AGR.WHT	WHT	2017-08-12T03:00:00.000Z	News_Social	2.2.18	2701.9	0.213334	-0.244087	0.017025	0.006292	0.000740	0.001943	0.004811	0.002221	0.016285	0.073652	-0.027943	0.053111	0.121960	0.016655	0.001110	-0.003331		0.031977		0.008513		0.043858	0.006292	0.000925		0.000370		0.002221
mp:2017-08-12_03.00.00.Social.COM_AGR.CTTL	CTTL	2017-08-12T03:00:00.000Z	Social	2.2.18	399.7	0.227646	-0.115086	-0.013760		0.022517	-0.003440	0.097573	0.022517	0.032524	0.022517	0.026270	0.018764	0.132787	-0.005004	0.005004	-0.010008		0.048036	0.002502	0.006255		0.000000		0.000000				
mp:2017-08-12_03.00.00.Social.COM_AGR.COF	COF	2017-08-12T03:00:00.000Z	Social	2.2.18	164.0	0.093405	-0.045732	0.012195				0.012195	-0.012195	0.012195	0.009146	-0.006098	0.012195	0.094512	0.000000	0.006098	0.006098		0.103659				0.012195	0.012195					0.073171
mp:2017-08-12_03.00.00.Social.COM_AGR.COR	COR	2017-08-12T03:00:00.000Z	Social	2.2.18	328.4	0.187037	-0.150731	-0.018270	0.006090	0.027406	-0.000761	0.030451	0.016748	0.033496	0.036541	0.012180	0.003045	0.093331	0.012180		-0.006090		0.056029		0.006090		0.021315		-0.015225				0.070037
mp:2017-08-12_03.00.00.Social.COM_AGR.COT	COT	2017-08-12T03:00:00.000Z	Social	2.2.18	122.0	0.069484	-0.163934				0.012295	0.057377	0.028689	0.024590	0.045082	0.000000	0.024590	0.073770	0.040984				0.032787		-0.032787		-0.024590			0.016393			0.016393
mp:2017-08-12_03.00.00.Social.COM_AGR.HOGS	HOGS	2017-08-12T03:00:00.000Z	Social	2.2.18	53.7	0.030584	-0.055866	0.000000			0.004655	0.102421	0.000000	0.018622	0.093110	-0.055866	0.037244	0.145717	0.111732				0.003724										
mp:2017-08-12_03.00.00.Social.COM_AGR.POIL	POIL	2017-08-12T03:00:00.000Z	Social	2.2.18	58.0	0.033033	0.086207	0.017241			0.025862		-0.017241	0.034483	0.068966	0.068966		0.112069	0.017241				0.034483		0.017241		0.017241						
mp:2017-08-12_03.00.00.Social.COM_AGR.RICE1	RICE1	2017-08-12T03:00:00.000Z	Social	2.2.18	95.0	0.054106	-0.073684	0.052632					0.078947		0.073684	0.005263		0.100000	0.105263				0.031579		-0.010526		-0.021053				0.042105	0.010526	
mp:2017-08-12_03.00.00.Social.COM_AGR.SOY1	SOY1	2017-08-12T03:00:00.000Z	Social	2.2.18	118.3	0.067377	-0.194421	0.000000					0.012680		0.059172	0.000000		0.058538	0.008453		-0.076078		0.006762	0.016906	0.025359		-0.008453		0.016906				
mp:2017-08-12_03.00.00.Social.COM_AGR.SUG	SUG	2017-08-12T03:00:00.000Z	Social	2.2.18	286.5	0.163173	-0.047120	0.038394	0.006981	0.001745	-0.006981	0.003490	0.054101	0.041885	0.102967	0.045375	0.017452	0.179319	0.020942	0.003490	-0.013962		0.031414		0.013962		-0.010471		0.003490	0.006981			0.005236
mp:2017-08-12_03.00.00.Social.COM_AGR.WHT	WHT	2017-08-12T03:00:00.000Z	Social	2.2.18	130.2	0.074154	-0.241935	-0.007680	0.015361		0.003840	0.030722	0.030722		0.053763	0.011521	0.007680	0.091782	0.015361		-0.015361		0.039939		0.030722		0.061444		0.007680		0.007680		
