id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	consumptionVolume	productionVolume	regulatoryIssues	supplyVsDemand	supplyVsDemandForecast	newExploration	safetyAccident
mp:2017-08-16_04.00.00.News_Social.COM_ENM.ALU	ALU	2017-08-16T04:00:00.000Z	News_Social	2.2.19	1190.3	0.025041	-0.046207	-0.024364	0.006721	0.001680	-0.010502	0.026884	-0.009661	0.025624	0.063009	0.021423	0.023103	0.161976	0.000420	0.000840	0.010922	-0.003360	0.020415	0.002520	0.001680		-0.026884	-0.000840		
mp:2017-08-16_04.00.00.News_Social.COM_ENM.BIOF	BIOF	2017-08-16T04:00:00.000Z	News_Social	2.2.19	223.9	0.004710	0.209915	0.089326			0.029031	0.008933	-0.098258	0.013399	0.017865	-0.008933	0.004466	0.135217	-0.020098				0.037517	0.017865	0.058062		0.044663			
mp:2017-08-16_04.00.00.News_Social.COM_ENM.COA	COA	2017-08-16T04:00:00.000Z	News_Social	2.2.19	3073.2	0.064654	-0.125602	0.001790	0.002929	0.006508	-0.000569	0.030912	0.008786	0.026682	0.082975	-0.000163	0.019361	0.154407	-0.003091	-0.000325	0.002115		0.030066	-0.000325	-0.004230	0.006182	-0.007484	-0.000976	0.003417	0.001627
mp:2017-08-16_04.00.00.News_Social.COM_ENM.CPPR	CPPR	2017-08-16T04:00:00.000Z	News_Social	2.2.19	1682.3	0.035392	-0.090947	0.014563	0.002378	0.005350	0.002526	0.007728	0.015455	0.020210	0.035368	-0.016347	0.014266	0.125646	0.012186	0.001189	0.052904	0.008322	0.034774		-0.016347	0.001783	-0.041907	-0.001783	0.014266	
mp:2017-08-16_04.00.00.News_Social.COM_ENM.CRU	CRU	2017-08-16T04:00:00.000Z	News_Social	2.2.19	12724.1	0.267688	-0.315622	-0.022516	0.006916	0.001611	0.001169	0.005580	-0.020945	0.062991	0.066606	-0.009038	0.006995	0.128777	0.000550	-0.000472	-0.003812	-0.000275	0.036796	0.000079	-0.003301	0.000157	0.017054	0.010060	0.001808	0.000079
mp:2017-08-16_04.00.00.News_Social.COM_ENM.BIOETH	BIOETH	2017-08-16T04:00:00.000Z	News_Social	2.2.19	231.0	0.004860	-0.056277	0.038961			0.010823	0.019481	0.010823	0.025974	0.062771	0.025974	0.038961	0.123377	0.023810				0.056277		0.060606		-0.004329		0.000000	
mp:2017-08-16_04.00.00.News_Social.COM_ENM.MOG	MOG	2017-08-16T04:00:00.000Z	News_Social	2.2.19	2742.7	0.057701	-0.127976	-0.000912	0.022605	0.000365	0.009480	0.013855	-0.001094	0.052503	0.054508	0.006927	0.024975	0.164801	0.003828	-0.001094	0.006563	0.004740	0.032632	-0.003646	0.008204		0.006198	-0.002552	0.000729	
mp:2017-08-16_04.00.00.News_Social.COM_ENM.GOL	GOL	2017-08-16T04:00:00.000Z	News_Social	2.2.19	11787.5	0.247984	-0.200382	-0.014889	0.007635	0.006405	0.003945	0.021591	-0.004369	0.025323	0.089799	0.007253	0.026723	0.182545	0.010562	-0.000551	0.000000	0.000085	0.027097	0.000255	-0.000127		-0.020954	-0.000467	0.008993	
mp:2017-08-16_04.00.00.News_Social.COM_ENM.HOIL	HOIL	2017-08-16T04:00:00.000Z	News_Social	2.2.19	106.2	0.002234	-0.225989				0.004708					0.009416		0.169021			-0.056497		0.001883	-0.009416						
mp:2017-08-16_04.00.00.News_Social.COM_ENM.IRN	IRN	2017-08-16T04:00:00.000Z	News_Social	2.2.19	2346.3	0.049361	-0.171547	-0.024933	0.005328	0.001918	0.008524	0.020884	-0.000213	0.054128	0.070750	0.009163	0.024507	0.169671	-0.002557	-0.002557	-0.025785	-0.000852	0.017602	-0.000426	-0.017048		-0.020245		0.001705	
