id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	loveHate	anger	debtDefault	innovation	marketRisk	budgetDeficit	businessExpansion	centralBank	commercialRealEstateSentiment	consumerSentiment	creditEasyVsTight	economicGrowth	economicUncertainty	economicVolatility	financialSystemInstability	fiscalPolicyLooseVsTight	governmentAnger	governmentCorruption	governmentInstability	inflation	inflationForecast	interestRates	interestRatesForecast	investmentFlows	monetaryPolicyLooseVsTight	naturalDisasters	regimeChange	residentialRealEstateGrowth	residentialRealEstateSales	residentialRealEstateSentiment	residentialRealEstateValues	sanctions	socialInequality	socialUnrest	tradeBalance	unemployment
mp:2017-08-13_12.00.00.News_Social.COU.AF	AF	2017-08-13T12:00:00.000Z	News_Social	2.2.19	5571.5	0.004495	-0.155613	-0.023513	0.010410	0.000000	-0.002445	0.333842	0.062999	0.034192	0.056627	0.009064	0.006820	0.016596	0.000538	0.009423		0.000179	-0.020623						0.000000	-0.001705	-0.000179	0.004308			0.001436	0.004667	0.022866	-0.000179		-0.000179				0.000897	0.000969			-0.002692		0.000897		0.046756	0.004038	0.001795
mp:2017-08-13_12.00.00.News_Social.COU.DZ	DZ	2017-08-13T12:00:00.000Z	News_Social	2.2.19	296.7	0.000239	-0.131446	-0.023593	0.015167		0.003370	0.126390	0.026963	0.047186	0.055612	0.091001	0.011796	0.070989	0.000000	0.015167			-0.023256					-0.003370		-0.003370		0.003370			0.003370	-0.003370	0.023593							0.003370	0.006741							0.016852		
mp:2017-08-13_12.00.00.News_Social.COU.AO	AO	2017-08-13T12:00:00.000Z	News_Social	2.2.19	194.9	0.000157	-0.035916	0.030785	-0.002565	0.005131	0.023089	0.028220	-0.002565	0.020523	0.035916	0.025654	0.010262	0.079207	0.005131	0.005131			0.033094							-0.041047	0.000000	0.010262			0.005131		0.005131											0.020523					-0.020523	
mp:2017-08-13_12.00.00.News_Social.COU.AR	AR	2017-08-13T12:00:00.000Z	News_Social	2.2.19	4030.1	0.003251	-0.154339	0.006327	0.005583	0.005583	-0.003815	0.040198	0.016377	0.034987	0.078286	0.046525	0.008188	0.071217	0.007692	0.001985	0.003970	0.006451	-0.004007		0.000496	0.002729		0.000248		-0.012159	0.000248	0.010422			0.000620	-0.000620	0.003399							0.054465	0.000050			-0.007196		0.000248		0.012655		
mp:2017-08-13_12.00.00.News_Social.COU.AM	AM	2017-08-13T12:00:00.000Z	News_Social	2.2.19	160.0	0.000129	-0.246875	-0.037500	0.006250	0.006250	0.004687	0.218750	0.087500	0.028125	0.078125	0.012500	0.006250	0.046484	0.006250	0.006250			-0.017188							-0.025000							-0.012500							0.037500								0.012500		
mp:2017-08-13_12.00.00.News_Social.COU.AU	AU	2017-08-13T12:00:00.000Z	News_Social	2.2.19	36148.1	0.029163	-0.149482	-0.004606	0.009904	0.013376	-0.003479	0.049671	0.033432	0.038771	0.079769	0.019116	0.018106	0.087646	0.003569	0.013334	0.000180	0.001466	-0.012889		0.000553	0.000498		-0.000664	-0.000194	0.000207	0.000318	0.010576	0.000111	0.000221	0.000954	0.000318	0.009312	0.002033	0.000180	-0.000318	0.000083			0.004163	0.000127	0.000982	-0.000277	-0.013611	0.000277	-0.000097	0.000429	0.006072	0.000000	-0.000664
mp:2017-08-13_12.00.00.News_Social.COU.AT	AT	2017-08-13T12:00:00.000Z	News_Social	2.2.19	570.5	0.000460	-0.023663	0.003506	0.008764	0.031551	-0.000657	0.059597	0.019281	0.025416	0.049956	0.037686	0.012270	0.085013	0.021034	0.002629		0.001753	-0.000876							0.005259	0.003506	0.033304	-0.001753				0.003506	0.008764	0.001753				0.005259					-0.007011				0.001753		
mp:2017-08-13_12.00.00.News_Social.COU.BH	BH	2017-08-13T12:00:00.000Z	News_Social	2.2.19	1707.0	0.001377	-0.316637	0.004101	0.001172	0.001757	-0.002563	0.072349	0.027534	0.127124	0.118629	0.035149	0.000586	0.087324	0.004687	0.002050			-0.002197							0.029877							0.006737								0.000293			-0.000586				0.013767		
mp:2017-08-13_12.00.00.News_Social.COU.BD	BD	2017-08-13T12:00:00.000Z	News_Social	2.2.19	3439.2	0.002775	-0.191905	-0.007996	0.008868	0.003489	-0.010395	0.082868	0.033729	0.045796	0.073127	0.003489	0.008287	0.078554	0.003489	0.006251		0.001163	-0.010540			0.003198		-0.000291	0.000872	0.000436	-0.001454	0.003838			0.000582	0.005961	0.010758	0.005525		0.000000				0.006688	0.000291	0.000872		-0.003489				0.018027	0.001745	-0.000291
mp:2017-08-13_12.00.00.News_Social.COU.BY	BY	2017-08-13T12:00:00.000Z	News_Social	2.2.19	257.5	0.000208	-0.256311		0.015534		0.003883	0.062136	0.120388	0.011650	0.075728	-0.007767	0.015534	0.063350	0.003883	0.019417			-0.019417							-0.054369	-0.007767	0.023301					0.031068	-0.015534						0.015534				-0.019417				0.034951		
