id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	consumptionVolume	productionVolume	regulatoryIssues	supplyVsDemand	supplyVsDemandForecast	newExploration	safetyAccident
mp:2017-08-12_03.00.00.Social.COM_ENM.ALU	ALU	2017-08-12T03:00:00.000Z	Social	2.2.18	425.0	0.041261	-0.009412	0.010588	0.002353		0.003824	0.018824	0.037647	0.024706	0.069412	0.016471	0.007059	0.067647	0.037647	0.002353			0.060000	0.047059	-0.023529	-0.001176	-0.037647	-0.028235		
mp:2017-08-12_03.00.00.Social.COM_ENM.BIOF	BIOF	2017-08-12T03:00:00.000Z	Social	2.2.18	156.0	0.015145	0.121795	0.076923	0.012821		0.016026	0.006410	0.041667	0.019231	0.070513	0.019231	0.025641	0.158654	0.006410	0.006410	-0.006410		0.012821	-0.006410	0.089744		0.028846	0.012821		
mp:2017-08-12_03.00.00.Social.COM_ENM.COA	COA	2017-08-12T03:00:00.000Z	Social	2.2.18	821.5	0.079756	-0.189288	0.000000	0.004869	0.001217	-0.011564	0.070603	0.045648	0.015216	0.077298	0.006695	0.011564	0.138253	-0.003043		0.003652		0.041753		-0.003652	0.010956	-0.023737	-0.001217		0.003652
mp:2017-08-12_03.00.00.Social.COM_ENM.CPPR	CPPR	2017-08-12T03:00:00.000Z	Social	2.2.18	353.4	0.034310	-0.104697	0.043860	0.009904	0.005659	-0.004952	0.019808	0.016978	0.039615	0.065082	-0.015563	0.015563	0.159380	0.016978	0.002830	0.009904		0.033107	0.002830	-0.001415		0.014148		0.005659	
mp:2017-08-12_03.00.00.Social.COM_ENM.CRU	CRU	2017-08-12T03:00:00.000Z	Social	2.2.18	1576.8	0.153084	-0.093227	0.007927	0.005708	0.001268	0.005391	0.017123	0.015538	0.027588	0.091007	0.006342	0.006342	0.155489	0.009513	0.000317	0.001268	-0.002537	0.028729	-0.003171	0.010781	0.001903	0.011416	-0.000634	0.000634	
mp:2017-08-12_03.00.00.Social.COM_ENM.BIOETH	BIOETH	2017-08-12T03:00:00.000Z	Social	2.2.18	116.0	0.011262	-0.060345	0.008621			-0.003233	0.025862	0.017241	0.043103	0.051724	-0.008621		0.090517	0.021552				0.034483	0.025862	0.025862	0.008621	0.025862		0.008621	
mp:2017-08-12_03.00.00.Social.COM_ENM.MOG	MOG	2017-08-12T03:00:00.000Z	Social	2.2.18	201.6	0.019572	-0.183532	-0.029762	0.014881		0.000000	0.034722	0.022321		0.101687	-0.042163	0.024802	0.159474	-0.009921		0.009921		0.014385		0.014881	0.004960	0.000000			
mp:2017-08-12_03.00.00.Social.COM_ENM.GOL	GOL	2017-08-12T03:00:00.000Z	Social	2.2.18	2845.1	0.276218	-0.091034	0.019507	0.009490	0.024604	0.007118	0.028470	0.006678	0.015289	0.065903	-0.001582	0.030579	0.183333	0.006678	0.001757	0.004042	0.000351	0.040737	0.000351	-0.003339		0.009841	0.000000	0.002636	0.001406
mp:2017-08-12_03.00.00.Social.COM_ENM.HOIL	HOIL	2017-08-12T03:00:00.000Z	Social	2.2.18	14.0	0.001359	0.000000										0.285714	0.178571	0.142857											
mp:2017-08-12_03.00.00.Social.COM_ENM.IRN	IRN	2017-08-12T03:00:00.000Z	Social	2.2.18	418.7	0.040650	-0.224504	-0.004777		0.011942	0.001194	0.031048	-0.014330	0.039408	0.060903	-0.014330	0.026272	0.133926	0.013136	0.002388	0.002388		0.023167	-0.009553	0.004777		0.014330		-0.001194	
