id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	loveHate	carryTrade	currencyPegInstability	priceMomentum
mp:2017-08-15_04.00.00.News_Social.CUR.ARS	ARS	2017-08-15T04:00:00.000Z	News_Social	2.2.19	129.0	0.003880	0.182171				-0.015504		0.031008	0.023256	0.031008	0.000000		0.147287	-0.015504		0.034884			0.007752			-0.007752
mp:2017-08-15_04.00.00.News_Social.CUR.AUD	AUD	2017-08-15T04:00:00.000Z	News_Social	2.2.19	2271.1	0.068311	-0.106116	0.003302	0.014971	0.001541	0.000220	0.001321	-0.007926	0.025538	0.041610	-0.006385	0.012109	0.082702	0.002202		0.005064	0.002422	0.020739	-0.000660			0.018934
mp:2017-08-15_04.00.00.News_Social.CUR.BRL	BRL	2017-08-15T04:00:00.000Z	News_Social	2.2.19	8.0	0.000241	-0.250000							0.125000	0.125000			0.000000			0.250000		0.250000				
mp:2017-08-15_04.00.00.News_Social.CUR.CAD	CAD	2017-08-15T04:00:00.000Z	News_Social	2.2.19	413.0	0.012422	-0.092010	0.002421	0.002421	0.002421	0.019370	0.016949	0.024213	0.014528	0.076271	-0.002421	0.009685	0.134988	0.019370		0.008475	0.002421		0.012107			-0.004843
mp:2017-08-15_04.00.00.News_Social.CUR.CNY	CNY	2017-08-15T04:00:00.000Z	News_Social	2.2.19	2617.4	0.078728	0.004203	0.005349	0.002292	0.001528	0.000287	0.011080	0.000764	0.017002	0.040689	0.034194	0.016237	0.056936	-0.054634	0.001910	0.125506	0.012608	0.017575	0.002292			0.006877
mp:2017-08-15_04.00.00.News_Social.CUR.EGP	EGP	2017-08-15T04:00:00.000Z	News_Social	2.2.19	15.0	0.000451	0.000000							0.133333				0.083333			0.066667						
mp:2017-08-15_04.00.00.News_Social.CUR.EUR	EUR	2017-08-15T04:00:00.000Z	News_Social	2.2.19	3158.8	0.095012	-0.159396	-0.022635	0.010605	0.004432	0.004749	0.008389	-0.003324	0.015037	0.049228	0.003482	0.015196	0.082286	0.001741	-0.000950	0.027067	-0.001266	0.032702	0.002216			0.012505
mp:2017-08-15_04.00.00.News_Social.CUR.INR	INR	2017-08-15T04:00:00.000Z	News_Social	2.2.19	483.5	0.014543	-0.100310	0.007239	0.001034	0.010341	0.011375	0.002068	0.008273	0.035160	0.028956	-0.021717	0.026887	0.092296	0.000000	-0.004137	0.055843	-0.001034	0.028956	0.010341			0.006205
mp:2017-08-15_04.00.00.News_Social.CUR.IDR	IDR	2017-08-15T04:00:00.000Z	News_Social	2.2.19	253.3	0.007619	-0.187525	0.027635	0.007896		-0.057244	0.043427	0.005922	0.019739	0.031583	0.055270	0.007896	0.167489	-0.003948		0.037505		0.032767	0.003948			0.005922
mp:2017-08-15_04.00.00.News_Social.CUR.ILS	ILS	2017-08-15T04:00:00.000Z	News_Social	2.2.19	19.0	0.000571	0.263158									-0.052632		0.118421			0.052632						
mp:2017-08-15_04.00.00.News_Social.CUR.JPY	JPY	2017-08-15T04:00:00.000Z	News_Social	2.2.19	1506.0	0.045298	-0.054781	-0.002656	0.007968	0.000664	0.008798	0.018924	0.009628	0.035857	0.053453	0.008632	0.014608	0.093459	0.006308	0.000332	0.033201	0.007304	0.040505	0.000664			0.002988
mp:2017-08-15_04.00.00.News_Social.CUR.MYR	MYR	2017-08-15T04:00:00.000Z	News_Social	2.2.19	426.2	0.012819	-0.053965	-0.018771	0.011732		0.001173	0.028156	-0.025809	0.011732	0.057485	0.009385	0.023463	0.077311	-0.002346		0.111450		0.087283	0.011732			0.004693
mp:2017-08-15_04.00.00.News_Social.CUR.MXN	MXN	2017-08-15T04:00:00.000Z	News_Social	2.2.19	73.4	0.002208	-0.102180	0.027248				0.027248	-0.013624	0.040872	0.177112	-0.013624	0.027248	0.131471			-0.006812	0.013624	0.059946				
mp:2017-08-15_04.00.00.News_Social.CUR.NZD	NZD	2017-08-15T04:00:00.000Z	News_Social	2.2.19	179.5	0.005399	-0.161560	0.022284	0.022284		0.026462		-0.027855	0.044568	0.105850	0.030641	0.027855	0.158078			-0.025070	0.005571	0.000000				
mp:2017-08-15_04.00.00.News_Social.CUR.PLN	PLN	2017-08-15T04:00:00.000Z	News_Social	2.2.19	246.8	0.007423	-0.089141	0.016207			0.003039	0.008104	0.105348	0.032415	0.121556	0.012156	0.008104	0.106564	0.004052		0.072934		0.080227				0.056726
mp:2017-08-15_04.00.00.News_Social.CUR.RUB	RUB	2017-08-15T04:00:00.000Z	News_Social	2.2.19	37.0	0.001113	0.189189								0.081081	0.081081		0.006757	0.054054		0.108108						0.054054
mp:2017-08-15_04.00.00.News_Social.CUR.SGD	SGD	2017-08-15T04:00:00.000Z	News_Social	2.2.19	36.5	0.001098	0.150685	0.054795		0.123288		-0.013699		0.054795	0.109589	0.054795	0.054795	0.174658			0.082192						
mp:2017-08-15_04.00.00.News_Social.CUR.ZAR	ZAR	2017-08-15T04:00:00.000Z	News_Social	2.2.19	525.4	0.015803	-0.193186	-0.011420	0.041873	0.003807	0.001190		0.005710	0.020936	0.026646	0.009517	0.005710	0.129235	0.007613		-0.015226		0.023601	0.011420			0.005710
mp:2017-08-15_04.00.00.News_Social.CUR.KRW	KRW	2017-08-15T04:00:00.000Z	News_Social	2.2.19	26.0	0.000782	0.153846						-0.115385		0.038462			0.211538			-0.076923						
mp:2017-08-15_04.00.00.News_Social.CUR.CHF	CHF	2017-08-15T04:00:00.000Z	News_Social	2.2.19	243.6	0.007327	-0.463875	-0.061576			0.002053		-0.012315	0.008210	0.024631	-0.024631	0.004105	0.060961	-0.016420	-0.012315	-0.127258	-0.012315	0.002463				0.000000
mp:2017-08-15_04.00.00.News_Social.CUR.THB	THB	2017-08-15T04:00:00.000Z	News_Social	2.2.19	55.0	0.001654	0.254545	0.054545		0.018182		0.054545	-0.054545	0.018182		0.036364		0.081818	0.054545		0.145455		0.036364				
mp:2017-08-15_04.00.00.News_Social.CUR.TRY	TRY	2017-08-15T04:00:00.000Z	News_Social	2.2.19	23.0	0.000692	-0.173913	0.130435					-0.043478			0.043478		0.000000	-0.086957		0.173913	-0.043478					
mp:2017-08-15_04.00.00.News_Social.CUR.USD	USD	2017-08-15T04:00:00.000Z	News_Social	2.2.19	20319.0	0.611166	0.048231	-0.008022	0.014912	0.001403	-0.001433	0.008244	0.014051	0.022294	0.060731	0.008908	0.012919	0.127867	-0.000615	-0.000221	0.042620	0.003027	0.024238	0.000861			0.002141
mp:2017-08-15_04.00.00.News_Social.CUR.AED	AED	2017-08-15T04:00:00.000Z	News_Social	2.2.19	13.0	0.000391	0.076923	-0.076923							0.076923			-0.057692			0.615385						
mp:2017-08-15_04.00.00.News_Social.CUR.GBP	GBP	2017-08-15T04:00:00.000Z	News_Social	2.2.19	167.8	0.005047	-0.035757	-0.047676	0.005959	0.017878	0.010429	0.011919	-0.011919	0.000000	0.071514	-0.017878	0.035757	0.083731	-0.005959		0.101311	0.017878	0.070322				0.005959
mp:2017-08-15_04.00.00.News.CUR.ARS	ARS	2017-08-15T04:00:00.000Z	News	2.2.19	109.0	0.005048	0.165138				-0.018349		0.036697	0.018349	0.036697	0.009174		0.160550	-0.018349		0.000000			0.009174			-0.009174
mp:2017-08-15_04.00.00.News.CUR.AUD	AUD	2017-08-15T04:00:00.000Z	News	2.2.19	1965.6	0.091027	-0.100478	0.004070	0.016789	0.000509	-0.000382	0.000509	-0.012719	0.022385	0.033578	-0.008649	0.010175	0.074061			0.008140	0.004070	0.023453	-0.000509			0.023403
mp:2017-08-15_04.00.00.News.CUR.BRL	BRL	2017-08-15T04:00:00.000Z	News	2.2.19	8.0	0.000370	-0.250000							0.125000	0.125000			0.000000			0.250000		0.250000				
mp:2017-08-15_04.00.00.News.CUR.CAD	CAD	2017-08-15T04:00:00.000Z	News	2.2.19	259.0	0.011994	0.054054	0.023166	0.003861		0.030888	0.019305	0.007722	0.019305	0.081081	-0.003861		0.118726	0.027027		0.015444			0.015444			
mp:2017-08-15_04.00.00.News.CUR.CNY	CNY	2017-08-15T04:00:00.000Z	News	2.2.19	2325.0	0.107671	0.028817	0.012903	0.000860	0.001290	-0.000108	0.011183	0.000430	0.017849	0.035914	0.035484	0.018710	0.050591	-0.059785	0.002151	0.149032	0.015914	0.017032	0.001290			0.008602
mp:2017-08-15_04.00.00.News.CUR.EGP	EGP	2017-08-15T04:00:00.000Z	News	2.2.19	15.0	0.000695	0.000000							0.133333				0.083333			0.066667						
mp:2017-08-15_04.00.00.News.CUR.EUR	EUR	2017-08-15T04:00:00.000Z	News	2.2.19	2475.8	0.114655	-0.184183	-0.029485	0.007876	0.002423	0.004948	0.004039	-0.003635	0.010502	0.049479	0.005049	0.013531	0.078278	0.002423	0.000404	0.025042	-0.002020	0.034655	0.001212			0.014137
mp:2017-08-15_04.00.00.News.CUR.INR	INR	2017-08-15T04:00:00.000Z	News	2.2.19	433.5	0.020075	-0.114187	0.003460	0.001153	0.011534	0.017301		0.011534	0.039216	0.028835	-0.023068	0.023068	0.093714	0.002307	-0.002307	0.050750	-0.001153	0.025375	0.011534			0.006920
mp:2017-08-15_04.00.00.News.CUR.IDR	IDR	2017-08-15T04:00:00.000Z	News	2.2.19	249.3	0.011545	-0.190533	0.028079	0.008022		-0.058163	0.044124	0.006017	0.020056	0.032090	0.044124	0.004011	0.166165	-0.004011		0.038107		0.033293	0.004011			0.006017
mp:2017-08-15_04.00.00.News.CUR.ILS	ILS	2017-08-15T04:00:00.000Z	News	2.2.19	19.0	0.000880	0.263158									-0.052632		0.118421			0.052632						
mp:2017-08-15_04.00.00.News.CUR.JPY	JPY	2017-08-15T04:00:00.000Z	News	2.2.19	1283.5	0.059439	-0.055707	0.001558	0.008570		0.010129	0.018309	0.009739	0.039735	0.050643	0.007791	0.010908	0.091644	0.002727	0.000390	0.035060	0.009349	0.044799	0.000779			0.002337
mp:2017-08-15_04.00.00.News.CUR.MYR	MYR	2017-08-15T04:00:00.000Z	News	2.2.19	417.8	0.019348	-0.050263	-0.019148	0.011967		0.001197	0.028722	-0.026328	0.011967	0.058640	0.009574	0.023935	0.081498	-0.002393		0.104117		0.083293	0.011967			0.004787
mp:2017-08-15_04.00.00.News.CUR.MXN	MXN	2017-08-15T04:00:00.000Z	News	2.2.19	46.4	0.002149	0.053879					0.043103	-0.021552		0.193966	-0.043103	0.021552	0.100216			0.010776		0.073276				
mp:2017-08-15_04.00.00.News.CUR.NZD	NZD	2017-08-15T04:00:00.000Z	News	2.2.19	59.5	0.002755	-0.268908		0.016807		0.021008		-0.050420	0.033613	0.134454	0.033613	0.050420	0.174370			-0.092437						
mp:2017-08-15_04.00.00.News.CUR.PLN	PLN	2017-08-15T04:00:00.000Z	News	2.2.19	246.8	0.011429	-0.089141	0.016207			0.003039	0.008104	0.105348	0.032415	0.121556	0.012156	0.008104	0.106564	0.004052		0.072934		0.080227				0.056726
