id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	consumptionVolume	productionVolume	regulatoryIssues	supplyVsDemand	supplyVsDemandForecast	acreageCultivated	agDisease	subsidies	subsidiesSentiment	weatherDamage
mp:2017-08-13_07.00.00.Social.COM_AGR.CTTL	CTTL	2017-08-13T07:00:00.000Z	Social	2.2.19	136.0	0.142558	0.018382	-0.022059	0.007353	0.014706	0.014706	0.040441	-0.025735	0.014706	0.044118	0.014706	0.029412	0.139706					0.106618		0.007353					0.073529			
mp:2017-08-13_07.00.00.Social.COM_AGR.COF	COF	2017-08-13T07:00:00.000Z	Social	2.2.19	81.0	0.084906	0.123457	0.024691		0.049383	-0.006173		-0.006173	0.024691	0.049383	0.018519	0.037037	0.145062	0.074074								0.024691						0.086420
mp:2017-08-13_07.00.00.Social.COM_AGR.COR	COR	2017-08-13T07:00:00.000Z	Social	2.2.19	66.0	0.069182	-0.196970	-0.030303				0.030303	0.015152	0.075758	0.045455	0.015152		0.174242							0.045455				-0.075758				0.015152
mp:2017-08-13_07.00.00.Social.COM_AGR.COT	COT	2017-08-13T07:00:00.000Z	Social	2.2.19	73.5	0.077044	0.170068			0.027211		0.013605	0.129252				0.013605	0.141156	0.006803		0.027211						0.027211		0.027211				0.013605
mp:2017-08-13_07.00.00.Social.COM_AGR.HOGS	HOGS	2017-08-13T07:00:00.000Z	Social	2.2.19	24.5	0.025681	-0.204082					0.040816	0.020408	0.081633	0.122449	-0.040816	0.081633	0.086735					0.081633		0.000000		0.040816						
mp:2017-08-13_07.00.00.Social.COM_AGR.RICE1	RICE1	2017-08-13T07:00:00.000Z	Social	2.2.19	164.0	0.171908	-0.469512			0.012195	0.001524	0.048780	0.024390	0.024390	0.054878	0.018293		0.167683	0.067073				0.012195		-0.006098		-0.024390						
mp:2017-08-13_07.00.00.Social.COM_AGR.SOY1	SOY1	2017-08-13T07:00:00.000Z	Social	2.2.19	54.0	0.056604	-0.037037						0.055556		0.055556	0.037037	0.018519	0.000000	0.037037				0.055556		-0.037037		0.037037						
mp:2017-08-13_07.00.00.Social.COM_AGR.SUG	SUG	2017-08-13T07:00:00.000Z	Social	2.2.19	134.0	0.140461	0.208955	0.164179		0.007463			0.037313		0.082090	-0.014925	0.037313	0.190299	0.022388	0.007463	0.014925	0.000000	0.022388	0.014925	0.029851		-0.014925						0.014925
mp:2017-08-13_07.00.00.Social.COM_AGR.WHT	WHT	2017-08-13T07:00:00.000Z	Social	2.2.19	221.0	0.231656	-0.038462	0.022624	0.013575		-0.019231	0.009050	0.027149		0.072398	0.018100	0.002262	0.138009					0.004525		0.063348		0.022624	0.004525	0.022624				0.004525
mp:2017-08-13_07.00.00.News_Social.COM_AGR.CTTL	CTTL	2017-08-13T07:00:00.000Z	News_Social	2.2.19	508.0	0.150970	-0.122047	-0.011811	0.001969	0.013780	-0.021654	0.038386	0.015748	0.015748	0.057087	-0.016732	0.017717	0.183563	-0.005906				0.034449		0.001969	0.015748	-0.011811		0.002953	0.019685	0.003937	0.003937	
mp:2017-08-13_07.00.00.News_Social.COM_AGR.COC	COC	2017-08-13T07:00:00.000Z	News_Social	2.2.19	260.8	0.077506	-0.230061				0.000959		0.019172	0.176380	0.030675		0.015337	0.045245			-0.034509		0.095092				0.184049		0.042178				
mp:2017-08-13_07.00.00.News_Social.COM_AGR.COF	COF	2017-08-13T07:00:00.000Z	News_Social	2.2.19	210.5	0.062558	-0.040380	-0.038005	0.004751	0.033254	-0.001188		-0.021378	0.028504	0.066508	-0.040380	0.023753	0.187055	0.023753				0.028504		0.009501		0.009501						0.033254
mp:2017-08-13_07.00.00.News_Social.COM_AGR.COR	COR	2017-08-13T07:00:00.000Z	News_Social	2.2.19	347.5	0.103272	-0.112230	-0.012950			-0.002158	0.005755	-0.011511	0.033094	0.053237	0.024460	0.001439	0.055396	0.002878		-0.011511	-0.008633	0.027338		0.028777		0.100719	0.043165	-0.017266				0.008633
mp:2017-08-13_07.00.00.News_Social.COM_AGR.COT	COT	2017-08-13T07:00:00.000Z	News_Social	2.2.19	503.2	0.149544	-0.066574	0.000000	0.013911	0.003975	-0.009936	0.017886	0.050676	0.032790	0.076510	0.003975	0.007949	0.151431	-0.006955		-0.016892	-0.017886	0.014308		0.013911		-0.011924		0.009936	0.001987			0.001987
mp:2017-08-13_07.00.00.News_Social.COM_AGR.HOGS	HOGS	2017-08-13T07:00:00.000Z	News_Social	2.2.19	28.5	0.008470	-0.140351				0.008772	0.035088	0.017544	0.070175	0.140351	-0.070175	0.070175	0.109649					0.070175		0.000000		0.035088						
mp:2017-08-13_07.00.00.News_Social.COM_AGR.POIL	POIL	2017-08-13T07:00:00.000Z	News_Social	2.2.19	63.0	0.018723	0.126984						0.063492					-0.031746			-0.031746		0.031746		0.015873		-0.222222	-0.015873					
mp:2017-08-13_07.00.00.News_Social.COM_AGR.RICE1	RICE1	2017-08-13T07:00:00.000Z	News_Social	2.2.19	467.5	0.138934	-0.313369	0.007487		0.004278	-0.001604	0.019251	0.019251	0.038503	0.064171	-0.005348	0.010695	0.146791	0.020321		0.006417		0.025668		0.009626		0.006417	0.002139	0.000000				0.014973
mp:2017-08-13_07.00.00.News_Social.COM_AGR.SOY1	SOY1	2017-08-13T07:00:00.000Z	News_Social	2.2.19	137.5	0.040863	-0.083636	0.029091				-0.007273	0.032727	0.010909	0.061818	0.010909	0.036364	0.050909	0.014545				0.029091		-0.014545		-0.007273	-0.007273					-0.003636
