id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	loveHate	carryTrade	currencyPegInstability	priceMomentum
mp:2017-08-10_08.00.00.News.CUR.ARS	ARS	2017-08-10T08:00:00.000Z	News	2.2.18	6.0	0.000331	-0.166667											0.000000	-0.333333		0.166667						
mp:2017-08-10_08.00.00.News.CUR.AUD	AUD	2017-08-10T08:00:00.000Z	News	2.2.18	1156.6	0.063809	-0.178108	0.006052	0.007349		0.004323	0.008646	0.010375	0.019021	0.083002	0.022912	0.032855	0.113349	0.001729	-0.001729	-0.058361	0.001729	0.060176	0.012104	0.000865		0.000865
mp:2017-08-10_08.00.00.News.CUR.BRL	BRL	2017-08-10T08:00:00.000Z	News	2.2.18	45.0	0.002483	-0.022222							0.111111	0.022222			0.072222			-0.066667		0.022222				
mp:2017-08-10_08.00.00.News.CUR.CAD	CAD	2017-08-10T08:00:00.000Z	News	2.2.18	269.6	0.014874	-0.185460	0.014837	0.022255		0.018546	0.007418	-0.048220	0.018546	0.103858	-0.011128	0.033383	0.124629	0.014837		0.007418		0.009644	0.014837			0.000000
mp:2017-08-10_08.00.00.News.CUR.CNY	CNY	2017-08-10T08:00:00.000Z	News	2.2.18	2100.4	0.115877	0.119739	0.021663	0.004999	0.002380	0.003749	0.026662	-0.000952	0.019520	0.054990	0.055942	0.008570	0.058691	-0.071415	-0.000476	0.104980	0.005713	0.017806	0.001190			0.013331
mp:2017-08-10_08.00.00.News.CUR.EGP	EGP	2017-08-10T08:00:00.000Z	News	2.2.18	16.5	0.000910	-0.545455		0.060606						0.121212			0.113636			-0.151515						
mp:2017-08-10_08.00.00.News.CUR.EUR	EUR	2017-08-10T08:00:00.000Z	News	2.2.18	1529.2	0.084365	-0.083050	-0.017002	0.004251	0.000654	0.002289	0.011771	0.007847	0.038582	0.043160	-0.009809	0.014714	0.078816	0.001962	-0.002616	0.069317	0.007520	0.020926	0.000000			0.013079
mp:2017-08-10_08.00.00.News.CUR.HKD	HKD	2017-08-10T08:00:00.000Z	News	2.2.18	658.0	0.036301	-0.101824	-0.003040	0.000000		0.001900	0.004559	0.013678	0.024316	0.060790	0.009119	0.050152	0.075228	-0.015198		0.054711	0.007599	0.048632	0.003040	0.021277		0.004559
mp:2017-08-10_08.00.00.News.CUR.INR	INR	2017-08-10T08:00:00.000Z	News	2.2.18	250.4	0.013814	-0.027955	0.027955			-0.008486	0.035942	-0.013978	0.043930	0.027955	-0.057907	0.015974	0.045527	-0.011981		0.155751	0.015974	0.041534	0.003994			0.007987
mp:2017-08-10_08.00.00.News.CUR.IDR	IDR	2017-08-10T08:00:00.000Z	News	2.2.18	19.0	0.001048	0.315789						-0.105263			0.000000		0.065789					0.210526				
