id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	loveHate	anger	debtDefault	innovation	marketRisk	budgetDeficit	businessExpansion	centralBank	commercialRealEstateSentiment	consumerSentiment	creditEasyVsTight	economicGrowth	economicUncertainty	economicVolatility	financialSystemInstability	fiscalPolicyLooseVsTight	governmentAnger	governmentCorruption	governmentInstability	inflation	inflationForecast	interestRates	interestRatesForecast	investmentFlows	monetaryPolicyLooseVsTight	naturalDisasters	regimeChange	residentialRealEstateGrowth	residentialRealEstateSales	residentialRealEstateSentiment	residentialRealEstateValues	sanctions	socialInequality	socialUnrest	tradeBalance	unemployment
mp:2017-08-15_03.00.00.News_Social.COU.AF	AF	2017-08-15T03:00:00.000Z	News_Social	2.2.19	4376.1	0.001712	-0.158360	-0.007427	0.004799	0.005599	-0.003942	0.269875	0.037019	0.030164	0.058271	0.008684	0.006284	0.038130	0.002057	0.010854	0.000229	0.001028	-0.010455		-0.000229					0.000343	-0.001600	0.002331			0.000457	0.000114	0.015013			0.000229				0.002742	-0.000411			0.000457				0.016453		
mp:2017-08-15_03.00.00.News_Social.COU.DZ	DZ	2017-08-15T03:00:00.000Z	News_Social	2.2.19	2082.0	0.000815	-0.126801	-0.007685	0.017291	0.006964	0.000540	0.063160	0.095821	0.013208	0.061960	0.017771	0.015850	0.055109	-0.002882	0.012968		0.001441	-0.014553					-0.001921		0.005043	0.008646	0.077570			0.000961	0.000961	0.035687							0.002402	0.001825			-0.002882				0.022334		
mp:2017-08-15_03.00.00.News_Social.COU.AO	AO	2017-08-15T03:00:00.000Z	News_Social	2.2.19	286.0	0.000112	0.019231	0.000000	0.003497	0.006993	0.002622	0.048951	-0.013986	0.027972	0.062937	0.026224	0.020979	0.081949	0.003497	0.003497			-0.013112					0.003497		0.017483	-0.013986	0.013986					0.026224															0.010490		
mp:2017-08-15_03.00.00.News_Social.COU.AR	AR	2017-08-15T03:00:00.000Z	News_Social	2.2.19	9935.8	0.003888	-0.052739	-0.000201	0.007750	0.006341	-0.001837	0.036987	0.025463	0.024759	0.056312	0.027527	0.009863	0.058123	0.004428	0.008354		0.002114	-0.007408		0.000403	0.000403		0.000503	0.000101	0.005133	-0.001661	0.014916		0.002114	0.008555	0.001208	0.017502	0.002315	0.000000	-0.001711		-0.000050		0.025313	0.000040	0.000403		-0.004328		0.000101		0.009410	-0.002416	0.000101
mp:2017-08-15_03.00.00.News_Social.COU.AM	AM	2017-08-15T03:00:00.000Z	News_Social	2.2.19	261.5	0.000102	-0.122371	-0.011472	0.007648	0.003824		0.246654	0.042065	0.011472	0.047801	0.017208	0.003824	0.025335	0.003824	0.003824			-0.009560					0.011472		0.015296		0.007648					0.005736							0.015296								0.024857		
mp:2017-08-15_03.00.00.News_Social.COU.AU	AU	2017-08-15T03:00:00.000Z	News_Social	2.2.19	78161.7	0.030583	-0.116297	-0.005713	0.007887	0.007843	-0.003047	0.029407	0.035171	0.025473	0.073143	0.015462	0.020023	0.082457	0.005783	0.012589	0.000275	0.001906	-0.015245	-0.000038	0.000608	0.001567	0.000038	0.000512	0.000333	0.012161	-0.000729	0.011332		0.000000	0.000499	0.000122	0.008575	0.001951	0.000192	0.000505	0.000070		-0.000051	0.002303	-0.000113	0.001522	0.000013	-0.004983	0.000621	0.000013	0.000090	0.004005	-0.000333	-0.000601
mp:2017-08-15_03.00.00.News_Social.COU.AT	AT	2017-08-15T03:00:00.000Z	News_Social	2.2.19	2370.5	0.000928	-0.182029	0.014343	0.021093	0.007804	-0.003269	0.038178	0.031217	0.072769	0.098924	0.026155	0.016874	0.092834	0.005062	0.005906		0.001687	-0.016241		0.000422					-0.001055	0.000000	0.008859			0.002109	0.000422	0.024467	0.000422						0.005062				-0.002531				0.010335		
mp:2017-08-15_03.00.00.News_Social.COU.BH	BH	2017-08-15T03:00:00.000Z	News_Social	2.2.19	772.6	0.000302	0.040124	0.028475	0.006472	0.009060	0.007442	0.044007	-0.014238	0.011649	0.051126	0.048537	0.009060	0.091250	0.000000	0.002589		0.003883	0.011390		-0.007766	0.001294		0.003883		0.018121	-0.001294	-0.003883		0.001294		-0.001294	-0.005177							0.001294				0.002589				0.015532		-0.001294
mp:2017-08-15_03.00.00.News_Social.COU.BD	BD	2017-08-15T03:00:00.000Z	News_Social	2.2.19	5264.3	0.002060	-0.228710	-0.035142	0.008263	0.003419	-0.004179	0.088616	0.014247	0.046635	0.104382	0.011777	0.006079	0.058210	0.001995	0.007883	0.001140	0.000760	-0.027611	0.000190		0.001140		0.000760	-0.000950	0.001900	0.000380	0.004179			0.000190	0.000380	0.018616	0.002280	0.000380	-0.000190	-0.000190		0.000190	0.097069		0.000190		-0.008928			0.000190	0.009118	-0.001140	
mp:2017-08-15_03.00.00.News_Social.COU.BY	BY	2017-08-15T03:00:00.000Z	News_Social	2.2.19	491.5	0.000192	-0.006104	0.051882		0.014242	-0.008138	0.010173	-0.012208	0.009156	0.069176	0.044761	0.002035	0.024161	0.012208	0.004069			0.017294					-0.001017	0.002035	0.041709		0.020346			0.002035		0.166836									0.002035						0.010173	0.004069	
