id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	loveHate	anger	debtDefault	innovation	marketRisk	budgetDeficit	businessExpansion	centralBank	commercialRealEstateSentiment	consumerSentiment	creditEasyVsTight	economicGrowth	economicUncertainty	economicVolatility	financialSystemInstability	fiscalPolicyLooseVsTight	governmentAnger	governmentCorruption	governmentInstability	inflation	inflationForecast	interestRates	interestRatesForecast	investmentFlows	monetaryPolicyLooseVsTight	naturalDisasters	regimeChange	residentialRealEstateGrowth	residentialRealEstateSales	residentialRealEstateSentiment	residentialRealEstateValues	sanctions	socialInequality	socialUnrest	tradeBalance	unemployment
mp:2017-08-13_08.00.00.News_Social.COU.AF	AF	2017-08-13T08:00:00.000Z	News_Social	2.2.19	4666.0	0.003814	-0.163416	-0.017681	0.007715	0.000000	-0.002357	0.343442	0.051114	0.033326	0.054008	0.006751	0.007501	0.014332	0.001072	0.010394			-0.018270						0.000000	-0.002036	-0.000214	0.004929			0.001286	0.004286	0.021217	-0.000214		-0.000214				0.001286	0.000857			-0.006429		0.000857		0.037934	0.004822	0.002143
mp:2017-08-13_08.00.00.News_Social.COU.DZ	DZ	2017-08-13T08:00:00.000Z	News_Social	2.2.19	428.7	0.000350	-0.092139	-0.016328	0.012829		0.006415	0.099137	0.051318	0.037322	0.052484	0.053651	0.016328	0.066043	0.000000	0.010497			-0.018428					-0.002333		-0.002333		0.030324			0.002333	-0.004665	0.034990							0.002333	0.004665							0.011663		
mp:2017-08-13_08.00.00.News_Social.COU.AO	AO	2017-08-13T08:00:00.000Z	News_Social	2.2.19	160.9	0.000132	-0.118086	0.037290	0.003108	0.006215	0.027968	0.034183	0.021753	0.024860	0.043505	0.006215	0.012430	0.073415	-0.006215	0.006215			0.036979							-0.062150	0.000000	0.012430			0.006215		0.006215																-0.024860	
mp:2017-08-13_08.00.00.News_Social.COU.AR	AR	2017-08-13T08:00:00.000Z	News_Social	2.2.19	3852.7	0.003149	-0.150414	0.006878	0.005451	0.006100	-0.004315	0.041789	0.014925	0.029590	0.076180	0.045293	0.008046	0.070976	0.008046	0.001817		0.007008	-0.004763		0.000519	0.002596		0.000260		-0.011940	-0.000260	0.009604		-0.000260	0.000649	-0.001687	0.002907	0.000779	0.000519					0.058790	0.000052			-0.007008		0.000260		0.013108		
mp:2017-08-13_08.00.00.News_Social.COU.AM	AM	2017-08-13T08:00:00.000Z	News_Social	2.2.19	79.0	0.000065	-0.177215	0.012658	0.012658	0.025316	0.006329	0.126582	0.107595	0.025316	0.094937	0.025316	0.012658	0.078323	0.012658	0.012658			-0.003165					0.006329		0.006329		-0.006329					-0.012658															0.012658		
mp:2017-08-13_08.00.00.News_Social.COU.AU	AU	2017-08-13T08:00:00.000Z	News_Social	2.2.19	35135.8	0.028720	-0.138918	-0.007272	0.009833	0.012736	-0.003049	0.052368	0.032446	0.041496	0.077627	0.016877	0.017276	0.087397	0.004170	0.013263	0.000128	0.001651	-0.013175		0.000683	0.000512		-0.000996	0.000142	0.000583	0.000157	0.010619	0.000114	0.000114	0.001039	0.000754	0.008954	0.001452	0.000085	-0.000441	0.000085			0.004653	0.000102	0.001082	-0.000285	-0.013690	0.000285	-0.000100	0.000413	0.006318	0.000000	-0.000569
mp:2017-08-13_08.00.00.News_Social.COU.AT	AT	2017-08-13T08:00:00.000Z	News_Social	2.2.19	623.0	0.000509	0.003210	0.006421	0.004815	0.024077	-0.000602	0.059390	0.024077	0.032905	0.050562	0.035313	0.011236	0.096409	0.014446	0.004815		0.001605	-0.001204							-0.004815		0.020867					0.003210											-0.006421				0.001605		
mp:2017-08-13_08.00.00.News_Social.COU.BH	BH	2017-08-13T08:00:00.000Z	News_Social	2.2.19	2137.0	0.001747	-0.281235	0.005147	0.000936	0.000936	-0.001462	0.066214	0.024099	0.125877	0.113711	0.031820	0.000468	0.078820	0.003276	0.001638			-0.001755					0.000702		0.073467		0.001404					0.008657								0.000234			0.000468				0.009593	-0.001872	-0.000468
mp:2017-08-13_08.00.00.News_Social.COU.BD	BD	2017-08-13T08:00:00.000Z	News_Social	2.2.19	3480.7	0.002845	-0.204700	-0.009625	0.007901	0.003735	-0.011636	0.099118	0.029735	0.044819	0.069095	0.004453	0.008763	0.075750	0.004309	0.007326		0.001724	-0.009840			0.003735		-0.000287	0.000862	0.001149	-0.000862	0.002643			0.000287	0.007182	0.008763	0.004740		-0.000575				0.012928	0.000287	0.000575		-0.002298				0.018962	0.001724	-0.000287
mp:2017-08-13_08.00.00.News_Social.COU.BY	BY	2017-08-13T08:00:00.000Z	News_Social	2.2.19	51.5	0.000042	-0.058252					0.038835	0.174757	0.019417	0.165049		0.038835	0.093447	0.019417	0.058252			-0.058252																									-0.097087				0.019417		
