id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	consumptionVolume	productionVolume	regulatoryIssues	supplyVsDemand	supplyVsDemandForecast	newExploration	safetyAccident
mp:2017-08-15_14.00.00.News_Social.COM_ENM.ALU	ALU	2017-08-15T14:00:00.000Z	News_Social	2.2.19	1676.3	0.030539	-0.156297	-0.039074	0.005369	0.002386	-0.008203	0.016107	0.000597	0.036390	0.046829	0.019984	0.037881	0.157669	-0.001491		0.008948		0.037463	0.004176	0.002983		-0.027143	-0.000597		
mp:2017-08-15_14.00.00.News_Social.COM_ENM.BIOF	BIOF	2017-08-15T14:00:00.000Z	News_Social	2.2.19	155.0	0.002824	0.277419	0.064516			0.014516	0.012903	0.025806	0.012903	0.064516	0.000000	0.038710	0.180645	0.077419	0.006452	0.006452		0.012903		0.019355		-0.025806		0.000000	
mp:2017-08-15_14.00.00.News_Social.COM_ENM.COA	COA	2017-08-15T14:00:00.000Z	News_Social	2.2.19	3627.0	0.066077	-0.154535	-0.021230	0.009788	0.006617	-0.003102	0.044803	0.019300	0.030880	0.093466	0.012269	0.014613	0.153219	0.000000	0.001792	0.000551		0.026634	0.000827	-0.013096	0.015440	-0.020265	-0.000689	0.008685	0.000551
mp:2017-08-15_14.00.00.News_Social.COM_ENM.CPPR	CPPR	2017-08-15T14:00:00.000Z	News_Social	2.2.19	1787.3	0.032561	-0.128406	-0.001119	0.002238	0.005595	0.007553	0.008672	0.040564	0.016785	0.035249	-0.005036	0.029094	0.153654	0.003357	0.001119	0.050355		0.027416		-0.003917	0.003357	-0.014547		0.012869	
mp:2017-08-15_14.00.00.News_Social.COM_ENM.CRU	CRU	2017-08-15T14:00:00.000Z	News_Social	2.2.19	16159.6	0.294395	-0.274202	-0.009808	0.015533	0.001114	-0.000124	0.004022	-0.017234	0.044030	0.078993	-0.002042	0.010180	0.142230	0.001454	-0.000124	-0.001114	-0.000433	0.057613	0.000186	-0.001733	0.000990	0.000526	-0.002599	0.001856	
mp:2017-08-15_14.00.00.News_Social.COM_ENM.BIOETH	BIOETH	2017-08-15T14:00:00.000Z	News_Social	2.2.19	181.2	0.003301	0.126932	-0.011038		0.022075	0.013797	0.011038	0.022075	0.011038	0.046909	0.000000	0.005519	0.121137	0.019316	0.011038	0.005519		0.039735	0.011038	-0.011038		-0.038631			
mp:2017-08-15_14.00.00.News_Social.COM_ENM.MOG	MOG	2017-08-15T14:00:00.000Z	News_Social	2.2.19	2438.5	0.044424	-0.168956	0.003076	0.017429	0.000820	0.004511	0.029526	0.004101	0.045315	0.068280	-0.003691	0.019274	0.124790	0.014763	0.000410	0.006766	0.006971	0.040640	0.000410	0.007792		0.027066	-0.001230	0.000820	
mp:2017-08-15_14.00.00.News_Social.COM_ENM.GOL	GOL	2017-08-15T14:00:00.000Z	News_Social	2.2.19	13574.6	0.247301	-0.180963	-0.000111	0.010571	0.007035	0.005065	0.023610	-0.007367	0.021511	0.083538	0.008951	0.023831	0.178206	0.004015	-0.000958	-0.000037	0.000368	0.024863	0.000147	0.002247		-0.016501	-0.000958	0.010719	
mp:2017-08-15_14.00.00.News_Social.COM_ENM.HOIL	HOIL	2017-08-15T14:00:00.000Z	News_Social	2.2.19	149.2	0.002718	-0.274799						-0.006702			0.046917		0.118633			-0.026810	0.040214	0.001340	-0.006702			0.080429			
mp:2017-08-15_14.00.00.News_Social.COM_ENM.IRN	IRN	2017-08-15T14:00:00.000Z	News_Social	2.2.19	3214.7	0.058565	-0.224127	0.007777	0.016798	0.002177	0.002100	0.034373	0.018975	0.034218	0.104053	0.004199	0.011821	0.153996	-0.015242		-0.015865		0.027468	0.001244	-0.014465		-0.017731	0.003733	0.001866	
mp:2017-08-15_14.00.00.News_Social.COM_ENM.JET	JET	2017-08-15T14:00:00.000Z	News_Social	2.2.19	188.2	0.003429	-0.217853						-0.053135		0.023911	0.063762	0.013284	0.053401			0.010627		0.009564				0.116897			
mp:2017-08-15_14.00.00.News_Social.COM_ENM.LNG	LNG	2017-08-15T14:00:00.000Z	News_Social	2.2.19	208.4	0.003797	-0.033589	0.019194			0.002399		-0.004798	0.038388	0.019194	0.033589	0.014395	0.115643	0.009597	0.009597	-0.019194		0.025912		0.019194		0.033589	0.004798	0.009597	
mp:2017-08-15_14.00.00.News_Social.COM_ENM.NAP	NAP	2017-08-15T14:00:00.000Z	News_Social	2.2.19	47.0	0.000856	-0.127660							-0.021277	-0.042553			-0.132979					0.595745							
mp:2017-08-15_14.00.00.News_Social.COM_ENM.NGS	NGS	2017-08-15T14:00:00.000Z	News_Social	2.2.19	2219.3	0.040431	-0.096652	0.018024	0.003154	0.001352	0.001690	0.029063	0.006308	0.046636	0.089893	0.004506	0.024783	0.152390	0.006083	0.001352	-0.000901		0.035912	0.013968	0.022755		-0.000225	0.000451	0.010814	
mp:2017-08-15_14.00.00.News_Social.COM_ENM.NKL	NKL	2017-08-15T14:00:00.000Z	News_Social	2.2.19	578.5	0.010539	-0.274849	0.015557	0.003457	0.003457	0.002593	0.006914	0.006914	0.057044	0.067416	0.006050	0.024201	0.143042	0.000864				0.017286		-0.011236		0.012965		0.005186	
