id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	loveHate	anger	debtDefault	innovation	marketRisk	budgetDeficit	businessExpansion	centralBank	commercialRealEstateSentiment	consumerSentiment	creditEasyVsTight	economicGrowth	economicUncertainty	economicVolatility	financialSystemInstability	fiscalPolicyLooseVsTight	governmentAnger	governmentCorruption	governmentInstability	inflation	inflationForecast	interestRates	interestRatesForecast	investmentFlows	monetaryPolicyLooseVsTight	naturalDisasters	regimeChange	residentialRealEstateGrowth	residentialRealEstateSales	residentialRealEstateSentiment	residentialRealEstateValues	sanctions	socialInequality	socialUnrest	tradeBalance	unemployment
mp:2017-08-15_05.00.00.News_Social.COU.AF	AF	2017-08-15T05:00:00.000Z	News_Social	2.2.19	4237.5	0.001656	-0.154336	-0.007434	0.004484	0.006490	-0.003982	0.256047	0.032802	0.029027	0.058879	0.009558	0.006726	0.041829	0.002124	0.010265	0.000236	0.001298	-0.009853		-0.000236					0.000118	-0.001888	0.002171			0.000472	-0.000826	0.014372			0.000236				0.002832	-0.000378			0.000472				0.014395		
mp:2017-08-15_05.00.00.News_Social.COU.DZ	DZ	2017-08-15T05:00:00.000Z	News_Social	2.2.19	2059.0	0.000805	-0.125304	-0.007771	0.018456	0.007042	0.000546	0.060952	0.098349	0.013356	0.060709	0.018941	0.016027	0.054450	-0.002914	0.013113		0.001457	-0.014716					-0.001943		0.004128	0.009713	0.079407			0.000971	0.000971	0.038028							0.001457	0.001846			-0.002914				0.023555		
mp:2017-08-15_05.00.00.News_Social.COU.AO	AO	2017-08-15T05:00:00.000Z	News_Social	2.2.19	287.0	0.000112	0.019164	0.000000	0.003484	0.010453	0.002613	0.048780	-0.013937	0.027875	0.062718	0.026132	0.020906	0.082099	0.003484	0.003484			-0.013066					0.003484		0.017422	-0.013937	0.013937					0.026132															0.010453		
mp:2017-08-15_05.00.00.News_Social.COU.AR	AR	2017-08-15T05:00:00.000Z	News_Social	2.2.19	8090.2	0.003162	-0.043509	-0.001051	0.007478	0.007787	-0.000881	0.044189	0.024907	0.022187	0.057910	0.024721	0.010877	0.061579	0.004944	0.006860		0.002410	-0.007960		0.000494	0.000371		0.000680	0.000124	0.017058	-0.003028	0.011520		0.001112	0.006057	-0.000742	0.011730	0.002472	0.000000	-0.002101		-0.000062		0.031829	0.000049	0.000494		-0.001360		0.000124		0.010074	-0.001483	0.000124
mp:2017-08-15_05.00.00.News_Social.COU.AM	AM	2017-08-15T05:00:00.000Z	News_Social	2.2.19	236.5	0.000092	-0.093023	-0.012685	0.008457	0.004228		0.205074	0.046512	0.008457	0.050740	0.021142	0.008457	0.033827	0.004228	0.004228			-0.010571					0.012685		0.038055		0.008457					0.010571							0.016913								0.027484		
mp:2017-08-15_05.00.00.News_Social.COU.AU	AU	2017-08-15T05:00:00.000Z	News_Social	2.2.19	79434.1	0.031047	-0.114913	-0.004740	0.008070	0.007604	-0.003043	0.029421	0.036382	0.026015	0.074124	0.014685	0.020086	0.082124	0.005206	0.012721	0.000245	0.001983	-0.014911	-0.000038	0.000711	0.002335	0.000038	0.000485	0.000862	0.015352	-0.000963	0.011150		-0.000013	0.000655	-0.000277	0.010324	0.002549	0.000189	0.000422	0.000069		0.000050	0.002373	-0.000112	0.002115	0.000013	-0.004211	0.000686	0.000013	0.000088	0.004003	-0.000327	-0.001095
mp:2017-08-15_05.00.00.News_Social.COU.AT	AT	2017-08-15T05:00:00.000Z	News_Social	2.2.19	2378.0	0.000929	-0.178722	0.015349	0.021026	0.007780	-0.003364	0.037847	0.029647	0.072960	0.098192	0.026072	0.016400	0.093119	0.005467	0.006308		0.001262	-0.015770		0.000421					-0.001051	0.000000	0.007990			0.002103	0.000421	0.023970	0.000421						0.004626				-0.002103				0.010723		
mp:2017-08-15_05.00.00.News_Social.COU.BH	BH	2017-08-15T05:00:00.000Z	News_Social	2.2.19	733.4	0.000287	0.031361	0.024543	0.006818	0.009545	0.006477	0.040905	-0.013635	0.010908	0.053177	0.046359	0.009545	0.091185	0.000000	0.002727		0.004091	0.009136		-0.008181	0.001364		0.004091		0.019089	-0.001364	-0.004091		0.001364		-0.001364	-0.005454							0.001364				0.002727				0.013635		-0.001364
mp:2017-08-15_05.00.00.News_Social.COU.BD	BD	2017-08-15T05:00:00.000Z	News_Social	2.2.19	5394.4	0.002108	-0.234224	-0.039115	0.008620	0.002966	-0.004356	0.093894	0.015757	0.045881	0.105387	0.011679	0.006303	0.057606	0.001946	0.007693	0.001112	0.000371	-0.028928			0.000742		0.000742	-0.000742	0.002225	0.000371	0.003522			0.000185	0.000371	0.019465	0.002225	0.000371	-0.000185	-0.000185		0.000185	0.096767		0.000185		-0.009454			0.000185	0.009269	-0.001112	
mp:2017-08-15_05.00.00.News_Social.COU.BY	BY	2017-08-15T05:00:00.000Z	News_Social	2.2.19	491.5	0.000192	-0.006104	0.051882		0.014242	-0.008138	0.010173	-0.012208	0.009156	0.069176	0.044761	0.002035	0.024161	0.012208	0.004069			0.017294					-0.001017	0.002035	0.041709		0.020346			0.002035		0.166836									0.002035						0.010173	0.004069	
mp:2017-08-15_05.00.00.News_Social.COU.BE	BE	2017-08-15T05:00:00.000Z	News_Social	2.2.19	1432.6	0.000560	-0.144842	-0.006631	0.012914	0.010470	-0.002879	0.053399	0.036996	0.040486	0.082019	0.021988	0.016404	0.086844	0.008376	0.016753		0.002094	-0.019056			0.002094		-0.004188		0.010121	-0.002094	0.007120				0.004188	0.010121	0.000000		0.001396				0.004188								0.001745	0.001396	
mp:2017-08-15_05.00.00.News_Social.COU.BO	BO	2017-08-15T05:00:00.000Z	News_Social	2.2.19	504.4	0.000197	0.014869	-0.001983	0.005948	0.007930	0.000000	0.039651	0.002974	0.007930	0.052538	0.019826	0.003965	0.056255	0.003965	0.007930		0.000991	0.004857							0.105075	0.001983	0.001983					0.003965	0.073354						0.001983								0.029738		
