id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	consumptionVolume	productionVolume	regulatoryIssues	supplyVsDemand	supplyVsDemandForecast	acreageCultivated	agDisease	subsidies	subsidiesSentiment	weatherDamage
mp:2017-08-13_06.00.00.Social.COM_AGR.CTTL	CTTL	2017-08-13T06:00:00.000Z	Social	2.2.19	136.0	0.134454	0.033088	-0.022059	0.007353	0.014706	0.014706	0.040441	-0.033088	0.014706	0.044118	0.014706	0.029412	0.143382					0.099265		0.007353					0.073529			
mp:2017-08-13_06.00.00.Social.COM_AGR.COF	COF	2017-08-13T06:00:00.000Z	Social	2.2.19	81.0	0.080079	0.123457	0.024691		0.049383	-0.006173		-0.006173	0.024691	0.049383	0.018519	0.037037	0.145062	0.074074								0.024691						0.086420
mp:2017-08-13_06.00.00.Social.COM_AGR.COR	COR	2017-08-13T06:00:00.000Z	Social	2.2.19	75.0	0.074147	-0.280000	-0.026667				0.026667	0.066667	0.066667	0.026667	0.013333		0.183333							0.040000				-0.066667				0.013333
mp:2017-08-13_06.00.00.Social.COM_AGR.COT	COT	2017-08-13T06:00:00.000Z	Social	2.2.19	77.5	0.076619	0.083871			0.012903		0.012903	0.135484	0.025806	0.038710		0.012903	0.153226	0.006452		0.012903						0.025806		0.025806				0.012903
mp:2017-08-13_06.00.00.Social.COM_AGR.HOGS	HOGS	2017-08-13T06:00:00.000Z	Social	2.2.19	24.5	0.024221	-0.204082					0.040816	0.020408	0.081633	0.122449	-0.040816	0.081633	0.086735					0.081633		0.000000		0.040816						
mp:2017-08-13_06.00.00.Social.COM_AGR.RICE1	RICE1	2017-08-13T06:00:00.000Z	Social	2.2.19	159.0	0.157192	-0.484277			0.012579	0.001572	0.050314	0.025157	0.025157	0.056604	0.018868		0.180818	0.037736				0.012579		-0.006289		-0.025157						
mp:2017-08-13_06.00.00.Social.COM_AGR.SOY1	SOY1	2017-08-13T06:00:00.000Z	Social	2.2.19	117.0	0.115670	0.230769	0.136752					0.042735	0.008547	0.042735	0.017094	0.042735	0.121795	0.034188		0.017094		0.025641		0.000000		0.017094		-0.008547				
mp:2017-08-13_06.00.00.Social.COM_AGR.SUG	SUG	2017-08-13T06:00:00.000Z	Social	2.2.19	151.5	0.149778	0.145215	0.158416		0.006601			0.033003	0.013201	0.072607	-0.006601	0.033003	0.195545	0.019802	0.006601	0.016502	0.000000	0.026403	0.013201	0.026403		-0.013201						0.013201
mp:2017-08-13_06.00.00.Social.COM_AGR.WHT	WHT	2017-08-13T06:00:00.000Z	Social	2.2.19	190.0	0.187840	-0.113158	0.005263	0.005263		-0.022368	0.010526	0.057895		0.086842	0.021053	0.005263	0.135526	0.010526						0.063158		0.010526		0.015789				0.005263
mp:2017-08-13_06.00.00.News_Social.COM_AGR.CTTL	CTTL	2017-08-13T06:00:00.000Z	News_Social	2.2.19	532.0	0.153784	-0.097744	-0.003759	0.001880	0.013158	-0.020677	0.036654	0.013158	0.015038	0.054511	-0.015977	0.016917	0.179981	-0.005639				0.031015		0.001880	0.015038	0.003759		0.002820	0.018797	0.003759	0.003759	
mp:2017-08-13_06.00.00.News_Social.COM_AGR.COC	COC	2017-08-13T06:00:00.000Z	News_Social	2.2.19	260.8	0.075389	-0.230061				0.000959		0.019172	0.176380	0.030675		0.015337	0.045245			-0.034509		0.095092				0.184049		0.042178				
mp:2017-08-13_06.00.00.News_Social.COM_AGR.COF	COF	2017-08-13T06:00:00.000Z	News_Social	2.2.19	210.5	0.060849	-0.040380	-0.038005	0.004751	0.033254	-0.001188		-0.021378	0.028504	0.066508	-0.040380	0.023753	0.187055	0.023753				0.028504		0.009501		0.009501						0.033254
mp:2017-08-13_06.00.00.News_Social.COM_AGR.COR	COR	2017-08-13T06:00:00.000Z	News_Social	2.2.19	356.5	0.103053	-0.131837	-0.012623			-0.002104	0.005610	0.000000	0.032258	0.049088	0.023843	0.001403	0.060309	0.002805		-0.011220	-0.008415	0.026648		0.028050		0.098177	0.042076	-0.016830				0.008415
mp:2017-08-13_06.00.00.News_Social.COM_AGR.COT	COT	2017-08-13T06:00:00.000Z	News_Social	2.2.19	507.2	0.146615	-0.077879	0.000000	0.013801	0.001972	-0.009858	0.017744	0.052248	0.036475	0.081822	0.003943	0.007886	0.153194	-0.006901		-0.018730	-0.017744	0.014196		0.013801		-0.011830		0.009858	0.001972			0.001972
mp:2017-08-13_06.00.00.News_Social.COM_AGR.HOGS	HOGS	2017-08-13T06:00:00.000Z	News_Social	2.2.19	28.5	0.008238	-0.140351				0.008772	0.035088	0.017544	0.070175	0.140351	-0.070175	0.070175	0.109649					0.070175		0.000000		0.035088						
mp:2017-08-13_06.00.00.News_Social.COM_AGR.POIL	POIL	2017-08-13T06:00:00.000Z	News_Social	2.2.19	76.0	0.021969	0.052632						0.078947					-0.029605			-0.052632		0.039474		0.013158		-0.184211	-0.013158					
mp:2017-08-13_06.00.00.News_Social.COM_AGR.RICE1	RICE1	2017-08-13T06:00:00.000Z	News_Social	2.2.19	462.5	0.133694	-0.316757	0.007568		0.004324	-0.001622	0.019459	0.019459	0.038919	0.064865	-0.005405	0.010811	0.151081	0.009730		0.006486		0.025946		0.009730		0.006486	0.002162	0.000000				0.015135
mp:2017-08-13_06.00.00.News_Social.COM_AGR.SOY1	SOY1	2017-08-13T06:00:00.000Z	News_Social	2.2.19	200.5	0.057958	0.087282	0.099751				-0.004988	0.032419	0.012469	0.052369	0.007481	0.044888	0.105985	0.019950		0.009975		0.019950		0.000000		-0.004988	-0.004988	-0.004988				-0.002494
mp:2017-08-13_06.00.00.News_Social.COM_AGR.SUG	SUG	2017-08-13T06:00:00.000Z	News_Social	2.2.19	261.1	0.075476	0.022980	0.091919		0.015320	0.001915		-0.011490	0.007660	0.072769	-0.038300	0.030640	0.153294	0.003830	0.003830	0.009575	0.000000	0.016852	0.015320	0.015320		0.003830	0.022980					0.007660
mp:2017-08-13_06.00.00.News_Social.COM_AGR.WHT	WHT	2017-08-13T06:00:00.000Z	News_Social	2.2.19	563.8	0.162976	-0.153423	0.008868	0.008868		0.000000	0.014189	0.014189	0.015963	0.064739	-0.037247	0.014189	0.128326	0.001774		-0.003547		0.013480		0.015963		0.065626	0.023058	0.005321	0.010642			0.001774
mp:2017-08-13_06.00.00.News.COM_AGR.CTTL	CTTL	2017-08-13T06:00:00.000Z	News	2.2.19	396.0	0.161771	-0.142677	0.002525		0.012626	-0.032828	0.035354	0.029040	0.015152	0.058081	-0.026515	0.012626	0.192551	-0.007576				0.007576			0.020202	0.005051		0.003788		0.005051	0.005051	
mp:2017-08-13_06.00.00.News.COM_AGR.COC	COC	2017-08-13T06:00:00.000Z	News	2.2.19	260.8	0.106540	-0.230061				0.000959		0.019172	0.176380	0.030675		0.015337	0.045245			-0.034509		0.095092				0.184049		0.042178				
mp:2017-08-13_06.00.00.News.COM_AGR.COF	COF	2017-08-13T06:00:00.000Z	News	2.2.19	129.5	0.052902	-0.142857	-0.077220	0.007722	0.023166	0.001931		-0.030888	0.030888	0.077220	-0.077220	0.015444	0.213320	-0.007722				0.046332		0.015444		0.000000						
mp:2017-08-13_06.00.00.News.COM_AGR.COR	COR	2017-08-13T06:00:00.000Z	News	2.2.19	281.5	0.114997	-0.092362	-0.008881			-0.002664	0.000000	-0.017762	0.023091	0.055062	0.026643	0.001776	0.027531	0.003552		-0.014210	-0.010657	0.033748		0.024867		0.124334	0.053286	-0.003552				0.007105
mp:2017-08-13_06.00.00.News.COM_AGR.COT	COT	2017-08-13T06:00:00.000Z	News	2.2.19	429.7	0.175538	-0.107051	0.000000	0.016290		-0.011636	0.018618	0.037235	0.038399	0.089597	0.004654	0.006982	0.153188	-0.009309		-0.024436	-0.020945	0.016756		0.016290		-0.018618		0.006982	0.002327			
mp:2017-08-13_06.00.00.News.COM_AGR.HOGS	HOGS	2017-08-13T06:00:00.000Z	News	2.2.19	4.0	0.001634	0.250000				0.062500				0.250000	-0.250000		0.250000															
mp:2017-08-13_06.00.00.News.COM_AGR.POIL	POIL	2017-08-13T06:00:00.000Z	News	2.2.19	76.0	0.031047	0.052632						0.078947					-0.029605			-0.052632		0.039474		0.013158		-0.184211	-0.013158					
mp:2017-08-13_06.00.00.News.COM_AGR.RICE1	RICE1	2017-08-13T06:00:00.000Z	News	2.2.19	303.5	0.123984	-0.228995	0.011532			-0.003295	0.003295	0.016474	0.046129	0.069193	-0.018122	0.016474	0.135502	-0.004942		0.009885		0.032949		0.018122		0.023064	0.003295	0.000000				0.023064
mp:2017-08-13_06.00.00.News.COM_AGR.SOY1	SOY1	2017-08-13T06:00:00.000Z	News	2.2.19	83.5	0.034111	-0.113772	0.047904				-0.011976	0.017964	0.017964	0.065868	-0.005988	0.047904	0.083832	0.000000				0.011976		0.000000		-0.035928	-0.011976					-0.005988
mp:2017-08-13_06.00.00.News.COM_AGR.SUG	SUG	2017-08-13T06:00:00.000Z	News	2.2.19	109.6	0.044773	-0.145985	0.000000		0.027372	0.004562		-0.072993		0.072993	-0.082117	0.027372	0.094891	-0.018248				0.003650	0.018248			0.027372	0.054745					
mp:2017-08-13_06.00.00.News.COM_AGR.WHT	WHT	2017-08-13T06:00:00.000Z	News	2.2.19	373.8	0.152702	-0.173890	0.010701	0.010701		0.011370	0.016051	-0.008026	0.024077	0.053505	-0.066881	0.018727	0.124666	-0.002675		-0.005350		0.020332		-0.008026		0.093633	0.034778		0.016051			
