id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	consumptionVolume	productionVolume	regulatoryIssues	supplyVsDemand	supplyVsDemandForecast	acreageCultivated	agDisease	subsidies	subsidiesSentiment	weatherDamage
mp:2017-08-15_18.00.00.News_Social.COM_AGR.CTTL	CTTL	2017-08-15T18:00:00.000Z	News_Social	2.2.19	1299.0	0.096450	-0.167821	-0.012317	0.004619	0.003849	-0.002694	0.035797	0.010393	0.020015	0.099307	0.006159	0.008468	0.129176	0.003849		-0.026174	-0.020785	0.037952		0.009238	0.013857	-0.000770		0.002694	0.006928			0.000770
mp:2017-08-15_18.00.00.News_Social.COM_AGR.COC	COC	2017-08-15T18:00:00.000Z	News_Social	2.2.19	633.1	0.047007	-0.336440	0.006318	0.022113	0.001580	0.004739	0.006318	0.006318	0.017375	0.110567	0.011057		0.150016	-0.007898		-0.006318		0.023061		0.001580		0.049755		-0.014216				
mp:2017-08-15_18.00.00.News_Social.COM_AGR.COF	COF	2017-08-15T18:00:00.000Z	News_Social	2.2.19	951.7	0.070663	-0.208574	-0.022591	0.012609	0.011558	0.001576	0.015761	-0.024167	0.039929	0.049911	-0.000525	0.012084	0.166098	0.009457	0.001051	-0.006305		0.027530		0.005254		0.017863	0.002102	-0.003152	0.001051			0.012609
mp:2017-08-15_18.00.00.News_Social.COM_AGR.COR	COR	2017-08-15T18:00:00.000Z	News_Social	2.2.19	1864.5	0.138438	-0.012872	0.009118	0.003218	0.006436	0.002145	0.023062	-0.019308	0.013140	0.040762	-0.004023	0.029499	0.102481	0.003486		-0.003754	-0.000536	0.021829		-0.003218		0.025208	0.000536	-0.002682	0.000805			0.011799
mp:2017-08-15_18.00.00.News_Social.COM_AGR.COT	COT	2017-08-15T18:00:00.000Z	News_Social	2.2.19	603.0	0.044772	-0.121891	0.009950	0.029851	0.000829	-0.006633	0.019900	0.004975	0.028192	0.092869	-0.014096	0.011609	0.184909	-0.011609		0.008292		0.006633		0.008292		0.031509		0.001658				0.003317
mp:2017-08-15_18.00.00.News_Social.COM_AGR.HOGS	HOGS	2017-08-15T18:00:00.000Z	News_Social	2.2.19	47.5	0.003527	0.031579	0.084211				0.042105	-0.021053		0.052632			-0.023684	-0.021053		0.000000		0.031579		0.063158		0.126316	0.126316					
mp:2017-08-15_18.00.00.News_Social.COM_AGR.ORJ	ORJ	2017-08-15T18:00:00.000Z	News_Social	2.2.19	6.0	0.000445	1.000000											0.250000															
mp:2017-08-15_18.00.00.News_Social.COM_AGR.POIL	POIL	2017-08-15T18:00:00.000Z	News_Social	2.2.19	516.0	0.038313	-0.127907	-0.005814		0.001938	0.025194	0.063953	0.005814	0.052326	0.079457	-0.007752		0.119186	0.027132	-0.001938	0.009690		0.013566		0.029070		-0.054264	-0.001938					
mp:2017-08-15_18.00.00.News_Social.COM_AGR.RICE1	RICE1	2017-08-15T18:00:00.000Z	News_Social	2.2.19	1277.7	0.094869	-0.168662	-0.010957			-0.007827	0.028958	0.041481	0.018784	0.040307	-0.005087	0.028958	0.110218	0.006261	-0.000783	0.002348		0.007983	0.000783	0.014088		-0.004696		0.003131	0.003131	0.006261		0.067308
mp:2017-08-15_18.00.00.News_Social.COM_AGR.SOY1	SOY1	2017-08-15T18:00:00.000Z	News_Social	2.2.19	1866.4	0.138579	-0.172525	-0.011787	0.001072	0.000804	0.003884	0.019288	-0.016342	0.014198	0.042595	-0.003751	0.016074	0.068434	-0.003751		-0.023039	-0.002679	0.044685	-0.000804	0.018485		0.082244	0.006429	0.007501	0.002143	0.001607		0.002143
mp:2017-08-15_18.00.00.News_Social.COM_AGR.SUG	SUG	2017-08-15T18:00:00.000Z	News_Social	2.2.19	2322.0	0.172407	-0.160207	-0.013781	0.006460	0.002153	0.000000	0.043066	0.063523	0.061585	0.105512	0.043928	0.005168	0.185078	-0.003876		0.001292		0.007321		-0.000861		0.015719	0.003445	0.014212	0.001723	0.001723		0.015073
mp:2017-08-15_18.00.00.News_Social.COM_AGR.WHT	WHT	2017-08-15T18:00:00.000Z	News_Social	2.2.19	2081.2	0.154528	-0.167451	-0.012733	0.002883	0.000480	-0.001201	0.011532	0.000961	0.005285	0.044205	-0.015856	0.068710	0.108087	0.018018	-0.000480	-0.005766	-0.001922	0.021718		-0.003363		0.031953	0.007688	-0.000480		0.007688		
mp:2017-08-15_18.00.00.News.COM_AGR.CTTL	CTTL	2017-08-15T18:00:00.000Z	News	2.2.19	1034.6	0.090334	-0.190412	-0.018365	0.002900	0.002900	0.000242	0.034313	0.010149	0.022231	0.098106	0.003866	0.003866	0.132080	0.000000		-0.033829	-0.026097	0.018751		0.012565	0.017398	0.004833		-0.000483	0.003866			
mp:2017-08-15_18.00.00.News.COM_AGR.COC	COC	2017-08-15T18:00:00.000Z	News	2.2.19	562.2	0.049087	-0.384205	0.007115	0.024902	0.001779		0.007115	0.003557	0.019566	0.122732			0.151992	-0.008894		-0.008894		0.025258				0.042689		-0.005336				
mp:2017-08-15_18.00.00.News.COM_AGR.COF	COF	2017-08-15T18:00:00.000Z	News	2.2.19	787.0	0.068715	-0.252859	-0.032402	0.015248	0.005083	0.001271	0.005083	-0.020330	0.039390	0.055273	-0.010801	0.009530	0.167726	0.007624		-0.007624		0.029225		0.002541		0.019060		-0.003812	0.001271			0.007624
mp:2017-08-15_18.00.00.News.COM_AGR.COR	COR	2017-08-15T18:00:00.000Z	News	2.2.19	1491.6	0.130235	-0.026146	0.013744	0.003352	0.002011	0.002263	0.028828	-0.009051	0.009386	0.034862	-0.010056	0.031510	0.097747	0.006369		-0.004358	-0.000335	0.019308		-0.009386		0.030839	0.000000	-0.010727				0.002011
