id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	loveHate	carryTrade	currencyPegInstability	priceMomentum
mp:2017-08-13_06.00.00.News_Social.CUR.AUD	AUD	2017-08-13T06:00:00.000Z	News_Social	2.2.19	85.0	0.008594	-0.176471	-0.011765			0.014706	0.011765	0.000000	0.082353	0.058824	0.047059		0.047059	0.011765		0.094118	-0.011765	0.105882	0.011765			0.011765
mp:2017-08-13_06.00.00.News_Social.CUR.CAD	CAD	2017-08-13T06:00:00.000Z	News_Social	2.2.19	70.5	0.007128	0.099291	0.000000	0.028369		0.033688		0.007092		0.014184	0.014184	0.028369	0.111702	0.028369		0.198582		0.007092				
mp:2017-08-13_06.00.00.News_Social.CUR.CNY	CNY	2017-08-13T06:00:00.000Z	News_Social	2.2.19	370.4	0.037452	-0.040497	0.056695			0.012149	0.056695	0.013499	0.016199	0.020248	-0.002700	0.008099	0.078699	-0.002700		0.144438	0.016199	0.009179				0.062095
mp:2017-08-13_06.00.00.News_Social.CUR.EUR	EUR	2017-08-13T06:00:00.000Z	News_Social	2.2.19	698.6	0.070636	-0.309190	0.000000	0.007157	0.005726	0.000000	0.010020	0.011451	0.024334	0.115230	0.021472	0.008589	0.131119	0.007157		-0.047237	0.001431	0.015173	0.001431		-0.001431	0.000716
mp:2017-08-13_06.00.00.News_Social.CUR.INR	INR	2017-08-13T06:00:00.000Z	News_Social	2.2.19	338.5	0.034226	-0.212703	-0.017725		0.002954	0.001477	0.005908	0.023634	0.014771	0.045790	0.023634	0.002954	0.092688	-0.011817		0.118168		0.002954				-0.023634
mp:2017-08-13_06.00.00.News_Social.CUR.IDR	IDR	2017-08-13T06:00:00.000Z	News_Social	2.2.19	34.0	0.003438	0.205882						-0.294118			-0.147059		0.198529			-0.029412			0.147059			
mp:2017-08-13_06.00.00.News_Social.CUR.ILS	ILS	2017-08-13T06:00:00.000Z	News_Social	2.2.19	3.0	0.000303	-0.333333						0.333333					0.083333			-0.333333						
mp:2017-08-13_06.00.00.News_Social.CUR.JPY	JPY	2017-08-13T06:00:00.000Z	News_Social	2.2.19	188.0	0.019009	-0.015957	0.021277	0.010638			0.015957	-0.015957	0.021277	0.117021	0.005319	0.085106	0.103723	-0.005319		0.111702		0.037234				0.021277
mp:2017-08-13_06.00.00.News_Social.CUR.PLN	PLN	2017-08-13T06:00:00.000Z	News_Social	2.2.19	11.0	0.001112	0.272727	0.272727			0.045455		0.000000					0.250000			-0.090909						
mp:2017-08-13_06.00.00.News_Social.CUR.RUB	RUB	2017-08-13T06:00:00.000Z	News_Social	2.2.19	50.0	0.005056	-0.020000	0.020000				0.020000	-0.060000		0.100000	0.000000		0.080000			0.020000	0.020000	0.060000				0.000000
mp:2017-08-13_06.00.00.News_Social.CUR.SGD	SGD	2017-08-13T06:00:00.000Z	News_Social	2.2.19	5.0	0.000506	-0.800000								0.200000			0.250000									
mp:2017-08-13_06.00.00.News_Social.CUR.ZAR	ZAR	2017-08-13T06:00:00.000Z	News_Social	2.2.19	74.0	0.007482	0.013514			0.013514		0.027027	0.243243	0.013514		0.027027		-0.037162			-0.486486		0.013514	0.013514			0.013514
mp:2017-08-13_06.00.00.News_Social.CUR.KRW	KRW	2017-08-13T06:00:00.000Z	News_Social	2.2.19	12.0	0.001213	0.083333							0.083333	0.083333			0.041667	-0.083333		-0.083333		0.083333				
mp:2017-08-13_06.00.00.News_Social.CUR.CHF	CHF	2017-08-13T06:00:00.000Z	News_Social	2.2.19	6.0	0.000607	-0.666667									-0.333333		0.250000									
mp:2017-08-13_06.00.00.News_Social.CUR.THB	THB	2017-08-13T06:00:00.000Z	News_Social	2.2.19	84.0	0.008493	-0.261905						0.047619	0.047619	0.095238	-0.011905		-0.017857			0.142857		0.095238				
mp:2017-08-13_06.00.00.News_Social.CUR.USD	USD	2017-08-13T06:00:00.000Z	News_Social	2.2.19	7805.6	0.789234	0.253023	0.001922	0.000641	0.000512	0.000352	0.010890	0.052590	0.001730	0.063032	0.000833	0.001153	0.167418	0.000641		0.026519	-0.001153	0.032169	0.000256			0.006021
mp:2017-08-13_06.00.00.News_Social.CUR.AED	AED	2017-08-13T06:00:00.000Z	News_Social	2.2.19	18.0	0.001820	0.222222											-0.027778	-0.111111		0.333333		0.111111				
mp:2017-08-13_06.00.00.News_Social.CUR.GBP	GBP	2017-08-13T06:00:00.000Z	News_Social	2.2.19	36.5	0.003691	-0.520548		0.027397				-0.082192	0.027397	0.054795	-0.054795		0.195205	-0.054795	-0.054795	-0.041096						
mp:2017-08-13_06.00.00.News.CUR.AUD	AUD	2017-08-13T06:00:00.000Z	News	2.2.19	24.0	0.017066	-0.375000	-0.041667				0.041667	0.041667	0.208333	0.125000			0.125000			-0.041667	-0.041667	0.041667				0.041667
mp:2017-08-13_06.00.00.News.CUR.CAD	CAD	2017-08-13T06:00:00.000Z	News	2.2.19	60.5	0.043021	0.090909	0.000000	0.033058		0.041322		0.008264			0.016529	0.016529	0.138430	0.033058		0.148760		0.008264				
mp:2017-08-13_06.00.00.News.CUR.CNY	CNY	2017-08-13T06:00:00.000Z	News	2.2.19	331.4	0.235654	-0.036210	0.063368			0.010561	0.036210	0.018105	0.018105	0.019614	-0.003018	0.009053	0.076645	-0.003018		0.158419	0.018105	0.010260				0.069403
mp:2017-08-13_06.00.00.News.CUR.EUR	EUR	2017-08-13T06:00:00.000Z	News	2.2.19	274.7	0.195335	-0.123771	0.000000	0.003640	0.014561	0.000000	0.010921	0.038224	0.021842	0.085548	0.040044	0.010921	0.151347	0.014561		0.030943	0.003640	0.015289	0.003640		-0.003640	0.000000
mp:2017-08-13_06.00.00.News.CUR.INR	INR	2017-08-13T06:00:00.000Z	News	2.2.19	297.5	0.211548	-0.169748	-0.020168		0.003361	0.000840	0.003361	0.016807	0.016807	0.043697	0.020168	0.005042	0.087395			0.124370		0.003361				-0.026891
