id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	consumptionVolume	productionVolume	regulatoryIssues	supplyVsDemand	supplyVsDemandForecast	acreageCultivated	agDisease	subsidies	subsidiesSentiment	weatherDamage
mp:2017-08-11_18.00.00.News.COM_AGR.CTTL	CTTL	2017-08-11T18:00:00.000Z	News	2.2.18	1446.6	0.123325	-0.187336	-0.038020	0.011060	0.004148	-0.004320	0.076732	0.029034	0.000691	0.056339	0.011060	0.007604	0.110328	0.006221		0.003456		0.027029	-0.000691	-0.003111		0.010024		0.004148	0.001383			0.002765
mp:2017-08-11_18.00.00.News.COM_AGR.COC	COC	2017-08-11T18:00:00.000Z	News	2.2.18	123.0	0.010486	-0.674797						0.081301	0.008130	0.048780	-0.008130		0.176829			-0.008130												
mp:2017-08-11_18.00.00.News.COM_AGR.COF	COF	2017-08-11T18:00:00.000Z	News	2.2.18	398.0	0.033930	-0.101759	0.037688	0.003769	0.010050	0.006281	0.012563	-0.025126	0.025126	0.061558	0.025126		0.171482	-0.008794		0.005025		0.047739				-0.017588						
mp:2017-08-11_18.00.00.News.COM_AGR.COR	COR	2017-08-11T18:00:00.000Z	News	2.2.18	2324.4	0.198159	-0.210807	-0.033987	0.006453	0.007314	-0.002904	0.006453	-0.013552	0.030330	0.044313	0.017854	0.020866	0.077127	0.002151	-0.000860	-0.020866	-0.005163	0.045990	0.000430	0.024092		0.063887	0.024092	-0.000430	0.007314			0.004948
mp:2017-08-11_18.00.00.News.COM_AGR.COT	COT	2017-08-11T18:00:00.000Z	News	2.2.18	836.8	0.071338	-0.207935	-0.018523	0.007170	0.001195	0.000000	0.028681	0.020315	0.034656	0.083054	0.009560	0.004780	0.115888	-0.004780		0.007170		0.016850	-0.001195	-0.003585		-0.016730	0.001195	0.014340	0.020315			0.007170
mp:2017-08-11_18.00.00.News.COM_AGR.HOGS	HOGS	2017-08-11T18:00:00.000Z	News	2.2.18	64.0	0.005456	-0.359375					0.109375	0.031250		0.062500			0.007813			0.000000						-0.062500	-0.125000					
mp:2017-08-11_18.00.00.News.COM_AGR.ORJ	ORJ	2017-08-11T18:00:00.000Z	News	2.2.18	4.0	0.000341	-0.750000									-0.250000		0.250000															
mp:2017-08-11_18.00.00.News.COM_AGR.POIL	POIL	2017-08-11T18:00:00.000Z	News	2.2.18	530.0	0.045183	0.083019	0.016981	0.003774				0.009434	0.052830	0.064151	-0.016981		0.116509	-0.033962		-0.033962	-0.005660	0.007547		0.028302		0.056604	0.018868					
mp:2017-08-11_18.00.00.News.COM_AGR.RICE1	RICE1	2017-08-11T18:00:00.000Z	News	2.2.18	816.5	0.069608	-0.044703	0.009186		0.007348	0.000612	0.027557	0.027557	0.031843	0.077771	0.020208	0.020208	0.127067	-0.002449		-0.001225	-0.002449	0.033680		0.010410		-0.009798	-0.002449	0.003674		0.009798	0.003674	0.052051
mp:2017-08-11_18.00.00.News.COM_AGR.SOY1	SOY1	2017-08-11T18:00:00.000Z	News	2.2.18	1595.8	0.136044	-0.205853	-0.010653	0.003760	0.000627	0.000627	0.003760	-0.031959	0.045745	0.038852	0.015666	0.014726	0.088545	0.005013		-0.031332	-0.007520	0.048753	0.000627	0.037599		0.073317	0.019426	-0.010653				0.001253
mp:2017-08-11_18.00.00.News.COM_AGR.SUG	SUG	2017-08-11T18:00:00.000Z	News	2.2.18	1010.4	0.086138	-0.226643	0.034640	0.006928	0.001979	-0.005443	0.004949	-0.004949	0.016825	0.070269	0.001485	0.006928	0.157759	-0.017815		0.001979		0.038005		0.008907		0.019299		0.001979				0.001979
mp:2017-08-11_18.00.00.News.COM_AGR.WHT	WHT	2017-08-11T18:00:00.000Z	News	2.2.18	2580.5	0.219991	-0.216043	-0.001550	0.005813	0.000775	0.001356	0.004263	0.000000	0.021314	0.065104	-0.015307	0.055028	0.113079	0.025383	0.001550	-0.010851		0.026739		0.011238		0.052315	0.010463	0.001163				0.002131
mp:2017-08-11_18.00.00.News_Social.COM_AGR.CTTL	CTTL	2017-08-11T18:00:00.000Z	News_Social	2.2.18	1825.2	0.131421	-0.179158	-0.034243	0.008766	0.006027	-0.002945	0.083279	0.029038	0.004931	0.052323	0.013149	0.010136	0.110481	0.003013	0.001096	0.000548		0.030243	0.000000	-0.000548		0.011232		0.002192	0.001096			0.002192
mp:2017-08-11_18.00.00.News_Social.COM_AGR.COC	COC	2017-08-11T18:00:00.000Z	News_Social	2.2.18	123.0	0.008856	-0.674797						0.081301	0.008130	0.048780	-0.008130		0.176829			-0.008130												
mp:2017-08-11_18.00.00.News_Social.COM_AGR.COF	COF	2017-08-11T18:00:00.000Z	News_Social	2.2.18	593.5	0.042734	-0.074979	0.035383	0.002527	0.006740	0.005476	0.013479	-0.010110	0.016849	0.049705	0.010952	0.005055	0.150632	-0.005897		0.005055		0.057119				-0.011794			-0.000842			0.030329
mp:2017-08-11_18.00.00.News_Social.COM_AGR.COR	COR	2017-08-11T18:00:00.000Z	News_Social	2.2.18	2790.0	0.200890	-0.213082	-0.031900	0.006452	0.009677	-0.002419	0.008244	-0.007527	0.030824	0.043190	0.017742	0.020251	0.077061	0.002867	-0.001075	-0.018100	-0.004301	0.051792	0.000358	0.022401		0.062903	0.020072	-0.001792	0.006093			0.013799
mp:2017-08-11_18.00.00.News_Social.COM_AGR.COT	COT	2017-08-11T18:00:00.000Z	News_Social	2.2.18	940.8	0.067741	-0.215242	-0.016475	0.006378	0.001063	0.001594	0.028699	0.020196	0.034014	0.078656	0.007440	0.004252	0.116629	-0.001063		0.006378		0.016050	-0.001063	-0.007440		-0.021259	0.001063	0.012755	0.018070			0.007440
mp:2017-08-11_18.00.00.News_Social.COM_AGR.HOGS	HOGS	2017-08-11T18:00:00.000Z	News_Social	2.2.18	137.5	0.009900	-0.203636	-0.036364			0.001818	0.120000	-0.007273	0.007273	0.072727	-0.036364	0.007273	0.090000	0.036364		0.000000						-0.029091	-0.058182					
mp:2017-08-11_18.00.00.News_Social.COM_AGR.ORJ	ORJ	2017-08-11T18:00:00.000Z	News_Social	2.2.18	4.0	0.000288	-0.750000									-0.250000		0.250000															
mp:2017-08-11_18.00.00.News_Social.COM_AGR.POIL	POIL	2017-08-11T18:00:00.000Z	News_Social	2.2.18	595.0	0.042842	0.047059	0.015126	0.003361		-0.000840	0.006723	0.013445	0.050420	0.067227	-0.015126		0.113445	-0.030252		-0.030252	-0.005042	0.013445		0.028571	0.003361	0.050420	0.016807					0.003361
mp:2017-08-11_18.00.00.News_Social.COM_AGR.RICE1	RICE1	2017-08-11T18:00:00.000Z	News_Social	2.2.18	1032.5	0.074344	-0.050847	0.019855		0.005811	0.001695	0.033414	0.042131	0.026150	0.078450	0.027603	0.017918	0.133172	0.003874		0.000000	-0.001937	0.033414		0.008232		-0.010169	-0.001937	0.003874		0.012591	0.003874	0.045036
mp:2017-08-11_18.00.00.News_Social.COM_AGR.SOY1	SOY1	2017-08-11T18:00:00.000Z	News_Social	2.2.18	1686.6	0.121441	-0.206925	-0.010079	0.003557	0.000593	0.000889	0.003557	-0.028163	0.043282	0.040021	0.015416	0.015119	0.086920	0.005336		-0.033203	-0.007115	0.046603	0.000593	0.036167		0.065516	0.018380	-0.009487				0.001186
