id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	consumptionVolume	productionVolume	regulatoryIssues	supplyVsDemand	supplyVsDemandForecast	newExploration	safetyAccident
mp:2017-08-14_17.00.00.News_Social.COM_ENM.ALU	ALU	2017-08-14T17:00:00.000Z	News_Social	2.2.19	2603.7	0.055798	-0.026117	-0.020164	0.001152	0.000960	0.004033	0.005377	0.000000	0.009794	0.033798	0.011330	0.028613	0.118466	-0.009986	0.000000	0.023812		0.065369	0.001152	-0.024964	-0.000576	0.017667	-0.001920		
mp:2017-08-14_17.00.00.News_Social.COM_ENM.BIOF	BIOF	2017-08-14T17:00:00.000Z	News_Social	2.2.19	110.5	0.002368	0.208145	0.054299			0.013575	0.018100	0.022624		0.036199	0.018100	-0.004525	0.111991					0.076923	0.000000	0.045249		0.018100	0.000000		
mp:2017-08-14_17.00.00.News_Social.COM_ENM.COA	COA	2017-08-14T17:00:00.000Z	News_Social	2.2.19	3597.6	0.077097	-0.133283	-0.011396	0.002224	0.003891	0.003475	0.069074	0.024739	0.031271	0.068379	-0.014454	0.009729	0.144527	0.004864	-0.000417	-0.006949	-0.001112	0.029798	0.000278	0.005420	0.004725	0.006254	0.000139	0.005281	0.000278
mp:2017-08-14_17.00.00.News_Social.COM_ENM.CPPR	CPPR	2017-08-14T17:00:00.000Z	News_Social	2.2.19	1714.4	0.036740	0.080786	0.020707	0.007583		0.003135	0.012832	0.024498	0.016916	0.036164	-0.004958	0.042872	0.143286	0.014582	0.005250	0.062704		0.027065	0.000000	-0.001167		0.005833	-0.001167	0.007583	0.001167
mp:2017-08-14_17.00.00.News_Social.COM_ENM.CRU	CRU	2017-08-14T17:00:00.000Z	News_Social	2.2.19	11319.3	0.242575	-0.161936	-0.009188	0.013693	0.001148	0.003445	0.008923	-0.001060	0.023588	0.059588	-0.007465	0.019347	0.108867	0.004771	0.000353	-0.002915	-0.000574	0.030240	0.000353	-0.002650	0.000442	0.006361	-0.000353	0.000618	0.000088
mp:2017-08-14_17.00.00.News_Social.COM_ENM.BIOETH	BIOETH	2017-08-14T17:00:00.000Z	News_Social	2.2.19	71.2	0.001526	0.126404	-0.056180		0.056180	0.007022	0.028090	0.014045	0.042135	0.028090	-0.014045	0.014045	0.150281	0.056180	0.028090	-0.014045		0.030899		-0.028090		0.014045			
mp:2017-08-14_17.00.00.News_Social.COM_ENM.MOG	MOG	2017-08-14T17:00:00.000Z	News_Social	2.2.19	1044.6	0.022386	0.006222	0.044036	0.010530	0.005744	0.008137	0.023454	-0.002872	0.011966	0.037335	-0.001915	0.015317	0.071535	0.028719	0.002872	0.005265	0.003829	0.046046	0.013402	0.008137		-0.058396	-0.070841	0.002872	
mp:2017-08-14_17.00.00.News_Social.COM_ENM.GOL	GOL	2017-08-14T17:00:00.000Z	News_Social	2.2.19	11697.2	0.250673	-0.025861	0.021287	0.008464	0.029879	0.004670	0.028126	-0.003078	0.018380	0.077796	-0.003804	0.021287	0.172877	0.005258	0.000940	0.004702	0.000598	0.030819	0.000256	0.002736		-0.014747	-0.002778	0.008891	0.000256
mp:2017-08-14_17.00.00.News_Social.COM_ENM.HOIL	HOIL	2017-08-14T17:00:00.000Z	News_Social	2.2.19	48.0	0.001029	-0.145833	0.041667			-0.031250		-0.020833		0.020833	0.062500		0.041667			0.083333	0.083333	0.166667				0.145833			
mp:2017-08-14_17.00.00.News_Social.COM_ENM.IRN	IRN	2017-08-14T17:00:00.000Z	News_Social	2.2.19	3909.0	0.083771	-0.270785	-0.010617	0.023791	0.001023	-0.004765	0.048862	0.036838	0.023280	0.110130	-0.026094	0.015477	0.164588	0.005116		-0.003581	0.000512	0.023280	0.000512	0.001151	0.000256	0.022896	0.006651	0.000256	
