id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	consumptionVolume	productionVolume	regulatoryIssues	supplyVsDemand	supplyVsDemandForecast	newExploration	safetyAccident
mp:2017-08-16_07.00.00.News_Social.COM_ENM.ALU	ALU	2017-08-16T07:00:00.000Z	News_Social	2.2.19	1274.8	0.026509	-0.046282	-0.021180	0.006275	0.001569	-0.007060	0.032162	0.008237	0.020395	0.062363	0.029416	0.023141	0.157221	0.000392	0.000784	0.019611	-0.003138	0.019846	0.002353	0.000000	0.000784	-0.023925	-0.000784		
mp:2017-08-16_07.00.00.News_Social.COM_ENM.BIOF	BIOF	2017-08-16T07:00:00.000Z	News_Social	2.2.19	221.9	0.004614	0.207301	0.090131			0.029292	0.009013	-0.103650	0.013520	0.018026	-0.009013	0.004507	0.134182	-0.020279				0.037855	0.018026	0.058585		0.045065			
mp:2017-08-16_07.00.00.News_Social.COM_ENM.COA	COA	2017-08-16T07:00:00.000Z	News_Social	2.2.19	3266.2	0.067920	-0.120476	0.001072	0.002449	0.006123	-0.001454	0.029392	0.013012	0.026330	0.080675	0.001072	0.018217	0.158602	-0.001072	-0.000306	0.002143		0.028902	-0.000612	0.000306	0.005205	-0.006429	-0.000918	0.002909	0.001225
mp:2017-08-16_07.00.00.News_Social.COM_ENM.CPPR	CPPR	2017-08-16T07:00:00.000Z	News_Social	2.2.19	1897.8	0.039464	-0.118558	0.012383	0.002635	0.004742	0.000790	0.012646	0.036358	0.018969	0.046369	-0.003425	0.015281	0.117900	0.011329	0.000527	0.047950	0.007377	0.038202	-0.000527	-0.025029	0.002108	-0.038202	-0.001581	0.013173	
mp:2017-08-16_07.00.00.News_Social.COM_ENM.CRU	CRU	2017-08-16T07:00:00.000Z	News_Social	2.2.19	11815.1	0.245693	-0.316629	-0.025603	0.006348	0.001481	0.001703	0.005671	-0.017393	0.062886	0.063859	-0.009564	0.006771	0.129516	-0.000085	-0.000508	-0.004401	-0.000296	0.030216	0.000169	-0.002412	0.000254	0.024206	0.012357	0.000931	0.000085
mp:2017-08-16_07.00.00.News_Social.COM_ENM.BIOETH	BIOETH	2017-08-16T07:00:00.000Z	News_Social	2.2.19	211.0	0.004388	-0.085308	0.042654				0.021327	0.011848	0.033175	0.068720	0.028436	0.042654	0.125592	0.026066				0.061611		0.066351		-0.004739		0.000000	
mp:2017-08-16_07.00.00.News_Social.COM_ENM.MOG	MOG	2017-08-16T07:00:00.000Z	News_Social	2.2.19	2687.2	0.055880	-0.121316	0.000930	0.020095	0.000744	0.009024	0.008559	-0.001116	0.049866	0.050052	0.008559	0.027352	0.163879	0.004280	-0.001116	0.007257	0.005582	0.029771	-0.004093	0.009117		0.008745	-0.003349	0.000744	
mp:2017-08-16_07.00.00.News_Social.COM_ENM.GOL	GOL	2017-08-16T07:00:00.000Z	News_Social	2.2.19	11465.9	0.238431	-0.177221	-0.006934	0.007326	0.009376	0.004840	0.022109	-0.002050	0.023853	0.089788	0.010161	0.027560	0.188736	0.010727	-0.000480	0.001439	0.000087	0.027019	0.000262	-0.001265		-0.009986	-0.000174	0.010945	
mp:2017-08-16_07.00.00.News_Social.COM_ENM.HOIL	HOIL	2017-08-16T07:00:00.000Z	News_Social	2.2.19	106.2	0.002208	-0.225989				0.004708					0.009416		0.169021			-0.056497		0.001883	-0.009416						
mp:2017-08-16_07.00.00.News_Social.COM_ENM.IRN	IRN	2017-08-16T07:00:00.000Z	News_Social	2.2.19	3241.5	0.067406	-0.137128	-0.040413	0.003239	0.001388	0.012726	0.015733	0.001234	0.046121	0.101342	0.005090	0.026068	0.187328	0.000000	-0.007404	-0.020515	-0.000617	0.014746	-0.000617	-0.008021		-0.029153		0.001234	
mp:2017-08-16_07.00.00.News_Social.COM_ENM.JET	JET	2017-08-16T07:00:00.000Z	News_Social	2.2.19	201.2	0.004184	-0.188867	0.024851					-0.049702		0.019881	0.059642	0.009940	0.061133			0.009940		0.013917				0.104374			
mp:2017-08-16_07.00.00.News_Social.COM_ENM.LNG	LNG	2017-08-16T07:00:00.000Z	News_Social	2.2.19	266.4	0.005540	0.114489	-0.007508			0.000938		0.026276	0.026276	0.031907	0.097598	0.007508	0.178679	-0.022523		0.000000		0.009009		0.007508		0.007508	0.003754	0.007508	
mp:2017-08-16_07.00.00.News_Social.COM_ENM.NAP	NAP	2017-08-16T07:00:00.000Z	News_Social	2.2.19	32.0	0.000665							-0.031250	0.093750				-0.187500					0.875000							
mp:2017-08-16_07.00.00.News_Social.COM_ENM.NGS	NGS	2017-08-16T07:00:00.000Z	News_Social	2.2.19	2263.0	0.047059	-0.092134	-0.000442	0.001326	0.000884	0.005855	0.010605	-0.007954	0.032700	0.079540	0.019664	0.020327	0.162086	0.005303		0.003093		0.044896	0.013257	0.011489		-0.002209	-0.001326	0.015024	
mp:2017-08-16_07.00.00.News_Social.COM_ENM.NKL	NKL	2017-08-16T07:00:00.000Z	News_Social	2.2.19	597.7	0.012429	-0.317885	-0.023423		0.001673	0.002928	0.005019	-0.005019	0.050192	0.068596	0.038481	0.020077	0.126652	0.005019	0.001673			0.025431		-0.005856		0.052702	-0.010038		
