id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	loveHate	carryTrade	currencyPegInstability	priceMomentum
mp:2017-08-15_13.00.00.News_Social.CUR.ARS	ARS	2017-08-15T13:00:00.000Z	News_Social	2.2.19	129.0	0.004472	0.182171				-0.015504		0.031008	0.023256	0.031008	0.000000		0.147287	-0.015504		0.034884			0.007752			-0.007752
mp:2017-08-15_13.00.00.News_Social.CUR.AUD	AUD	2017-08-15T13:00:00.000Z	News_Social	2.2.19	2319.6	0.080419	-0.093982	0.001509	0.014227	0.001724	0.000108	0.003880	-0.012502	0.021555	0.040093	-0.004527	0.014227	0.075422	-0.001724		0.022633	0.002371	0.021599	-0.000862			0.021555
mp:2017-08-15_13.00.00.News_Social.CUR.BRL	BRL	2017-08-15T13:00:00.000Z	News_Social	2.2.19	8.0	0.000277	-0.250000							0.125000	0.125000			0.000000			0.250000		0.250000				
mp:2017-08-15_13.00.00.News_Social.CUR.CAD	CAD	2017-08-15T13:00:00.000Z	News_Social	2.2.19	434.0	0.015046	-0.105991	0.000000	0.002304		0.016129	0.016129	0.018433	0.013825	0.072581	-0.002304	0.009217	0.137097	0.020737		0.010369	0.004608		0.009217			-0.004608
mp:2017-08-15_13.00.00.News_Social.CUR.CNY	CNY	2017-08-15T13:00:00.000Z	News_Social	2.2.19	2805.5	0.097264	-0.074853	0.008198	0.004277	0.001426	-0.006238	0.020317	-0.008911	0.027446	0.042773	0.041882	0.016753	0.077437	-0.055249	-0.000356	0.075209	0.012297	0.022456	0.002139			0.011050
mp:2017-08-15_13.00.00.News_Social.CUR.EGP	EGP	2017-08-15T13:00:00.000Z	News_Social	2.2.19	13.0	0.000451	-0.384615											0.096154			-0.153846						
mp:2017-08-15_13.00.00.News_Social.CUR.EUR	EUR	2017-08-15T13:00:00.000Z	News_Social	2.2.19	3115.8	0.108022	0.002568	-0.000481	0.003691	0.004814	0.002889	0.006900	0.020540	0.007703	0.057610	0.001605	0.016689	0.113310	0.010110	-0.000321	0.078792	0.005777	0.022241	0.001926			0.004012
mp:2017-08-15_13.00.00.News_Social.CUR.HKD	HKD	2017-08-15T13:00:00.000Z	News_Social	2.2.19	37.0	0.001283	0.297297	0.108108					0.000000		0.108108	0.054054	0.108108	0.155405			0.108108	0.054054					
mp:2017-08-15_13.00.00.News_Social.CUR.INR	INR	2017-08-15T13:00:00.000Z	News_Social	2.2.19	152.2	0.005277	-0.098555	-0.006570		0.019711	-0.013141	0.032852		0.032852	0.049277	-0.068988	0.013141	0.072273	0.019711		0.072273		0.091984	0.006570			
mp:2017-08-15_13.00.00.News_Social.CUR.IDR	IDR	2017-08-15T13:00:00.000Z	News_Social	2.2.19	243.8	0.008452	-0.151764	0.020509	0.008203		-0.045119	0.032814	0.004102	0.020509	0.045119	0.053322	0.004102	0.125308	-0.008203		0.110747		0.019688				0.000000
mp:2017-08-15_13.00.00.News_Social.CUR.IRR	IRR	2017-08-15T13:00:00.000Z	News_Social	2.2.19	2.5	0.000087	0.200000	0.200000										-0.050000	0.200000		0.400000						
mp:2017-08-15_13.00.00.News_Social.CUR.ILS	ILS	2017-08-15T13:00:00.000Z	News_Social	2.2.19	9.0	0.000312	0.555556									0.111111		0.194444			0.111111						
mp:2017-08-15_13.00.00.News_Social.CUR.JPY	JPY	2017-08-15T13:00:00.000Z	News_Social	2.2.19	898.1	0.031136	-0.030063	-0.082396	0.004454	0.001113	0.010439	0.013362	0.005567	0.025610	0.051219	0.013362	0.008908	0.092529	0.010021		0.069035	0.000000	0.042980	0.001113			-0.003897
mp:2017-08-15_13.00.00.News_Social.CUR.MYR	MYR	2017-08-15T13:00:00.000Z	News_Social	2.2.19	434.4	0.015060	-0.126611	0.034530			0.001151	0.027624	-0.023020	0.004604	0.055249	0.009208	0.009208	0.048112			-0.025322	0.011510	0.095304	0.011510			-0.025322
mp:2017-08-15_13.00.00.News_Social.CUR.MXN	MXN	2017-08-15T13:00:00.000Z	News_Social	2.2.19	30.4	0.001054	-0.230263	0.065789					-0.032895	0.032895	0.131579	0.000000	0.032895	0.185855			0.000000	0.032895	0.013158				
mp:2017-08-15_13.00.00.News_Social.CUR.NZD	NZD	2017-08-15T13:00:00.000Z	News_Social	2.2.19	347.0	0.012030	-0.034582	-0.005764	0.023055		0.002882	0.028818	-0.014409	0.023055	0.063401	0.010086	0.025937	0.095821	0.002882	0.002882	0.054755	0.008646					0.063401
mp:2017-08-15_13.00.00.News_Social.CUR.PLN	PLN	2017-08-15T13:00:00.000Z	News_Social	2.2.19	231.8	0.008036	-0.138050	-0.008628			0.003236	0.008628	0.112166	0.034513	0.129422	0.017256	0.008628	0.097282	0.004314		0.069025		0.085418				0.060397
mp:2017-08-15_13.00.00.News_Social.CUR.RUB	RUB	2017-08-15T13:00:00.000Z	News_Social	2.2.19	55.0	0.001907	-0.036364	0.018182					-0.054545		0.090909	0.000000		0.077273			0.000000	0.018182	0.054545				0.000000
mp:2017-08-15_13.00.00.News_Social.CUR.SGD	SGD	2017-08-15T13:00:00.000Z	News_Social	2.2.19	74.0	0.002566	0.148649			0.054054		0.013514	0.027027	0.054054	0.054054	0.054054		0.189189			-0.013514		0.040541				
mp:2017-08-15_13.00.00.News_Social.CUR.ZAR	ZAR	2017-08-15T13:00:00.000Z	News_Social	2.2.19	468.8	0.016253	-0.255973	-0.008532	0.053328		0.001333	0.006399	-0.006399	0.006399	0.003200	0.010666	0.006399	0.121160	-0.010666		-0.095990		0.046502	0.002133			
mp:2017-08-15_13.00.00.News_Social.CUR.KRW	KRW	2017-08-15T13:00:00.000Z	News_Social	2.2.19	35.0	0.001213	-0.142857						0.028571	0.171429	0.142857			0.221429			-0.057143						
mp:2017-08-15_13.00.00.News_Social.CUR.SEK	SEK	2017-08-15T13:00:00.000Z	News_Social	2.2.19	54.0	0.001872	-0.018519	0.037037	0.018519		0.004630		0.037037		0.037037	0.083333	0.037037	0.106481			0.101852		0.018519				0.018519
mp:2017-08-15_13.00.00.News_Social.CUR.CHF	CHF	2017-08-15T13:00:00.000Z	News_Social	2.2.19	470.4	0.016308	-0.282738	-0.010629	0.034014		0.000531	0.031888	0.002126	0.012755	0.051020	-0.021259	0.021259	0.081633			-0.025510		0.015731				0.000000
mp:2017-08-15_13.00.00.News_Social.CUR.THB	THB	2017-08-15T13:00:00.000Z	News_Social	2.2.19	78.0	0.002704	0.064103	0.038462		0.012821		0.038462	-0.038462	0.064103		0.038462		0.086538	0.025641		0.064103		0.064103				
mp:2017-08-15_13.00.00.News_Social.CUR.TRY	TRY	2017-08-15T13:00:00.000Z	News_Social	2.2.19	38.0	0.001317	0.026316							0.078947	0.078947	0.052632		0.026316	-0.052632		0.342105						
mp:2017-08-15_13.00.00.News_Social.CUR.USD	USD	2017-08-15T13:00:00.000Z	News_Social	2.2.19	15882.9	0.550646	-0.038910	-0.014575	0.022414	0.000881	0.002408	0.014103	-0.016024	0.029686	0.064598	0.007996	0.012750	0.101526	-0.001259	-0.000315	0.070862	0.001794	0.023352	-0.001196			-0.001574
mp:2017-08-15_13.00.00.News_Social.CUR.AED	AED	2017-08-15T13:00:00.000Z	News_Social	2.2.19	51.0	0.001768	-0.450980	-0.019608						0.137255	0.137255			0.117647	-0.019608		-0.215686						
mp:2017-08-15_13.00.00.News_Social.CUR.GBP	GBP	2017-08-15T13:00:00.000Z	News_Social	2.2.19	425.9	0.014766	-0.085701	-0.014088	0.009392	0.011740	0.003228	0.016436	-0.008218	0.017610	0.054003	-0.009392	0.029350	0.097499	-0.009392	-0.004696	0.030524	0.004696	0.026767	0.002348			0.011740
mp:2017-08-15_13.00.00.News.CUR.ARS	ARS	2017-08-15T13:00:00.000Z	News	2.2.19	109.0	0.004495	0.165138				-0.018349		0.036697	0.018349	0.036697	0.009174		0.160550	-0.018349		0.000000			0.009174			-0.009174
mp:2017-08-15_13.00.00.News.CUR.AUD	AUD	2017-08-15T13:00:00.000Z	News	2.2.19	2064.6	0.085144	-0.096629	0.003875	0.015984	0.000484	-0.000363	0.004359	-0.015015	0.022280	0.033905	-0.009687	0.011140	0.069662			0.019859	0.003875	0.022329	-0.000484			0.025186
mp:2017-08-15_13.00.00.News.CUR.BRL	BRL	2017-08-15T13:00:00.000Z	News	2.2.19	8.0	0.000330	-0.250000							0.125000	0.125000			0.000000			0.250000		0.250000				
mp:2017-08-15_13.00.00.News.CUR.CAD	CAD	2017-08-15T13:00:00.000Z	News	2.2.19	269.0	0.011094	0.048327	0.022305	0.003717		0.029740	0.018587	0.007435	0.018587	0.078067	-0.003717		0.118030	0.026022		0.011152			0.014870			
mp:2017-08-15_13.00.00.News.CUR.CNY	CNY	2017-08-15T13:00:00.000Z	News	2.2.19	2674.0	0.110276	-0.071242	0.009349	0.004488	0.001122	-0.007666	0.019447	-0.008975	0.027674	0.043755	0.044503	0.017577	0.077178	-0.057218	-0.000374	0.075916	0.012528	0.023373	0.001122			0.010097
mp:2017-08-15_13.00.00.News.CUR.EGP	EGP	2017-08-15T13:00:00.000Z	News	2.2.19	13.0	0.000536	-0.384615											0.096154			-0.153846						
mp:2017-08-15_13.00.00.News.CUR.EUR	EUR	2017-08-15T13:00:00.000Z	News	2.2.19	2546.3	0.105010	0.015905	-0.001571	0.003731	0.001178	0.002945	0.003535	0.029651	0.003927	0.060087	0.000196	0.014727	0.116659	0.014138	0.000000	0.087971	0.005498	0.020540	0.000000			0.004320
mp:2017-08-15_13.00.00.News.CUR.HKD	HKD	2017-08-15T13:00:00.000Z	News	2.2.19	33.0	0.001361	0.272727	0.121212					0.000000		0.121212	0.060606	0.121212	0.174242			0.060606	0.060606					
mp:2017-08-15_13.00.00.News.CUR.INR	INR	2017-08-15T13:00:00.000Z	News	2.2.19	98.2	0.004050	-0.183299	-0.020367				0.040733		0.050916	0.061100	-0.101833		0.073829	0.000000		0.061100		0.040733	0.010183			
mp:2017-08-15_13.00.00.News.CUR.IDR	IDR	2017-08-15T13:00:00.000Z	News	2.2.19	239.8	0.009889	-0.154295	0.020851	0.008340		-0.045872	0.033361	0.004170	0.020851	0.045872	0.041701		0.123228	-0.008340		0.112594		0.020017				0.000000
mp:2017-08-15_13.00.00.News.CUR.ILS	ILS	2017-08-15T13:00:00.000Z	News	2.2.19	9.0	0.000371	0.555556									0.111111		0.194444			0.111111						
mp:2017-08-15_13.00.00.News.CUR.JPY	JPY	2017-08-15T13:00:00.000Z	News	2.2.19	740.1	0.030522	-0.013512	-0.093231	0.005405		0.012329	0.006756	0.001351	0.025672	0.043913	0.008107	0.005405	0.091339	0.004054		0.078368	0.002702	0.046750	0.001351			-0.006756
mp:2017-08-15_13.00.00.News.CUR.MYR	MYR	2017-08-15T13:00:00.000Z	News	2.2.19	424.0	0.017486	-0.129717	0.035377			0.001179	0.028302	-0.023585	0.004717	0.056604	0.009434	0.009434	0.050708			-0.035377	0.011792	0.091981	0.011792			-0.025943
mp:2017-08-15_13.00.00.News.CUR.MXN	MXN	2017-08-15T13:00:00.000Z	News	2.2.19	8.4	0.000346	-0.119048								0.119048	-0.119048		0.166667			-0.119048		0.047619				
mp:2017-08-15_13.00.00.News.CUR.NZD	NZD	2017-08-15T13:00:00.000Z	News	2.2.19	197.0	0.008124	-0.020305	-0.010152	0.020305			0.030457	-0.015228	0.020305	0.060914	0.005076	0.040609	0.064721			0.076142						0.111675
mp:2017-08-15_13.00.00.News.CUR.PLN	PLN	2017-08-15T13:00:00.000Z	News	2.2.19	231.8	0.009559	-0.138050	-0.008628			0.003236	0.008628	0.112166	0.034513	0.129422	0.017256	0.008628	0.097282	0.004314		0.069025		0.085418				0.060397
