id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	loveHate	anger	debtDefault	innovation	marketRisk	budgetDeficit	businessExpansion	centralBank	commercialRealEstateSentiment	consumerSentiment	creditEasyVsTight	economicGrowth	economicUncertainty	economicVolatility	financialSystemInstability	fiscalPolicyLooseVsTight	governmentAnger	governmentCorruption	governmentInstability	inflation	inflationForecast	interestRates	interestRatesForecast	investmentFlows	monetaryPolicyLooseVsTight	naturalDisasters	regimeChange	residentialRealEstateGrowth	residentialRealEstateSales	residentialRealEstateSentiment	residentialRealEstateValues	sanctions	socialInequality	socialUnrest	tradeBalance	unemployment
mp:2017-08-11_04.00.00.News.COU.AF	AF	2017-08-11T04:00:00.000Z	News	2.2.18	4369.7	0.002723	-0.112365	0.005721	0.004119	0.000458	-0.002002	0.209740	0.033183	0.021397	0.069456	0.009726	0.018079	0.047529	-0.000229	0.007895	0.000915	0.000458	-0.005698		0.000229				-0.001030	0.005950	-0.000458	0.004119			0.001602	0.001488	0.002288	0.000229		0.001831				0.003089				-0.001831				0.017049	-0.000458	
mp:2017-08-11_04.00.00.News.COU.DZ	DZ	2017-08-11T04:00:00.000Z	News	2.2.18	1057.9	0.000659	-0.086019	-0.008980	0.003781	0.002836	0.005435	0.093109	0.046791	0.048209	0.045373	0.010398	0.026468	0.056019	0.007562	0.000945	-0.001891	0.000945	-0.003781		0.004726				-0.000945	0.005199	0.002836	0.017015		-0.004726		-0.001891	0.020985	0.005672	0.001891						0.000189	0.003781		0.000473				0.023632	-0.001891	
mp:2017-08-11_04.00.00.News.COU.AO	AO	2017-08-11T04:00:00.000Z	News	2.2.18	367.0	0.000229	-0.004087	0.002725	0.005450	0.005450	0.004087	0.076294	0.023161	0.021798	0.122616	0.065395	0.046322	0.063011	0.005450				-0.019074							0.073569	0.002725	0.024523					0.008174															0.010899		
mp:2017-08-11_04.00.00.News.COU.AR	AR	2017-08-11T04:00:00.000Z	News	2.2.18	2578.2	0.001607	-0.065162	0.001358	0.003879	0.002327	0.003103	0.039950	0.008339	0.031805	0.051199	0.024242	0.028508	0.063867	0.003685	0.010860	0.001358	0.003103	-0.010472		0.001164	0.006206		0.001164		0.046156	-0.003297	0.007253		-0.003103		-0.002909	0.004848	0.013769	0.001164	0.000388				0.006594	0.000388			-0.000776				0.004460	0.007757	-0.000776
mp:2017-08-11_04.00.00.News.COU.AM	AM	2017-08-11T04:00:00.000Z	News	2.2.18	39.5	0.000025	0.101266					0.050633	-0.050633		0.075949	0.025316	-0.012658	0.042722												0.050633						-0.025316	0.000000															0.050633		
mp:2017-08-11_04.00.00.News.COU.AU	AU	2017-08-11T04:00:00.000Z	News	2.2.18	59906.5	0.037330	-0.143983	-0.010658	0.008638	0.004582	-0.005329	0.048008	0.039712	0.032876	0.069617	0.012127	0.017335	0.078868	0.003556	0.007720	0.000434	0.002838	-0.010899	0.000017	0.001252	0.001586	0.000033	-0.000868	0.001694	0.002521	0.000593	0.014836	0.000000		0.002454	0.001277	0.009720	0.002228	0.000359	0.000634	0.000017		-0.000033	0.002354	0.000047	0.000843	0.000000	0.001895	-0.000050	0.000083	0.000326	0.007795	0.000050	0.000033
mp:2017-08-11_04.00.00.News.COU.AT	AT	2017-08-11T04:00:00.000Z	News	2.2.18	956.3	0.000596	-0.052285	0.066402	0.006274	0.014117	-0.000784	0.016731	-0.041305	0.027711	0.037645	0.002614	0.007843	0.086257	0.002091	0.002614			0.011607						-0.003137	0.016731	-0.010457	0.007947					0.010457	-0.008366						0.023005								0.002091		
mp:2017-08-11_04.00.00.News.COU.BH	BH	2017-08-11T04:00:00.000Z	News	2.2.18	536.6	0.000334	0.087589	0.013045		0.009318	0.002795	0.037272	0.009318	0.042862	0.067089	0.007454	0.016772	0.090384	-0.001864	0.007454			0.012672		0.003727	0.007454				0.046590	-0.003727	0.001864					0.003727									0.001864		0.007454		0.001864				
mp:2017-08-11_04.00.00.News.COU.BD	BD	2017-08-11T04:00:00.000Z	News	2.2.18	2812.0	0.001752	-0.181366	0.011202	0.006935	0.003912	-0.004623	0.104374	0.030939	0.026849	0.064723	0.024893	0.006401	0.069523	0.007468	0.008890		0.001067	-0.006223		0.001067	0.001422		0.002845	-0.000356	0.000178	-0.001067	0.009957			0.002845	0.002134	0.008357	0.000356						0.001067				-0.001067				0.018492	0.007824	
mp:2017-08-11_04.00.00.News.COU.BY	BY	2017-08-11T04:00:00.000Z	News	2.2.18	214.0	0.000133	-0.102804	0.032710	0.004673		0.001168		-0.014019	0.004673	0.028037	0.032710	0.018692	0.047897	0.018692			0.004673	0.009346		0.014019					0.060748	0.014019						0.004673	0.004673		-0.009346													0.009346	
