id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	loveHate	anger	debtDefault	innovation	marketRisk	budgetDeficit	businessExpansion	centralBank	commercialRealEstateSentiment	consumerSentiment	creditEasyVsTight	economicGrowth	economicUncertainty	economicVolatility	financialSystemInstability	fiscalPolicyLooseVsTight	governmentAnger	governmentCorruption	governmentInstability	inflation	inflationForecast	interestRates	interestRatesForecast	investmentFlows	monetaryPolicyLooseVsTight	naturalDisasters	regimeChange	residentialRealEstateGrowth	residentialRealEstateSales	residentialRealEstateSentiment	residentialRealEstateValues	sanctions	socialInequality	socialUnrest	tradeBalance	unemployment
mp:2017-08-12_23.00.00.News.COU.AF	AF	2017-08-12T23:00:00.000Z	News	2.2.18	3504.0	0.004308	-0.165668	-0.010131	0.004566	0.000713	-0.002711	0.335188	0.039954	0.030679	0.060217	0.006279	0.008847	0.018532	-0.000143	0.010559			-0.014341						0.000000	-0.002140		0.004424			0.002568	0.007420	0.023116	-0.000143						0.000856	0.000285			-0.006279		0.001142		0.033676	0.000143	0.002854
mp:2017-08-12_23.00.00.News.COU.DZ	DZ	2017-08-12T23:00:00.000Z	News	2.2.18	160.2	0.000197	0.018727	-0.024969	0.012484		0.021848	0.081149	0.056180	0.024969	0.021848		0.018727	0.069444	0.000000	0.009363			-0.025905												0.006242	-0.018727	0.043695							0.006242								0.012484		
mp:2017-08-12_23.00.00.News.COU.AO	AO	2017-08-12T23:00:00.000Z	News	2.2.18	92.4	0.000114	0.010823	0.064935			0.027056	0.043290	0.021645	0.043290	0.021645		0.021645	0.037879	-0.010823	0.010823			0.045455							-0.108225	0.000000	0.021645			0.010823		0.010823																-0.043290	
mp:2017-08-12_23.00.00.News.COU.AR	AR	2017-08-12T23:00:00.000Z	News	2.2.18	880.4	0.001083	-0.171513	-0.002272	0.002840	0.001704	-0.003266	0.092004	0.011358	0.018174	0.070423	0.021013	0.009087	0.081568	0.006815	0.003408		0.003408	-0.009995							-0.002272					0.004543	0.005679	0.002840							0.015902				-0.003408				0.035211		
mp:2017-08-12_23.00.00.News.COU.AM	AM	2017-08-12T23:00:00.000Z	News	2.2.18	10.5	0.000013	0.000000						0.000000			-0.095238		0.077381					0.047619					0.047619	0.095238	0.047619		-0.047619																						
mp:2017-08-12_23.00.00.News.COU.AU	AU	2017-08-12T23:00:00.000Z	News	2.2.18	26920.5	0.033101	-0.140543	-0.011645	0.009547	0.010902	-0.002828	0.063743	0.030163	0.049776	0.073290	0.024034	0.015713	0.086495	0.005535	0.011218	-0.000167	0.001114	-0.013209		0.001114	0.000966		-0.001189	0.000037	0.002953	0.000854	0.005383	0.000149		0.001932	0.002024	0.013941	0.001003		0.000000				0.003139	0.000030	0.001170	-0.000223	-0.014376	0.000743	-0.000111	0.000464	0.008302	0.000000	-0.000669
mp:2017-08-12_23.00.00.News.COU.AT	AT	2017-08-12T23:00:00.000Z	News	2.2.18	414.0	0.000509	0.043478	0.012077	0.002415	0.021739	0.003019	0.024155	0.038647	0.028986	0.053140	0.019324	0.014493	0.103865	0.014493	0.009662		0.004831	0.001208							-0.004831		0.016908					0.004831															0.002415		
mp:2017-08-12_23.00.00.News.COU.BH	BH	2017-08-12T23:00:00.000Z	News	2.2.18	1832.0	0.002253	-0.260917	0.006004	0.000546	0.001638	-0.001296	0.056496	0.020197	0.126092	0.113264	0.033570	0.000546	0.079080	0.003275	0.001365			-0.000955					0.000819		0.085699		0.001638					0.007642											0.001092				0.006550	-0.002183	-0.000546
mp:2017-08-12_23.00.00.News.COU.BD	BD	2017-08-12T23:00:00.000Z	News	2.2.18	3625.2	0.004457	-0.206885	-0.006344	0.007034	0.003862	-0.012379	0.103718	0.037101	0.037101	0.062617	0.007724	0.008413	0.075075	0.004965	0.011034		0.002758	-0.011034			0.003034		-0.000276	0.000828	-0.002621	-0.001379	0.006675			0.000276	0.008551	0.015999	0.000414		-0.001103				0.005517	0.000828	0.000552		-0.002621				0.026895	0.001103	-0.000276
mp:2017-08-12_23.00.00.News.COU.BY	BY	2017-08-12T23:00:00.000Z	News	2.2.18	26.0	0.000032	0.538462	0.038462					-0.038462		0.038462	0.115385		0.110577	0.076923			0.038462	0.019231																							0.038462		-0.038462						
mp:2017-08-12_23.00.00.News.COU.BE	BE	2017-08-12T23:00:00.000Z	News	2.2.18	724.0	0.000890	-0.209945	-0.017956	0.009669	0.002762	-0.014157	0.095304	0.017265	0.040055	0.072514	0.006906	0.008978	0.082010	0.011050	0.004144		0.012431	-0.016575					-0.002762		0.004834	-0.005525	0.009669					0.009669															0.049724		
mp:2017-08-12_23.00.00.News.COU.BO	BO	2017-08-12T23:00:00.000Z	News	2.2.18	75.0	0.000092	0.040000	0.026667			0.080000	0.013333	-0.053333	0.026667	0.026667	-0.026667	0.026667	0.136667	0.026667				-0.006667													-0.080000	0.026667											-0.026667						
mp:2017-08-12_23.00.00.News.COU.BA	BA	2017-08-12T23:00:00.000Z	News	2.2.18	83.5	0.000103	-0.185629	-0.023952	0.011976	0.011976	0.002994	0.203593	0.005988	-0.047904	0.035928	0.023952		0.055389		0.011976			-0.011976																					0.011976										
mp:2017-08-12_23.00.00.News.COU.BR	BR	2017-08-12T23:00:00.000Z	News	2.2.18	871.0	0.001071	-0.172216	-0.037313	0.011481	0.003444	-0.017796	0.032147	0.035591	0.032147	0.056831	0.001722	0.011481	0.083022	0.008037	0.011481	0.001148	0.001148	-0.015212	0.003444	0.008037	0.003444		0.001148	0.003444	0.003444	0.003444	0.013777				-0.001148	0.004592	-0.001148						0.011481				0.002296				0.009185		-0.001148
mp:2017-08-12_23.00.00.News.COU.BG	BG	2017-08-12T23:00:00.000Z	News	2.2.18	76.0	0.000093	-0.184211	0.026316					-0.039474	0.118421	0.092105	0.039474	0.039474	0.123355	0.039474				0.013158																															
mp:2017-08-12_23.00.00.News.COU.KH	KH	2017-08-12T23:00:00.000Z	News	2.2.18	772.0	0.000949	-0.209845	0.003886		0.009067		0.091969	0.124352	0.007772	0.136658	-0.015544	0.006477	0.094398	0.002591	0.009715			-0.010687									0.002591			0.002591		0.014249															0.003886		
mp:2017-08-12_23.00.00.News.COU.CA	CA	2017-08-12T23:00:00.000Z	News	2.2.18	12057.9	0.014826	-0.092263	-0.000373	0.007174	0.010781	0.002177	0.059587	0.021272	0.030810	0.073271	0.008625	0.018950	0.077215	0.004644	0.005432	0.000415	0.005391	-0.008716		0.000995	0.001410		0.000746	-0.000829	0.000788	-0.002115	0.016097	-0.000249		0.000456	0.000663	0.008210	0.001078	0.000166	0.001410	0.000415		-0.000083	0.025502	0.000083	0.000166	-0.000166	0.007423	0.000166			0.006759	-0.000166	-0.000249
mp:2017-08-12_23.00.00.News.COU.CL	CL	2017-08-12T23:00:00.000Z	News	2.2.18	557.8	0.000686	-0.120115	0.030477	0.008964		0.005378	0.086052	0.073503	0.019720	0.052886	0.019720	0.018824	0.065593		0.000896		0.001793	-0.012549							0.001793	-0.005378	-0.002151					0.012549	-0.007171						0.010757	0.001793							0.053783		
