2016-08-1619:00:00,-1,-0.5, 8.25,327.75,328.25
2016-08-1700:00:00,-1, 0.75, 9.,328.25,327.5
2016-08-1701:00:00,1, 0., 9.,327.5,327.5
2016-08-1702:00:00,-1,-0.5, 8.5,327.5,328.0
2016-08-1703:00:00,0, 0., 8.5,328.0,328.5
2016-08-1704:00:00,1,-0.25, 8.25,328.5,328.25
2016-08-1705:00:00,1, 0.5, 8.75,328.25,328.75
2016-08-1706:00:00,1,-0.25, 8.5,328.75,328.5
2016-08-1707:00:00,1, 0.25, 8.75,328.5,328.75
2016-08-1708:00:00,1, 0., 8.75,328.75,328.75
2016-08-1709:00:00,-1, 0.5, 9.25,328.75,328.25
2016-08-1710:00:00,1, 0.25, 9.5,328.25,328.5
2016-08-1711:00:00,-1, 0.5, 10.,328.5,328.0
2016-08-1712:00:00,1, 0.5, 10.5,328.0,328.5
2016-08-1713:00:00,-1, 0.5, 11.,328.5,328.0
2016-08-1714:00:00,1, 1.25, 12.25,328.0,329.25
2016-08-1715:00:00,1, 0.5, 12.75,329.25,329.75
2016-08-1716:00:00,1,-0.25, 12.5,329.75,329.5
2016-08-1717:00:00,1, 0., 12.5,329.5,329.5
2016-08-1718:00:00,1,-0.75, 11.75,329.5,328.75
2016-08-1719:00:00,1, 1.5, 13.25,328.75,330.25
2016-08-1801:00:00,1,-0.75, 12.5,330.25,329.5
2016-08-1802:00:00,1, 1.25, 13.75,329.5,330.75
2016-08-1803:00:00,-1,-0.75, 13.,330.75,331.5
2016-08-1804:00:00,-1,-0.25, 12.75,331.5,331.75
2016-08-1805:00:00,-1, 0.25, 13.,331.75,331.5
2016-08-1806:00:00,1,-0.75, 12.25,331.5,330.75
2016-08-1807:00:00,1,-0.75, 11.5,330.75,330.0
2016-08-1808:00:00,1, 1., 12.5,330.0,331.0
2016-08-1809:00:00,-1, 0.25, 12.75,331.0,330.75
2016-08-1810:00:00,1, 0.25, 13.,330.75,331.0
2016-08-1811:00:00,-1, 1.25, 14.25,331.0,329.75
2016-08-1812:00:00,-1,-0.25, 14.,329.75,330.0
2016-08-1813:00:00,-1, 0.25, 14.25,330.0,329.75
2016-08-1814:00:00,1,-3., 11.25,329.75,326.75
2016-08-1815:00:00,1, 1., 12.25,326.75,327.75
2016-08-1816:00:00,-1,-0.5, 11.75,327.75,328.25
2016-08-1817:00:00,-1,-0.5, 11.25,328.25,328.75
2016-08-1818:00:00,-1,-1.75, 9.5,328.75,330.5
2016-08-1819:00:00,-1,-2.5, 7.,330.5,333.0
2016-08-1900:00:00,-1, 1., 8.,333.0,332.0
2016-08-1901:00:00,-1,-0.5, 7.5,332.0,332.5
2016-08-1902:00:00,-1, 0.25, 7.75,332.5,332.25
2016-08-1903:00:00,1,-0.75, 7.,332.25,331.5
2016-08-1904:00:00,-1,-0.25, 6.75,331.5,331.75
2016-08-1905:00:00,1, 0., 6.75,331.75,331.75
2016-08-1906:00:00,1, 0., 6.75,331.75,331.75
2016-08-1907:00:00,0,-0., 6.75,331.75,331.25
2016-08-1908:00:00,1,-0.25, 6.5,331.25,331.0
2016-08-1909:00:00,1, 0.25, 6.75,331.0,331.25
2016-08-1910:00:00,1,-0.5, 6.25,331.25,330.75
2016-08-1911:00:00,1,-0.25, 6.,330.75,330.5
2016-08-1912:00:00,1, 0.25, 6.25,330.5,330.75
2016-08-1913:00:00,-1, 0.25, 6.5,330.75,330.5
2016-08-1914:00:00,1, 2., 8.5,330.5,332.5
2016-08-1915:00:00,-1,-1.75, 6.75,332.5,334.25
2016-08-1916:00:00,-1,-0., 6.75,334.25,334.25
2016-08-1917:00:00,0,-0., 6.75,334.25,333.75
2016-08-1918:00:00,-1,-0.5, 6.25,333.75,334.25
2016-08-1919:00:00,1, 0., 6.25,334.25,334.25
2016-08-2201:00:00,1,-1.5, 4.75,334.25,332.75
2016-08-2202:00:00,-1,-0.5, 4.25,332.75,333.25
2016-08-2203:00:00,-1,-0., 4.25,333.25,333.25
2016-08-2204:00:00,-1, 0.75, 5.,333.25,332.5
2016-08-2205:00:00,1,-0.25, 4.75,332.5,332.25
2016-08-2206:00:00,1, 0., 4.75,332.25,332.25
2016-08-2207:00:00,1, 0.75, 5.5,332.25,333.0
2016-08-2208:00:00,1, 0., 5.5,333.0,333.0
2016-08-2209:00:00,1,-0.25, 5.25,333.0,332.75
2016-08-2210:00:00,1,-0.5, 4.75,332.75,332.25
2016-08-2211:00:00,0, 0., 4.75,332.25,332.25
2016-08-2212:00:00,1, 0., 4.75,332.25,332.25
2016-08-2213:00:00,1,-1., 3.75,332.25,331.25
2016-08-2214:00:00,1, 1.25, 5.,331.25,332.5
2016-08-2215:00:00,1, 0.25, 5.25,332.5,332.75
2016-08-2216:00:00,1,-0.25, 5.,332.75,332.5
2016-08-2217:00:00,1, 1.5, 6.5,332.5,334.0
2016-08-2218:00:00,-1, 0.25, 6.75,334.0,333.75
2016-08-2219:00:00,1, 0.25, 7.,333.75,334.0
2016-08-2300:00:00,0,-0., 7.,334.0,333.25
2016-08-2301:00:00,0,-0., 7.,333.25,332.25
2016-08-2302:00:00,-1, 0.5, 7.5,332.25,331.75
2016-08-2303:00:00,-1,-0., 7.5,331.75,331.75
2016-08-2304:00:00,1,-0.75, 6.75,331.75,331.0
2016-08-2305:00:00,1,-0.25, 6.5,331.0,330.75
2016-08-2306:00:00,1,-0.25, 6.25,330.75,330.5
2016-08-2307:00:00,1, 0.75, 7.,330.5,331.25
2016-08-2308:00:00,1,-0.5, 6.5,331.25,330.75
2016-08-2309:00:00,1,-0.5, 6.,330.75,330.25
2016-08-2310:00:00,1,-0.75, 5.25,330.25,329.5
2016-08-2311:00:00,1, 0., 5.25,329.5,329.5
2016-08-2312:00:00,1,-0.25, 5.,329.5,329.25
2016-08-2313:00:00,1, 0.75, 5.75,329.25,330.0
2016-08-2314:00:00,0,-0., 5.75,330.0,328.75
2016-08-2315:00:00,1,-1., 4.75,328.75,327.75
2016-08-2316:00:00,1, 0., 4.75,327.75,327.75
2016-08-2317:00:00,1, 2.25, 7.,327.75,330.0
2016-08-2318:00:00,1,-0.75, 6.25,330.0,329.25
2016-08-2319:00:00,0,-0., 6.25,329.25,328.75
2016-08-2400:00:00,1,-0.25, 6.,328.75,328.5
2016-08-2401:00:00,-1, 0.25, 6.25,328.5,328.25
2016-08-2402:00:00,1,-0.25, 6.,328.25,328.0
2016-08-2403:00:00,1,-0.5, 5.5,328.0,327.5
2016-08-2404:00:00,1,-0.25, 5.25,327.5,327.25
2016-08-2405:00:00,1, 0.25, 5.5,327.25,327.5
2016-08-2406:00:00,1,-0.5, 5.,327.5,327.0
2016-08-2407:00:00,1, 0., 5.,327.0,327.0
